time,Nosex,Nosey,Neckx,Necky,RSholderx,RSholdery,RElbowx,RElbowy,RWristx,RWristy,LSholderx,LSholdery,LElbowx,LElbowy,LWristx,LWristy,MidHipx,MidHipy,RHipx,RHipy,RKneex,RKneey,RAnklex,RAnkley,LHipx,LHipy,LKneex,LKneey,LAnklex,LAnkley,REyex,REyey,LEyex,LEyey,REarx,REary,LEarx,LEary,LBigToex,LBigToey,LSmallToex,LSmallToey,LHeelx,LHeely,RBigToex,RBigToey,RSmallToex,RSmallToey,RHeelx,RHeely
0,-224.86435346909943,133.80411288173826,217.44772526766332,185.34570949080558,252.07356849822676,184.14558461632845,262.47800966613386,233.6338558193985,271.4194292363705,269.3690867942984,185.0511378190243,187.58762872938144,180.3261993003844,234.95246551712708,200.82781470393112,238.5169802753756,225.3144584848661,265.015338892869,243.84309689790186,263.9327158601709,243.43100107686266,304.64600576873903,241.347495579643,346.23869660943853,208.057474017169,267.32623319348755,211.42903114143925,317.0101004420607,216.06117406168823,366.4096160120253,-70.78778902464428,173.48459539259665,-8396.10428083436,-821.850816169589,231.22626972071328,148.32309564015472,202.2898057930496,151.766659598461,211.8459143974753,370.9959216698997,207.86950979963825,371.77341737639694,217.16230944350244,374.35027621006026,252.84533709324495,335.3975193760614,252.9355033858908,337.83201104693217,236.8271346809225,353.1828163354951
1,-205.90646907217288,133.47614799937782,218.2522211214428,183.13989030305063,252.16474763100345,181.87254350179438,262.72578096189244,230.06288991127371,270.4558045985601,264.5623334140273,186.21225568644948,185.19066588439978,180.43803054240564,231.59198998728482,200.1277738762986,238.3243937440472,225.68186827523988,262.1320628018306,243.9240386372665,261.2749351783155,243.4230309899083,303.45451154510994,241.48929174928364,345.89211372894255,208.66296686791296,264.1305491902925,212.54754881471104,312.0140508450852,217.61112572386696,359.0806107106161,-57.54093332125616,171.45110973081412,-8137.426370756782,-796.108113787497,231.7931267006996,146.4947840960386,203.09870396053287,149.952474091772,215.6149998659186,362.91053029667677,210.74722267823307,363.08097275855005,218.44678689196073,366.2257431694014,252.85375913150793,335.17728848638717,253.102574992102,337.8215837708741,237.02299791317876,352.4602329305765
2,-186.93649379260208,133.1456708294421,219.01002913607033,180.94651091505992,252.20869033133923,179.62028828862515,262.93312842135185,226.54557575592892,269.5002857517259,259.79231278024315,187.32368130510184,182.81968626030508,180.53578797191224,228.2686451311124,199.42286719333222,237.99800909820468,226.02604146494994,259.241309762517,243.98271694888734,258.6001073997275,243.4331770760129,302.20031890110056,241.62155138343368,345.48820430760037,209.24594639267846,260.9415316239731,213.61612638757742,307.06102522537975,219.11154185205353,351.84520463429766,-44.28768362954429,169.4135540601018,-7878.2761513325,-770.310666858196,232.31331121550417,144.70462807419094,203.88214617118498,148.17293972858224,219.27644059140593,354.99751910967507,213.5885208118546,354.5872066896779,219.68746694342605,358.2351531908246,252.86549430029808,334.9751674633732,253.25271113896827,337.8234613694309,237.1926763495005,351.7195757623673
3,-168.0953839920092,132.81328458358644,219.69795592481637,178.80198027902387,252.1779591483272,177.42713846210117,263.07139099017377,223.14336510366792,268.5669210377224,255.12815869854404,188.3639871711839,180.5153706255445,180.6170765793155,225.0228079101613,198.69164802343428,237.4377976890421,226.33209837165506,256.3671374349133,244.0062628472931,255.92317966972678,243.46990151302415,300.8520073087056,241.73017134000662,344.988034798518,209.79405143792442,257.79450072525697,214.59152023985317,302.2683069650465,220.5216924703013,344.87532601035207,-31.12816883688706,167.3848419266314,-7620.332407040045,-744.6193837827344,232.7537459885045,142.99497481467054,204.6186792118077,146.46657852838803,222.78421100924507,347.4934399420209,216.31500433784913,346.4997909903252,220.84499153509316,350.57634508889925,252.88144673425148,334.7810355212164,253.3730133540657,337.8252656023216,237.31699071854442,350.9517984103456
4,-149.49604238481945,132.47921538647805,220.28877021410787,176.73931364965603,252.04241463622395,175.32462774891968,263.11766930790515,219.89722303404287,267.6804831964553,250.6252949456432,189.31885687316026,178.31494795308475,180.67804764647525,221.88140178953228,197.91862221951433,236.582499231736,226.58820925898618,253.53475264888405,243.9805295637667,253.26031599082532,243.54309789689677,299.3773006740216,241.80529594064183,344.3464908985403,210.29260255968558,254.72010382015003,215.44519572623912,297.7235358608968,221.80128451483162,338.31568245731984,-18.142815154443515,165.37500965650258,-7364.905716518718,-719.1588982940301,233.08480493858465,141.39615832240744,205.28415427590608,144.85691571388796,226.05918898097164,340.5914524011452,218.83130632281137,338.9964909123395,221.8885800576593,343.4166337041095,252.90292586955613,334.5763659814918,253.45624765883503,337.8030333428074,237.3864228536251,350.1288021453663
5,-131.22485262222386,132.14342362718227,220.75359268041925,174.78254094936167,251.77440099791886,173.3342612110795,263.05340396306735,216.82706248591654,266.87044258066135,246.33051880962233,190.1772003336882,176.24562102656736,180.71384588974757,218.86054472421978,197.1067924527646,235.409723779312,226.78557630679637,250.76604554330243,243.89153946313516,250.6245903204565,243.6638256709559,297.7397872466996,241.84268685826126,343.5129552672009,210.72648484468857,251.74285039666375,216.1622629782004,293.48038371757383,222.91729539805846,332.27707078780327,-5.393343327823926,163.39148162675806,-7112.970676496433,-694.0210609024938,233.2825598209038,139.92457345804362,205.8559416239528,143.3505212013028,228.99619273427916,334.41633173158345,221.02930956029024,332.20560677862045,222.7982429253412,336.8847224667593,252.93156790687195,334.33200713295497,253.50052707276876,337.7191140376655,237.40233680581176,349.1995538049852
6,-113.34456536080313,131.80569649206683,221.0645495887927,172.93997088952727,251.3525661137034,171.46260233633947,262.86248550069297,213.9381962571181,266.1580250841761,242.2876237269735,190.92783208019432,174.31877354388553,180.72192747280224,215.96700319616048,196.28289076560554,233.9268639247655,226.91815831158416,248.07645638000096,243.72720188948406,248.02480848824754,243.84375442278576,295.90318041774134,241.8431078358534,342.4363084222307,211.08184198863893,248.87971969960708,216.73957008847836,289.56166633405087,223.85070047117017,326.83428063264853,7.075250961618475,161.43942966805068,-6865.210927517152,-669.2695616602792,233.32973252209206,138.58210352190056,206.31713854247482,141.94087442350101,231.4924005367551,329.0217127642337,222.81299554248807,326.2000959414879,223.56507482797764,331.0650328015572,252.96914513595942,334.00718537575057,253.50861079870958,337.52192517537844,237.37211306316152,348.095375260388
7,-95.89787430208433,131.46572115797184,221.19898329274847,171.2015146724446,250.76456512882402,169.70109466410614,262.5312153791411,211.23243491431208,265.5492333780672,238.53764098376882,191.55793360991655,172.52648885674685,180.70604143948788,213.20036985430602,195.49527159526016,232.16099386909391,226.98226011344295,245.4735174298779,243.47849868926895,245.46573863509207,244.09424055227896,293.8367609611167,241.81036997279372,341.0681187205836,211.34611385785013,246.1381342163189,217.18407980926025,285.9727049141278,224.59904517257294,322.0310618084722,19.23220665341723,159.52217022616037,-6622.069465854571,-644.9449745083567,233.21654732663285,137.3574314276933,206.6577906967973,140.61426586730838,233.4929168733677,324.40867801601877,224.14301880192548,321.0098731060683,224.18934147362376,325.99945243138853,253.01729579013931,333.5482963781675,253.48693965041397,337.14672692775184,237.303077803313,346.7377075966838
8,-78.91119716250601,131.12314044495105,221.14586606692137,169.54377789630914,250.00983380052253,168.0321015948967,262.0491526479416,208.71459410092558,265.0368710126477,235.1159698842628,192.05394960558556,170.84414372782865,180.67715808700027,210.55641243928767,194.80746286495028,230.15197324912663,226.9771135643066,242.95585670225287,243.1402448038956,242.9459764163051,244.42500694949763,291.51406150460986,241.75023634075012,339.3585207212075,211.50812588598916,243.51310804819366,217.5100563988148,282.70903489867203,225.1733547672649,317.88407280509546,31.058345829790976,157.64155880342517,-6383.79889912966,-621.0697241384128,232.9420708980832,136.2281073316566,206.87476328107445,139.35347109624394,235.0068477595451,320.5430448302836,225.05598041320172,316.638151344466,224.67911935358396,321.6925168367578,253.07716868544975,332.8872572045551,253.44397082141606,336.5172398362171,237.201606871205,345.043397339927
9,-62.39832505387852,130.777593076719,220.91076126229774,167.93927759574876,249.10134401948085,166.4367604621659,261.40940171136265,206.38953641703517,264.60505554796976,232.0494247529697,192.4060655361091,169.23801193733536,180.65246762902657,208.02626303789893,194.28272829836263,227.94381919116225,226.90596080128887,240.5142739082351,242.71145088066544,240.45716222026456,244.84232574593472,288.907845891698,241.6706555023232,337.2527102748451,211.560470443196,240.98780150072272,217.7345732043831,279.75034405879575,225.59141394615975,314.38004730430805,42.543502582550026,155.7983542540028,-6150.508116722751,-597.6526513000506,232.51501757004067,135.16389022190657,206.97242015870214,138.1387252102087,236.07527003930738,317.35826775480643,225.62876894188065,313.0641847014281,225.04777406854,318.1137147588413,253.14897163572942,331.9430754546598,253.38877219809547,335.5486623190995,237.0757377505879,342.9303235547306
