time,Nosex,Nosey,Neckx,Necky,RSholderx,RSholdery,RElbowx,RElbowy,RWristx,RWristy,LSholderx,LSholdery,LElbowx,LElbowy,LWristx,LWristy,MidHipx,MidHipy,RHipx,RHipy,RKneex,RKneey,RAnklex,RAnkley,LHipx,LHipy,LKneex,LKneey,LAnklex,LAnkley,REyex,REyey,LEyex,LEyey,REarx,REary,LEarx,LEary,LBigToex,LBigToey,LSmallToex,LSmallToey,LHeelx,LHeely,RBigToex,RBigToey,RSmallToex,RSmallToey,RHeelx,RHeely
0,338.509,67.0568,337.253,108.831,299.384,108.871,249.789,99.7184,202.735,94.4876,371.186,108.822,422.106,100.976,475.606,98.4054,338.473,206.724,316.339,206.741,320.312,286.347,328.054,365.929,359.412,206.722,352.89,286.376,349.007,363.352,329.442,59.2351,345.069,59.2158,320.261,67.0695,351.646,67.0529,350.255,382.889,359.383,380.351,345.045,371.144,335.933,381.587,325.479,381.58,328.074,371.176
1,338.527,67.0467,337.253,108.834,299.372,108.827,248.482,99.6925,201.467,94.489,371.209,108.856,422.08,100.994,475.604,98.4078,338.492,208.036,317.594,209.324,319.02,287.596,326.788,364.635,359.398,208.032,352.919,287.599,349.015,363.37,329.457,59.229,345.083,59.2234,320.275,67.0619,351.615,67.0736,350.293,382.915,359.42,381.561,345.043,371.145,333.346,381.587,322.86,381.572,328.05,371.128
2,338.509,67.0578,337.228,108.835,298.118,108.833,247.204,99.6938,201.492,94.4645,371.187,108.86,423.377,100.982,475.586,98.404,338.502,208.03,317.595,209.334,320.277,286.37,326.815,363.347,359.414,208.03,351.584,287.597,348.994,362.077,329.443,59.2152,345.064,58.0001,320.274,67.0183,351.645,67.0093,350.285,382.959,359.411,381.587,343.762,369.907,332,381.562,320.301,380.329,328.07,369.92
3,338.54,67.0658,337.217,108.854,298.115,108.852,248.51,99.7205,201.501,94.4657,371.178,108.871,422.11,100.983,475.572,98.4146,338.525,209.311,317.622,209.332,320.259,286.323,326.81,364.665,359.428,209.316,352.912,286.367,349.014,363.346,329.462,59.224,346.368,59.2195,320.254,67.048,351.641,67.0767,350.286,382.939,359.409,381.568,345.052,371.13,333.326,381.61,321.593,381.589,328.043,371.16
4,338.514,67.0606,337.25,108.839,298.118,108.83,247.159,99.6673,201.46,94.4493,371.233,108.857,423.421,99.7538,475.547,98.4107,338.511,209.321,317.629,210.614,324.185,287.603,326.813,365.961,359.395,209.316,354.186,287.615,348.972,364.649,329.454,59.2208,345.073,59.2161,320.264,67.0148,351.614,67.0417,350.349,382.956,359.456,381.571,342.484,371.177,337.209,381.62,325.506,381.603,325.485,371.217
5,338.523,67.055,337.239,108.83,298.131,108.845,249.786,99.7097,201.499,94.4482,371.205,108.847,423.427,99.7576,475.569,98.4019,338.509,208.022,317.615,209.328,320.285,287.602,326.813,365.961,359.402,208.009,352.912,287.595,349.019,363.364,329.465,59.2264,345.083,59.2228,320.279,67.0273,351.616,67.062,350.309,382.924,359.42,381.556,345.06,371.15,335.928,381.631,324.197,381.622,326.78,371.201
6,338.535,67.064,337.217,108.824,298.098,108.84,248.474,99.6943,201.469,94.4642,371.221,108.835,423.35,99.7673,475.557,98.439,338.474,211.908,316.363,211.932,319.028,288.946,326.805,365.964,359.388,211.922,351.586,287.694,348.999,364.662,329.463,59.2358,345.085,59.2309,320.244,67.0375,351.622,67.0536,350.29,382.972,359.423,381.607,343.773,371.169,333.31,381.596,321.575,381.569,326.809,371.195
7,338.498,67.0424,337.252,108.801,298.126,108.819,248.506,99.7358,201.495,95.7451,371.217,108.804,423.364,100.973,475.59,98.4243,338.505,210.627,317.625,211.904,320.308,287.658,328.036,365.963,359.396,210.629,354.182,287.659,349.006,364.665,329.441,59.2263,345.049,59.2188,320.286,67.0531,351.609,67.0717,350.322,382.969,359.445,381.589,343.771,371.176,333.335,381.607,322.87,381.585,328.057,371.179
8,338.521,67.0686,337.195,108.83,298.114,108.832,249.782,99.715,201.504,95.7528,371.144,108.845,420.751,100.979,474.323,98.4299,337.257,209.307,316.349,209.331,319.021,286.348,326.797,367.245,359.372,209.319,351.637,286.348,348.976,364.627,329.445,59.2267,345.079,59.2206,320.26,67.0296,351.624,67.0448,350.286,382.964,359.399,381.589,342.476,371.151,335.914,381.638,324.202,381.627,326.775,371.206
9,338.514,67.0752,337.223,108.819,299.363,108.83,249.809,99.7484,201.488,95.7618,371.158,108.819,422.097,100.982,475.553,98.4298,338.508,209.329,317.611,210.609,319.025,287.593,328.064,364.655,359.402,209.344,351.621,287.597,349.004,363.35,329.449,59.2372,345.074,59.2319,320.269,67.0443,351.618,67.0552,350.273,384.222,359.404,381.607,343.773,371.135,333.327,381.622,322.866,381.588,328.092,371.138
