,Nosex,Nosey,Neckx,Necky,RSholderx,RSholdery,RElbowx,RElbowy,RWristx,RWristy,LSholderx,LSholdery,LElbowx,LElbowy,LWristx,LWristy,RHipx,RHipy,RKneex,RKneey,RAnklex,RAnkley,LHipx,LHipy,LKneex,LKneey,LAnklex,LAnkley,REyex,REyey,LEyex,LEyey,REarx,REary,LEarx,LEary
0,338.509,67.0568,337.25300000000004,108.831,299.384,108.87100000000001,249.78900000000002,99.7184,202.735,94.4876,371.186,108.822,422.106,100.976,475.606,98.4054,316.339,206.74099999999999,320.312,286.347,328.05400000000003,365.92900000000003,359.412,206.722,352.89,286.376,349.00699999999995,363.352,329.44199999999995,59.2351,345.069,59.2158,320.26099999999997,67.0695,351.64599999999996,67.0529
1,338.527,67.0467,337.25300000000004,108.834,299.372,108.82700000000001,248.482,99.6925,201.467,94.48899999999999,371.209,108.85600000000001,422.08,100.994,475.60400000000004,98.4078,317.594,209.324,319.02,287.596,326.788,364.635,359.398,208.032,352.91900000000004,287.599,349.015,363.37,329.457,59.229,345.083,59.2234,320.275,67.0619,351.615,67.0736
2,338.509,67.0578,337.228,108.835,298.118,108.833,247.204,99.6938,201.49200000000002,94.4645,371.18699999999995,108.86,423.37699999999995,100.98200000000001,475.586,98.404,317.595,209.334,320.277,286.37,326.815,363.347,359.414,208.03,351.584,287.597,348.994,362.077,329.44300000000004,59.2152,345.064,58.0001,320.274,67.0183,351.645,67.0093
3,338.54,67.0658,337.217,108.854,298.115,108.852,248.51,99.7205,201.50099999999998,94.4657,371.17800000000005,108.87100000000001,422.11,100.98299999999999,475.57199999999995,98.4146,317.622,209.332,320.259,286.323,326.81,364.665,359.42800000000005,209.31599999999997,352.912,286.367,349.014,363.346,329.462,59.224,346.36800000000005,59.2195,320.254,67.048,351.64099999999996,67.0767
4,338.514,67.0606,337.25,108.839,298.118,108.83,247.15900000000002,99.6673,201.46,94.4493,371.233,108.85700000000001,423.421,99.7538,475.54699999999997,98.4107,317.629,210.614,324.185,287.603,326.813,365.961,359.395,209.31599999999997,354.186,287.615,348.972,364.649,329.454,59.2208,345.07300000000004,59.2161,320.264,67.0148,351.61400000000003,67.0417
5,338.523,67.055,337.23900000000003,108.83,298.131,108.845,249.78599999999997,99.7097,201.49900000000002,94.4482,371.205,108.84700000000001,423.42699999999996,99.7576,475.569,98.4019,317.615,209.328,320.285,287.60200000000003,326.813,365.961,359.402,208.00900000000001,352.912,287.595,349.019,363.36400000000003,329.465,59.2264,345.083,59.2228,320.279,67.0273,351.616,67.062
6,338.535,67.064,337.217,108.824,298.098,108.84,248.47400000000002,99.6943,201.46900000000002,94.4642,371.221,108.835,423.35,99.7673,475.55699999999996,98.439,316.363,211.93200000000002,319.028,288.94599999999997,326.805,365.964,359.38800000000003,211.922,351.586,287.694,348.999,364.662,329.463,59.2358,345.085,59.2309,320.244,67.0375,351.62199999999996,67.0536
7,338.49800000000005,67.0424,337.25199999999995,108.801,298.126,108.819,248.50599999999997,99.7358,201.495,95.7451,371.217,108.804,423.36400000000003,100.973,475.59,98.4243,317.625,211.90400000000002,320.308,287.658,328.036,365.963,359.39599999999996,210.62900000000002,354.18199999999996,287.659,349.006,364.665,329.441,59.2263,345.04900000000004,59.2188,320.286,67.0531,351.60900000000004,67.0717
8,338.52099999999996,67.0686,337.195,108.83,298.11400000000003,108.83200000000001,249.782,99.715,201.50400000000002,95.7528,371.144,108.845,420.751,100.979,474.32300000000004,98.4299,316.349,209.331,319.02099999999996,286.348,326.797,367.245,359.37199999999996,209.31900000000002,351.63699999999994,286.348,348.976,364.62699999999995,329.445,59.2267,345.079,59.2206,320.26,67.0296,351.624,67.0448
9,338.514,67.0752,337.223,108.819,299.363,108.83,249.80900000000003,99.7484,201.488,95.7618,371.158,108.819,422.097,100.98200000000001,475.55300000000005,98.4298,317.611,210.609,319.025,287.593,328.064,364.655,359.402,209.34400000000002,351.621,287.597,349.004,363.35,329.449,59.2372,345.074,59.2319,320.269,67.0443,351.61800000000005,67.0552
10,338.533,67.0888,337.205,108.853,298.108,108.84899999999999,249.794,99.7426,201.497,94.495,371.18800000000005,108.865,422.08099999999996,100.98299999999999,475.532,98.4245,317.593,210.65,320.276,286.351,326.817,363.352,359.397,210.622,351.63199999999995,287.629,349.01300000000003,364.64099999999996,329.461,59.2571,346.336,59.2378,320.276,67.0458,351.62800000000004,67.0453
11,338.541,67.0856,337.184,108.837,298.085,108.866,249.77200000000002,99.7415,201.465,95.79,371.152,108.818,422.103,100.993,475.54699999999997,98.4486,316.376,211.899,319.018,287.63599999999997,326.814,365.945,359.38599999999997,210.636,351.61199999999997,287.66,348.98900000000003,364.653,329.44699999999995,59.2591,346.344,59.2205,320.244,67.1077,351.63599999999997,67.0459
12,338.527,67.0889,337.204,108.836,298.128,108.84100000000001,251.07299999999998,99.7457,201.454,95.7889,371.158,108.848,422.028,100.986,474.31699999999995,99.6421,316.343,210.61700000000002,320.305,287.596,326.812,367.231,359.389,209.34,351.611,287.603,348.949,364.64099999999996,329.458,59.2495,346.339,59.2495,320.27099999999996,67.0602,351.608,67.0795
13,338.536,67.0858,337.231,108.815,298.138,108.82700000000001,247.21599999999998,99.7173,200.19400000000002,95.7897,371.19599999999997,108.82799999999999,422.099,100.984,475.54699999999997,98.4402,316.35400000000004,210.63400000000001,319.005,286.368,326.79200000000003,363.329,359.35900000000004,210.63,351.615,286.372,349.005,362.056,329.477,59.2567,346.356,59.251000000000005,320.29400000000004,67.0534,351.624,67.0833
14,338.55199999999996,67.0575,335.95099999999996,108.755,298.11400000000003,107.538,248.497,99.6945,201.459,94.4661,369.89599999999996,108.779,420.76300000000003,99.7408,474.324,98.4095,316.335,206.69799999999998,319.017,286.379,326.808,363.342,359.401,205.421,351.608,286.339,349.004,362.05400000000003,330.69699999999995,59.2233,346.37,59.2257,320.286,67.016,351.629,67.0775
15,338.519,65.7635,335.94599999999997,107.536,298.084,107.53,248.479,99.6576,198.905,91.8874,371.159,107.538,418.154,99.6838,474.215,98.3322,316.376,206.701,320.257,286.297,326.798,360.75699999999995,359.423,205.421,351.62,286.29900000000004,349.024,360.77,329.457,57.9392,345.07099999999997,57.955,319.04400000000004,65.7663,351.62,67.0138
16,338.546,63.1457,337.21,106.21700000000001,298.111,103.634,251.06900000000002,98.4046,201.495,90.5431,371.212,106.21600000000001,422.099,98.4479,474.31800000000004,94.4747,316.365,204.12599999999998,318.992,282.438,326.78700000000003,359.469,359.38699999999994,204.104,351.57599999999996,282.433,348.985,359.43699999999995,329.474,56.6637,345.069,56.6686,320.255,64.4562,351.611,64.4233
