time,Nosex,Nosey,Neckx,Necky,RSholderx,RSholdery,RElbowx,RElbowy,RWristx,RWristy,LSholderx,LSholdery,LElbowx,LElbowy,LWristx,LWristy,MidHipx,MidHipy,RHipx,RHipy,RKneex,RKneey,RAnklex,RAnkley,LHipx,LHipy,LKneex,LKneey,LAnklex,LAnkley,REyex,REyey,LEyex,LEyey,REarx,REary,LEarx,LEary,LBigToex,LBigToey,LSmallToex,LSmallToey,LHeelx,LHeely,RBigToex,RBigToey,RSmallToex,RSmallToey,RHeelx,RHeely
0,465.401,291.778,506.73,362.463,477.267,365.295,483.13,489.008,441.963,577.236,544.863,362.318,574.218,486.055,553.709,600.946,491.988,600.794,462.5,600.717,433.146,739.15,462.597,889.163,524.277,600.904,530.064,765.515,538.995,912.798,459.663,274.204,480.224,271.406,0,0,518.427,274.242,515.523,954.049,539.042,954.003,542.004,927.544,427.139,930.382,421.305,924.452,480.12,903.798
1,462.628,291.82,503.819,362.498,462.567,365.304,468.358,483.221,436.108,577.233,547.739,362.397,574.174,486.113,553.664,600.95,486.12,600.833,456.751,597.966,430.195,739.185,453.586,897.987,524.242,603.725,527.385,765.555,536.142,918.586,459.649,274.216,480.229,274.161,0,0,518.409,274.24,515.452,954.055,539.039,954.011,541.992,930.33,412.383,930.525,409.482,924.573,459.629,906.839
2,462.581,291.884,503.69,362.497,459.543,362.539,459.663,480.261,433.197,577.272,547.812,362.467,571.36,488.953,553.665,600.916,485.994,600.739,456.6,597.879,424.304,742.157,435.915,903.824,521.397,600.839,527.31,765.517,536.074,915.743,459.558,274.247,480.197,274.198,0,0,515.526,274.238,515.49,954.043,541.935,953.986,541.914,930.324,406.533,936.37,394.889,930.315,447.764,909.884
3,462.45,291.957,500.77,362.45,456.563,362.467,453.732,480.265,430.157,577.258,544.902,362.465,571.3,488.959,553.624,600.927,483.12,597.94,453.649,597.795,415.38,745.091,418.418,906.844,518.472,600.841,527.256,765.526,536.058,918.613,459.425,274.283,480.112,274.275,0,0,512.536,274.249,515.463,954.084,541.933,954.015,541.95,930.343,388.923,947.997,385.902,930.561,433.131,921.541
4,459.639,294.756,497.816,365.342,453.634,365.358,444.824,486.082,418.413,577.373,542.003,365.378,571.286,491.937,550.868,603.747,482.996,597.859,447.845,594.949,412.357,750.89,409.405,918.586,515.518,600.747,527.199,765.592,536.083,918.599,456.612,277.169,480.014,277.177,0,0,509.603,274.234,515.458,954.087,541.937,954.029,541.952,930.342,374.26,953.826,365.46,945.114,412.628,930.358
5,459.535,294.837,491.962,365.383,447.761,365.367,438.937,483.23,412.504,577.406,539.023,365.432,565.481,491.935,550.886,600.961,480.132,600.746,439.059,597.878,409.403,750.925,388.994,921.625,509.705,600.886,527.142,765.613,533.259,918.673,456.445,280.113,477.189,280.125,0,0,506.792,277.09,515.508,954.065,541.927,954.001,539.08,930.384,365.466,956.866,359.464,950.966,403.61,930.458
6,456.667,294.892,486.104,365.438,439.021,365.272,435.931,483.119,409.523,577.399,533.191,365.554,562.525,497.759,550.823,603.756,474.29,600.753,435.995,597.841,403.637,750.862,380.146,924.548,506.699,600.922,524.288,765.675,533.258,918.622,450.699,283.006,471.301,285.896,0,0,506.616,277.197,515.522,954.061,541.929,953.989,541.919,930.361,362.459,956.991,344.866,953.839,386.117,933.407
7,456.478,297.712,483.218,365.548,436.021,365.31,427.208,486.058,403.574,580.204,533.1,368.425,556.798,500.653,550.812,606.666,465.518,603.732,433.063,597.969,391.935,759.626,365.368,927.525,506.563,606.757,518.402,771.45,533.226,921.572,441.917,285.98,465.442,288.824,0,0,503.663,285.878,515.477,954.055,539.009,953.994,541.94,930.465,359.428,968.616,341.736,956.979,374.199,936.321
8,450.744,300.645,480.102,368.4,430.137,365.545,415.405,488.963,389.019,580.294,530.079,371.28,553.81,494.888,550.689,606.697,462.501,603.781,430.037,600.794,388.955,759.772,353.596,933.403,503.723,609.603,509.717,771.565,533.251,921.603,436.151,288.848,462.457,288.902,0,0,500.774,285.901,515.478,954.081,539.01,954.025,542.014,930.486,344.784,980.429,330.104,974.622,359.517,948.101
9,441.962,300.738,474.309,374.177,418.352,371.269,409.499,491.918,385.881,586.103,527.215,374.279,553.665,494.923,547.817,609.609,459.594,603.828,421.325,600.866,385.999,759.683,341.794,936.352,503.577,609.656,506.818,774.467,533.185,924.428,433.211,291.681,459.471,291.674,0,0,489.033,288.833,512.601,956.831,536.106,954.036,541.964,930.513,338.835,989.266,318.332,977.594,344.768,951.011
