,Nosex,Nosey,Neckx,Necky,RSholderx,RSholdery,RElbowx,RElbowy,RWristx,RWristy,LSholderx,LSholdery,LElbowx,LElbowy,LWristx,LWristy,RHipx,RHipy,RKneex,RKneey,RAnklex,RAnkley,LHipx,LHipy,LKneex,LKneey,LAnklex,LAnkley,REyex,REyey,LEyex,LEyey,REarx,REary,LEarx,LEary
0,465.401,291.778,506.73,362.463,477.267,365.295,483.13,489.00800000000004,441.963,577.236,544.863,362.31800000000004,574.2180000000001,486.055,553.7090000000001,600.946,462.5,600.717,433.14599999999996,739.15,462.597,889.163,524.2769999999999,600.904,530.064,765.515,538.995,912.798,459.663,274.204,480.224,271.406,0.0,0.0,518.427,274.242
1,462.62800000000004,291.82,503.819,362.49800000000005,462.56699999999995,365.30400000000003,468.358,483.221,436.108,577.2330000000001,547.739,362.397,574.174,486.11300000000006,553.664,600.95,456.751,597.966,430.195,739.185,453.586,897.987,524.242,603.725,527.385,765.555,536.1419999999999,918.586,459.649,274.216,480.22900000000004,274.161,0.0,0.0,518.409,274.24
2,462.58099999999996,291.884,503.69,362.49699999999996,459.543,362.539,459.663,480.26099999999997,433.19699999999995,577.2719999999999,547.812,362.467,571.36,488.95300000000003,553.665,600.9159999999999,456.6,597.879,424.30400000000003,742.1569999999999,435.915,903.824,521.3969999999999,600.839,527.31,765.5169999999999,536.0740000000001,915.743,459.55800000000005,274.247,480.19699999999995,274.198,0.0,0.0,515.526,274.238
3,462.45,291.957,500.77,362.45,456.56300000000005,362.467,453.73199999999997,480.265,430.157,577.258,544.9019999999999,362.465,571.3,488.959,553.624,600.927,453.649,597.795,415.38,745.091,418.418,906.8439999999999,518.472,600.841,527.256,765.5260000000001,536.058,918.613,459.425,274.283,480.11199999999997,274.275,0.0,0.0,512.536,274.249
4,459.639,294.756,497.816,365.342,453.634,365.358,444.824,486.082,418.413,577.373,542.003,365.37800000000004,571.286,491.93699999999995,550.868,603.747,447.845,594.9490000000001,412.35699999999997,750.89,409.405,918.586,515.518,600.747,527.1990000000001,765.592,536.0830000000001,918.5989999999999,456.61199999999997,277.16900000000004,480.014,277.177,0.0,0.0,509.603,274.23400000000004
5,459.535,294.837,491.962,365.38300000000004,447.76099999999997,365.36699999999996,438.93699999999995,483.23,412.504,577.406,539.023,365.43199999999996,565.481,491.935,550.886,600.961,439.059,597.878,409.403,750.925,388.994,921.625,509.705,600.886,527.1419999999999,765.613,533.259,918.673,456.445,280.113,477.189,280.125,0.0,0.0,506.792,277.09
6,456.667,294.892,486.10400000000004,365.43800000000005,439.02099999999996,365.272,435.931,483.119,409.523,577.399,533.191,365.55400000000003,562.525,497.759,550.823,603.756,435.995,597.841,403.63699999999994,750.862,380.14599999999996,924.548,506.699,600.922,524.288,765.675,533.258,918.622,450.699,283.006,471.301,285.89599999999996,0.0,0.0,506.616,277.197
7,456.478,297.712,483.218,365.548,436.02099999999996,365.31,427.208,486.05800000000005,403.574,580.2040000000001,533.1,368.425,556.798,500.653,550.812,606.6659999999999,433.06300000000005,597.969,391.935,759.6260000000001,365.36800000000005,927.525,506.56300000000005,606.757,518.4019999999999,771.45,533.226,921.572,441.917,285.98,465.44199999999995,288.824,0.0,0.0,503.663,285.878
8,450.744,300.645,480.102,368.4,430.13699999999994,365.545,415.405,488.963,389.019,580.294,530.0790000000001,371.28,553.81,494.88800000000003,550.689,606.697,430.037,600.794,388.955,759.7719999999999,353.596,933.403,503.723,609.6030000000001,509.717,771.565,533.251,921.6030000000001,436.151,288.848,462.457,288.902,0.0,0.0,500.774,285.901
9,441.962,300.738,474.309,374.17699999999996,418.352,371.269,409.499,491.918,385.881,586.1030000000001,527.215,374.279,553.665,494.923,547.817,609.609,421.325,600.866,385.999,759.683,341.79400000000004,936.352,503.577,609.656,506.81800000000004,774.467,533.185,924.428,433.211,291.681,459.471,291.67400000000004,0.0,0.0,489.033,288.83299999999997
10,436.14599999999996,303.638,462.56699999999995,377.149,412.414,371.30699999999996,397.778,497.79400000000004,368.32,591.9159999999999,518.448,380.04400000000004,550.766,500.707,544.87,609.705,415.36699999999996,603.839,380.111,762.643,335.976,945.1460000000001,491.98800000000006,615.535,506.58099999999996,780.2689999999999,533.131,921.557,430.17400000000004,291.762,456.528,291.75,0.0,0.0,483.162,288.888
11,433.17699999999996,309.467,456.68800000000005,383.001,403.70599999999996,380.115,388.849,494.876,362.33099999999996,588.994,509.644,382.98,550.653,503.588,536.1030000000001,615.465,409.62300000000005,603.836,374.25199999999995,762.707,324.187,950.931,483.164,615.479,503.721,777.432,533.087,921.591,421.335,291.9,450.717,291.887,409.48400000000004,291.82099999999997,480.059,291.748
12,430.144,312.383,447.73800000000006,385.87300000000005,388.93199999999996,385.881,374.23400000000004,503.61300000000006,344.87,594.967,503.723,383.036,541.932,503.69800000000004,530.3480000000001,618.4490000000001,403.675,609.681,365.29900000000004,768.502,318.376,951.075,480.162,618.393,500.70099999999996,780.3389999999999,530.2819999999999,918.672,412.569,294.738,438.98699999999997,291.931,403.62,291.85400000000004,468.36300000000006,291.796
13,418.39599999999996,312.481,436.05699999999996,385.914,382.977,385.88800000000003,362.434,497.756,336.009,594.8530000000001,497.784,385.907,530.245,503.67900000000003,530.073,615.563,388.991,609.682,362.29900000000004,771.567,315.48400000000004,954.035,471.37300000000005,618.393,491.981,783.284,530.242,918.686,409.51,294.756,435.935,294.69,391.89300000000003,294.671,459.57800000000003,291.908
