,Nosex,Nosey,Neckx,Necky,RSholderx,RSholdery,RElbowx,RElbowy,RWristx,RWristy,LSholderx,LSholdery,LElbowx,LElbowy,LWristx,LWristy,RHipx,RHipy,RKneex,RKneey,RAnklex,RAnkley,LHipx,LHipy,LKneex,LKneey,LAnklex,LAnkley,REyex,REyey,LEyex,LEyey,REarx,REary,LEarx,LEary
0,462.633,291.901,524.239,356.567,506.559,353.647,608.395,-1063.433,818.815,-192.147,536.064,356.578,553.682,480.195,512.534,583.23,506.771,574.384,527.194,745.096,539.03,906.853,530.156,577.367,527.32,747.973,544.891,921.608,462.49,280.059,480.122,274.263,10360.918,280.373,518.397,277.144
1,462.629,291.965,524.238,356.572,506.56,353.664,586.523,-669.343,738.015,9.793,536.046,356.557,553.688,483.045,512.507,589.036,506.676,574.266,527.183,742.135,539.037,906.81,527.368,577.213,527.287,745.017,542.0,918.635,462.461,282.999,480.102,277.097,9680.103,280.389,515.439,277.164
2,462.614,294.675,524.208,356.566,506.543,353.676,566.82,-331.986,668.011,182.04,536.036,356.538,553.668,480.164,518.376,589.081,506.679,577.223,527.177,745.063,541.914,906.778,527.328,577.381,527.316,750.884,541.947,918.597,459.739,285.875,480.094,277.151,9023.393,280.433,515.432,277.189
3,462.572,294.654,524.194,356.554,503.825,353.677,549.286,-51.361,608.804,324.594,536.036,356.51,553.72,483.033,521.302,597.769,503.805,577.377,524.364,745.066,538.969,903.924,527.301,580.311,527.295,750.933,544.872,912.805,459.723,283.041,480.058,277.109,8390.786,280.506,512.577,277.183
4,462.572,291.962,521.392,353.646,503.818,353.647,533.92,172.531,560.395,437.455,533.219,350.715,553.74,483.243,524.31,600.72,500.783,580.304,524.259,750.898,539.039,904.002,527.238,586.101,527.272,756.727,541.928,915.742,459.718,283.0,480.044,277.071,7782.284,280.608,512.569,277.138
5,462.568,294.654,521.395,353.635,503.816,353.66,520.724,339.691,522.782,520.623,533.234,350.709,553.843,483.206,527.323,600.853,503.6,586.141,524.224,750.92,536.157,906.789,527.201,589.06,527.2,756.759,544.845,915.656,459.713,285.866,480.023,277.092,7197.887,280.739,512.547,277.105
6,462.584,294.675,521.348,353.626,503.743,353.587,509.696,450.119,495.967,574.098,533.244,353.588,553.856,483.189,530.163,600.834,500.781,591.967,521.346,753.864,541.945,903.898,527.125,594.841,527.09,756.717,544.851,912.779,459.698,285.878,480.044,277.095,6637.594,280.899,512.544,277.106
7,462.599,294.695,521.373,356.513,503.75,353.597,500.657,503.81,480.046,597.869,536.056,356.51,556.668,483.159,533.196,600.776,497.817,594.891,512.608,756.801,544.885,903.852,524.31,594.887,524.267,759.646,544.864,915.735,459.698,285.887,480.067,277.128,6101.405,281.087,512.588,277.115
8,462.592,294.677,521.389,356.615,503.737,353.652,494.866,500.794,474.328,592.025,536.081,359.421,556.746,483.241,541.964,600.8,491.933,597.879,506.716,759.756,541.909,903.807,524.257,597.937,524.329,762.565,541.971,915.687,459.722,283.029,480.07,277.123,5589.32,281.304,512.591,277.16
9,462.628,294.676,518.44,359.499,500.768,359.539,488.982,486.097,477.125,586.162,536.084,356.594,559.573,483.233,547.88,600.901,486.12,600.854,497.866,759.727,536.112,898.02,527.178,600.881,527.271,762.563,541.976,912.803,462.458,283.016,480.087,277.131,5101.34,281.55,515.477,277.113
