time,Nosex,Nosey,Neckx,Necky,RSholderx,RSholdery,RElbowx,RElbowy,RWristx,RWristy,LSholderx,LSholdery,LElbowx,LElbowy,LWristx,LWristy,MidHipx,MidHipy,RHipx,RHipy,RKneex,RKneey,RAnklex,RAnkley,LHipx,LHipy,LKneex,LKneey,LAnklex,LAnkley,REyex,REyey,LEyex,LEyey,REarx,REary,LEarx,LEary,LBigToex,LBigToey,LSmallToex,LSmallToey,LHeelx,LHeely,RBigToex,RBigToey,RSmallToex,RSmallToey,RHeelx,RHeely
0,462.633,291.901,524.239,356.567,506.559,353.647,0,0,0,0,536.064,356.578,553.682,480.195,512.534,583.23,524.242,577.21,506.771,574.384,527.194,745.096,539.03,906.853,530.156,577.367,527.32,747.973,544.891,921.608,462.49,280.059,480.122,274.263,0,0,518.397,277.144,509.603,953.984,527.291,956.905,553.729,933.442,486.144,927.37,489.076,918.636,553.818,927.539
1,462.629,291.965,524.238,356.572,506.56,353.664,0,0,0,0,536.046,356.557,553.688,483.045,512.507,589.036,521.321,574.317,506.676,574.266,527.183,742.135,539.037,906.81,527.368,577.213,527.287,745.017,542,918.635,462.461,282.999,480.102,277.097,0,0,515.439,277.164,512.544,953.961,530.208,954.065,553.652,930.552,494.898,930.327,494.912,924.502,553.799,930.306
2,462.614,294.675,524.208,356.566,506.543,353.676,0,0,0,0,536.036,356.538,553.668,480.164,518.376,589.081,518.471,577.249,506.679,577.223,527.177,745.063,541.914,906.778,527.328,577.381,527.316,750.884,541.947,918.597,459.739,285.875,480.094,277.151,0,0,515.432,277.189,512.512,953.859,530.111,954.021,550.891,933.296,491.983,927.407,494.875,921.539,553.827,930.339
3,462.572,294.654,524.194,356.554,503.825,353.677,0,0,0,0,536.036,356.51,553.72,483.033,521.302,597.769,515.488,580.178,503.805,577.377,524.364,745.066,538.969,903.924,527.301,580.311,527.295,750.933,544.872,912.805,459.723,283.041,480.058,277.109,0,0,512.577,277.183,512.499,953.905,530.183,954.028,553.694,930.424,489.011,924.55,491.912,915.728,553.721,927.405
4,462.572,291.962,521.392,353.646,503.818,353.647,0,0,0,0,533.219,350.715,553.74,483.243,524.31,600.72,509.686,583.156,500.783,580.304,524.259,750.898,539.039,904.002,527.238,586.101,527.272,756.727,541.928,915.742,459.718,283,480.044,277.071,0,0,512.569,277.138,509.602,953.897,527.279,954.046,553.643,930.529,488.968,924.464,491.942,912.821,553.826,927.447
5,462.568,294.654,521.395,353.635,503.816,353.66,0,0,0,0,533.234,350.709,553.843,483.206,527.323,600.853,509.685,586.135,503.6,586.141,524.224,750.92,536.157,906.789,527.201,589.06,527.2,756.759,544.845,915.656,459.713,285.866,480.023,277.092,0,0,512.547,277.105,512.53,953.94,530.094,954.049,553.679,930.455,488.976,924.567,491.948,918.597,553.72,927.542
6,462.584,294.675,521.348,353.626,503.743,353.587,0,0,0,0,533.244,353.588,553.856,483.189,530.163,600.834,509.592,591.967,500.781,591.967,521.346,753.864,541.945,903.898,527.125,594.841,527.09,756.717,544.851,912.779,459.698,285.878,480.044,277.095,0,0,512.544,277.106,509.674,953.919,530.107,954.012,553.717,930.328,491.889,927.373,491.931,918.602,556.684,924.478
7,462.599,294.695,521.373,356.513,503.75,353.597,500.657,503.81,480.046,597.869,536.056,356.51,556.668,483.159,533.196,600.776,506.741,594.882,497.817,594.891,512.608,756.801,544.885,903.852,524.31,594.887,524.267,759.646,544.864,915.735,459.698,285.887,480.067,277.128,0,0,512.588,277.115,509.685,953.949,530.188,954.07,553.714,930.317,488.966,924.57,489.014,915.686,559.653,918.629
8,462.592,294.677,521.389,356.615,503.737,353.652,494.866,500.794,474.328,592.025,536.081,359.421,556.746,483.241,541.964,600.8,506.632,597.901,491.933,597.879,506.716,759.756,541.909,903.807,524.257,597.937,524.329,762.565,541.971,915.687,459.722,283.029,480.07,277.123,0,0,512.591,277.16,509.639,953.921,530.159,954.029,553.665,927.544,486.101,924.531,488.973,912.802,559.625,912.765
9,462.628,294.676,518.44,359.499,500.768,359.539,488.982,486.097,477.125,586.162,536.084,356.594,559.573,483.233,547.88,600.901,506.614,600.862,486.12,600.854,497.866,759.727,536.112,898.02,527.178,600.881,527.271,762.563,541.976,912.803,462.458,283.016,480.087,277.131,0,0,515.477,277.113,515.475,953.875,533.223,953.948,550.851,927.402,491.969,924.571,491.892,912.786,553.842,906.902
