time,Nosex,Nosey,Neckx,Necky,RSholderx,RSholdery,RElbowx,RElbowy,RWristx,RWristy,LSholderx,LSholdery,LElbowx,LElbowy,LWristx,LWristy,MidHipx,MidHipy,RHipx,RHipy,RKneex,RKneey,RAnklex,RAnkley,LHipx,LHipy,LKneex,LKneey,LAnklex,LAnkley,REyex,REyey,LEyex,LEyey,REarx,REary,LEarx,LEary,LBigToex,LBigToey,LSmallToex,LSmallToey,LHeelx,LHeely,RBigToex,RBigToey,RSmallToex,RSmallToey,RHeelx,RHeely
0,365.378,306.524,362.527,365.408,321.263,365.459,315.313,441.884,315.443,509.6,403.681,365.348,412.405,441.91,415.392,512.534,365.395,509.642,341.806,512.501,347.709,624.428,362.462,739.031,388.978,509.594,391.97,621.502,388.82,715.477,359.493,294.859,371.352,294.807,341.819,306.553,385.986,300.732,400.649,742.23,409.614,739.166,385.928,718.495,362.465,762.769,344.85,762.679,365.498,742.155
1,365.404,306.495,362.557,365.283,321.247,365.308,315.322,438.961,315.462,506.716,406.508,365.285,412.554,441.874,412.641,512.51,365.426,509.61,341.824,509.673,347.753,624.501,362.475,739.057,389.019,509.581,391.944,624.302,388.942,718.572,359.507,294.842,374.197,294.775,341.824,306.552,386.017,300.661,397.799,748.003,409.681,742.127,386.04,727.374,362.406,762.768,344.808,762.67,365.52,742.205
2,365.422,306.486,362.469,362.561,318.482,362.595,315.318,436.158,318.187,506.651,400.732,362.579,409.61,441.886,412.605,509.66,365.308,509.647,341.736,512.508,347.75,624.523,362.473,739.09,388.887,509.596,391.895,624.304,389.051,727.361,359.534,294.83,374.218,294.771,341.824,306.492,386.012,300.641,394.885,759.67,409.67,750.942,388.826,739.131,362.444,762.764,344.882,762.673,365.484,744.956
3,365.461,303.628,362.487,362.586,321.219,365.283,315.297,438.944,318.21,506.538,403.603,362.595,409.623,441.915,412.642,512.508,365.331,512.508,341.776,512.575,347.753,627.262,362.46,739.125,388.903,509.643,391.873,624.412,389.093,736.101,359.563,294.808,374.261,294.744,341.823,303.65,386.018,300.614,397.817,762.59,412.397,756.832,388.835,742.077,362.412,765.493,344.863,762.711,365.453,745.043
4,365.502,303.616,362.495,362.575,321.242,365.301,315.333,438.933,318.276,503.802,400.745,362.555,412.411,439.04,412.594,509.669,365.366,512.514,341.806,512.575,347.765,627.37,362.483,739.235,388.942,509.654,391.846,627.25,391.95,739.223,362.306,294.795,377.138,294.733,341.845,303.619,386.041,297.823,403.701,765.572,412.607,762.658,388.897,747.987,362.437,765.53,344.906,762.742,365.429,747.959
5,365.514,303.593,362.534,362.578,321.273,365.305,315.355,436.083,318.3,503.724,403.632,362.561,412.461,439.033,412.603,509.677,365.358,512.558,341.812,512.604,347.807,627.348,362.502,739.224,388.934,512.495,389.082,627.32,391.933,742.176,362.319,294.781,377.179,294.726,341.868,303.639,386.091,300.63,394.876,765.638,412.421,765.494,388.963,759.636,362.486,765.513,347.72,762.692,365.451,747.939
6,365.546,303.604,365.272,365.314,321.324,365.318,315.387,436.06,318.329,503.686,406.558,365.327,412.564,441.97,415.434,512.568,365.39,515.52,341.833,518.397,350.673,627.418,362.518,739.202,388.971,515.45,389.06,627.409,391.912,745.097,362.354,294.778,380.036,294.742,341.914,303.606,386.122,300.689,394.839,765.763,412.385,765.625,388.943,762.536,362.402,765.5,347.705,762.63,365.456,745.127
7,368.301,303.631,365.322,365.311,324.16,365.366,315.434,436.166,318.39,503.766,406.535,365.279,412.571,441.894,415.461,515.474,365.492,515.459,341.946,515.482,350.692,627.388,362.543,739.14,389.042,512.598,389.016,627.38,391.962,747.929,362.384,294.802,380.087,294.744,341.915,306.497,388.805,300.669,391.976,768.528,409.654,765.684,389.01,762.554,362.365,765.534,344.88,762.633,365.495,745.052
8,368.368,303.619,365.431,365.363,324.276,365.407,315.483,441.902,321.207,506.692,409.41,365.341,412.588,441.937,415.429,515.45,365.534,518.437,341.997,518.464,353.63,630.252,362.57,739.095,389.082,518.429,389.026,630.286,391.912,747.979,362.429,294.776,382.978,294.733,341.974,306.485,388.945,300.698,391.919,768.531,409.634,765.701,388.953,762.592,362.363,765.49,344.871,762.574,365.51,745.013
9,368.426,306.549,365.522,365.385,327.184,365.381,315.484,441.894,321.201,506.773,409.533,365.385,415.428,444.858,415.523,518.419,365.516,518.412,341.981,518.43,353.658,630.275,362.562,739.057,389.058,518.405,389.074,630.31,391.861,747.992,362.487,294.826,383.042,294.805,344.761,303.559,388.981,300.69,391.975,771.463,412.393,768.548,388.879,762.628,362.367,765.5,344.864,762.581,365.476,744.991
10,371.268,303.647,368.284,365.413,330.124,365.377,318.192,441.922,321.238,509.579,409.599,365.45,412.636,447.833,418.364,521.312,365.537,521.324,341.977,521.336,353.681,633.228,365.259,739.056,389.105,521.334,389.061,636.133,391.828,753.892,362.532,294.787,385.829,294.727,344.835,303.596,389.082,297.837,397.74,780.265,412.44,774.39,386.109,762.797,362.37,765.508,344.888,762.575,365.504,745.01
11,371.346,303.639,368.375,365.372,333.037,365.403,318.269,441.987,318.487,509.636,409.676,365.319,415.471,444.868,418.417,521.396,368.294,524.222,342.006,524.263,356.539,639.098,362.568,739.099,391.873,524.21,389.045,641.927,389.102,759.69,365.263,294.77,385.893,294.72,347.759,300.699,391.828,297.801,400.669,783.207,412.442,777.412,386.056,765.633,362.351,765.536,344.883,762.594,365.435,745.055
12,377.192,300.698,368.457,365.379,335.872,365.4,318.329,447.789,318.488,515.477,412.474,365.342,415.519,450.666,424.267,521.373,368.42,524.254,344.798,524.297,356.618,641.908,362.553,739.07,394.802,524.246,389.069,641.93,389.094,759.681,365.388,294.686,386.015,294.637,350.719,300.682,394.78,297.789,400.655,783.241,412.444,780.272,386.054,765.59,362.379,765.489,344.894,762.548,365.407,745.01
13,383.004,303.6,371.306,365.314,335.996,365.368,318.36,447.781,321.248,518.473,412.489,365.274,421.347,444.907,427.235,521.336,374.203,524.247,347.739,524.299,356.582,641.959,362.547,738.985,397.829,524.218,391.878,641.938,389.114,759.672,365.535,294.742,388.817,294.686,353.677,300.711,397.77,297.733,403.581,783.304,412.507,780.308,386.052,765.555,362.43,762.773,347.706,759.784,365.381,742.142
14,383.06,303.552,374.234,362.512,338.829,362.585,318.459,444.874,321.251,524.24,412.525,362.526,427.218,444.842,430.169,524.275,377.164,524.259,347.793,524.294,356.524,636.108,362.522,736.107,403.64,524.219,394.846,639.056,389.109,753.893,368.305,294.701,388.882,294.666,356.589,297.835,400.747,297.705,400.696,783.193,412.474,777.373,386.053,762.747,362.511,762.648,347.789,759.64,365.347,741.978
15,385.87,300.669,380.089,362.505,338.888,362.575,321.253,447.767,321.28,527.084,415.456,362.528,430.03,444.843,432.972,527.174,380.126,524.286,353.59,524.329,356.559,636.153,362.484,727.414,406.544,524.242,397.793,639.08,389.08,753.863,368.423,294.642,388.99,291.949,359.473,297.801,406.491,297.683,400.668,780.346,412.437,774.458,385.988,762.733,362.427,762.666,344.901,759.637,365.339,739.059
16,385.948,297.745,383.027,362.481,338.936,362.522,321.244,447.809,321.348,527.099,418.44,362.524,433.05,444.877,433.143,527.242,383.004,524.275,353.67,524.287,356.493,636.156,362.436,721.465,409.408,524.269,397.829,641.986,389.086,756.756,371.324,291.853,389.075,291.843,362.278,297.677,406.598,294.924,403.642,783.194,412.525,774.485,385.943,762.77,362.358,759.746,344.81,750.941,365.294,733.194
17,386.019,297.694,383.106,362.488,338.982,362.521,324.254,447.823,321.346,527.181,424.203,362.546,433.022,447.757,435.916,527.088,383.045,521.347,353.668,521.392,359.389,633.163,362.389,718.609,409.447,521.34,403.593,639.101,391.828,756.756,374.244,291.803,391.883,291.78,362.319,294.929,409.432,294.866,406.502,783.233,412.586,774.484,385.944,762.787,362.324,759.725,342.005,750.889,362.562,727.356
18,386.065,297.698,385.878,362.446,341.749,362.509,327.196,447.801,324.16,527.213,424.278,362.467,435.896,447.758,436.094,524.254,383.069,521.341,356.494,521.376,359.559,633.219,362.401,718.634,409.483,521.343,403.708,641.952,391.895,759.621,377.168,291.817,391.936,291.792,362.41,294.895,409.477,294.848,403.699,783.199,412.576,774.491,386.006,765.529,359.56,759.692,341.983,748.015,362.567,727.362
19,386.118,297.693,385.923,362.381,341.786,362.459,332.953,444.887,327.132,527.212,427.201,362.385,435.97,444.83,436.144,524.237,385.893,518.388,359.419,518.387,362.38,630.302,362.432,721.442,409.575,518.408,406.519,641.961,391.909,756.837,380.069,291.83,391.989,291.787,362.497,294.895,409.535,294.838,406.51,783.203,412.595,774.49,386.032,765.525,362.313,759.667,342.027,748.013,362.595,730.309
20,388.81,297.681,385.98,362.387,341.856,362.475,335.852,444.854,330.031,524.354,430.04,362.377,436.117,441.868,438.987,521.289,385.987,515.518,359.518,518.372,362.457,627.399,362.437,721.526,409.677,515.501,406.614,639.086,391.899,756.805,380.129,291.794,394.825,291.807,362.57,294.848,409.608,294.906,406.52,783.244,412.633,777.349,386.019,765.518,362.344,762.621,341.996,756.757,362.545,733.239
21,388.936,294.941,386.11,362.425,341.91,362.529,335.924,447.81,330.118,524.362,432.959,362.391,436.185,441.872,439.089,518.419,386.106,515.457,362.376,515.474,365.26,630.31,362.433,739.126,412.434,515.439,406.635,639.036,391.9,759.655,383.02,291.803,397.8,291.757,365.348,294.911,412.393,294.817,406.545,783.233,415.378,777.35,386.082,765.595,362.489,768.521,344.894,765.509,362.49,745.07
22,388.987,294.932,388.893,362.404,341.966,362.498,335.973,444.829,333.013,524.26,433.104,362.385,439.041,438.949,447.735,512.583,388.824,515.513,362.451,515.495,365.4,639.061,365.354,742.16,412.489,518.373,406.58,642.001,391.949,759.705,383.095,291.799,400.722,291.778,365.422,294.912,412.459,294.838,403.668,783.297,412.608,777.41,388.867,765.683,365.303,777.337,350.707,768.588,365.548,759.623
23,389.042,294.931,388.908,362.38,342.008,362.482,336.02,444.854,333.055,527.095,433.095,362.342,444.861,436.186,450.714,512.609,388.831,518.376,362.462,518.374,365.466,642.016,368.354,753.845,412.51,518.394,409.36,642.015,394.911,759.77,385.841,291.767,403.644,291.758,365.452,294.864,412.543,294.798,409.384,786.094,415.451,780.298,389.081,765.753,368.414,783.281,359.52,780.326,371.343,765.569
24,391.825,294.936,388.923,362.352,344.793,362.445,338.74,444.842,333.065,527.126,433.083,362.317,450.731,436.141,453.661,512.615,388.851,515.48,362.449,515.487,365.54,642.051,374.27,762.573,412.562,515.498,409.369,641.99,394.867,759.71,385.91,291.757,406.529,291.766,365.49,294.837,412.618,294.796,406.594,786.065,415.381,780.306,391.878,765.724,380.104,786.33,365.265,786.253,380.109,771.444
25,391.874,294.922,388.935,362.365,344.82,362.464,338.778,444.802,335.873,527.123,433.078,362.332,447.802,436.156,453.605,515.503,388.852,515.498,362.475,515.497,368.398,641.992,382.951,762.624,412.541,515.514,409.359,641.953,394.832,756.79,385.953,291.762,406.554,291.75,365.538,294.843,412.624,294.764,406.624,786.062,412.642,780.303,391.895,765.679,386.006,789.166,368.322,789.124,383.095,774.439
26,391.92,294.927,388.995,362.397,344.843,362.503,338.776,444.875,335.989,527.187,433.146,362.356,447.778,438.942,453.598,518.4,388.937,521.347,362.549,521.339,374.246,644.855,385.916,765.538,412.631,521.366,409.437,644.871,397.748,762.531,385.997,291.769,406.615,291.769,365.583,294.857,415.371,294.813,409.453,786.085,415.461,780.33,394.79,771.527,389.007,789.207,374.281,789.211,386.042,783.161
27,392.003,294.938,389.041,362.42,344.876,362.527,338.824,447.82,338.756,527.283,433.201,362.382,453.577,438.983,453.672,521.383,389.024,527.142,365.284,527.157,377.137,647.786,385.988,765.665,415.48,527.158,409.438,645.043,394.894,762.635,386.047,291.784,409.375,291.773,368.299,294.86,415.42,294.836,406.622,786.128,415.398,783.214,391.953,774.474,389.07,789.241,380.047,789.234,388.83,783.311
