,Nosex,Nosey,Neckx,Necky,RSholderx,RSholdery,RElbowx,RElbowy,RWristx,RWristy,LSholderx,LSholdery,LElbowx,LElbowy,LWristx,LWristy,RHipx,RHipy,RKneex,RKneey,RAnklex,RAnkley,LHipx,LHipy,LKneex,LKneey,LAnklex,LAnkley,REyex,REyey,LEyex,LEyey,REarx,REary,LEarx,LEary
0,365.37800000000004,306.524,362.527,365.408,321.263,365.459,315.313,441.884,315.443,509.6,403.681,365.348,412.405,441.91,415.392,512.534,341.806,512.501,347.709,624.428,362.462,739.0310000000001,388.978,509.594,391.97,621.502,388.82,715.477,359.49300000000005,294.85900000000004,371.352,294.807,341.819,306.553,385.986,300.732
1,365.404,306.495,362.55699999999996,365.283,321.247,365.30800000000005,315.322,438.961,315.462,506.716,406.50800000000004,365.285,412.55400000000003,441.874,412.64099999999996,512.51,341.824,509.673,347.75300000000004,624.501,362.475,739.057,389.019,509.58099999999996,391.944,624.302,388.94199999999995,718.572,359.50699999999995,294.842,374.19699999999995,294.775,341.824,306.552,386.017,300.661
2,365.42199999999997,306.486,362.469,362.561,318.482,362.595,315.318,436.158,318.187,506.651,400.73199999999997,362.579,409.61,441.88599999999997,412.605,509.66,341.736,512.508,347.75,624.523,362.473,739.09,388.88699999999994,509.596,391.895,624.304,389.051,727.3610000000001,359.534,294.83,374.218,294.77099999999996,341.824,306.492,386.01199999999994,300.64099999999996
3,365.461,303.628,362.48699999999997,362.586,321.219,365.283,315.297,438.944,318.21,506.538,403.603,362.595,409.62300000000005,441.915,412.642,512.508,341.776,512.575,347.75300000000004,627.262,362.46,739.125,388.903,509.64300000000003,391.87300000000005,624.4119999999999,389.093,736.1010000000001,359.56300000000005,294.808,374.26099999999997,294.744,341.82300000000004,303.65,386.01800000000003,300.61400000000003
4,365.50199999999995,303.616,362.495,362.575,321.242,365.301,315.33299999999997,438.93300000000005,318.276,503.80199999999996,400.745,362.555,412.411,439.04,412.594,509.66900000000004,341.806,512.575,347.765,627.37,362.483,739.235,388.94199999999995,509.654,391.846,627.25,391.95,739.2230000000001,362.306,294.795,377.13800000000003,294.733,341.845,303.619,386.041,297.823
5,365.514,303.593,362.534,362.57800000000003,321.27299999999997,365.305,315.355,436.083,318.3,503.724,403.63199999999995,362.561,412.461,439.033,412.603,509.67699999999996,341.81199999999995,512.604,347.80699999999996,627.3480000000001,362.50199999999995,739.2239999999999,388.934,512.495,389.082,627.32,391.93300000000005,742.176,362.319,294.781,377.17900000000003,294.726,341.86800000000005,303.639,386.091,300.63
6,365.546,303.60400000000004,365.272,365.314,321.324,365.31800000000004,315.387,436.06,318.329,503.686,406.55800000000005,365.327,412.564,441.97,415.434,512.568,341.833,518.3969999999999,350.673,627.418,362.51800000000003,739.202,388.971,515.45,389.06,627.409,391.912,745.097,362.35400000000004,294.778,380.036,294.742,341.914,303.606,386.12199999999996,300.689
7,368.301,303.631,365.32199999999995,365.311,324.16,365.366,315.434,436.166,318.39,503.76599999999996,406.535,365.279,412.57099999999997,441.894,415.461,515.474,341.94599999999997,515.482,350.69199999999995,627.388,362.543,739.14,389.042,512.5980000000001,389.01599999999996,627.38,391.962,747.929,362.384,294.802,380.087,294.744,341.915,306.497,388.805,300.66900000000004
8,368.36800000000005,303.619,365.431,365.36300000000006,324.276,365.407,315.483,441.902,321.207,506.69199999999995,409.41,365.341,412.588,441.93699999999995,415.42900000000003,515.45,341.99699999999996,518.464,353.63,630.252,362.57,739.095,389.082,518.429,389.026,630.286,391.912,747.9789999999999,362.42900000000003,294.776,382.978,294.733,341.974,306.485,388.945,300.698
9,368.426,306.54900000000004,365.522,365.385,327.184,365.381,315.48400000000004,441.894,321.20099999999996,506.773,409.533,365.385,415.42800000000005,444.858,415.523,518.419,341.981,518.43,353.658,630.275,362.56199999999995,739.057,389.05800000000005,518.405,389.074,630.31,391.861,747.992,362.48699999999997,294.82599999999996,383.042,294.805,344.76099999999997,303.559,388.981,300.69
10,371.26800000000003,303.647,368.284,365.413,330.124,365.37699999999995,318.192,441.92199999999997,321.238,509.579,409.599,365.45,412.63599999999997,447.833,418.36400000000003,521.312,341.977,521.336,353.681,633.2280000000001,365.259,739.056,389.105,521.3340000000001,389.061,636.133,391.82800000000003,753.8919999999999,362.532,294.78700000000003,385.829,294.72700000000003,344.835,303.596,389.082,297.837
11,371.346,303.639,368.375,365.37199999999996,333.037,365.403,318.269,441.98699999999997,318.487,509.63599999999997,409.676,365.319,415.471,444.86800000000005,418.417,521.396,342.006,524.263,356.539,639.0980000000001,362.56800000000004,739.0989999999999,391.87300000000005,524.21,389.045,641.927,389.102,759.69,365.26300000000003,294.77,385.89300000000003,294.72,347.759,300.699,391.82800000000003,297.801
12,377.19199999999995,300.698,368.457,365.379,335.87199999999996,365.4,318.329,447.789,318.488,515.477,412.474,365.342,415.519,450.666,424.267,521.373,344.798,524.297,356.61800000000005,641.908,362.55300000000005,739.07,394.80199999999996,524.246,389.069,641.93,389.094,759.681,365.38800000000003,294.686,386.015,294.637,350.719,300.682,394.78,297.789
13,383.004,303.6,371.306,365.314,335.996,365.36800000000005,318.36,447.781,321.248,518.4730000000001,412.48900000000003,365.274,421.347,444.907,427.235,521.336,347.73900000000003,524.299,356.582,641.9590000000001,362.54699999999997,738.985,397.829,524.2180000000001,391.87800000000004,641.938,389.11400000000003,759.672,365.535,294.742,388.81699999999995,294.686,353.67699999999996,300.711,397.77,297.733
14,383.06,303.552,374.23400000000004,362.51199999999994,338.829,362.585,318.459,444.874,321.251,524.24,412.525,362.526,427.218,444.842,430.16900000000004,524.275,347.793,524.294,356.524,636.1080000000001,362.522,736.107,403.64,524.219,394.846,639.056,389.10900000000004,753.893,368.305,294.70099999999996,388.88199999999995,294.666,356.589,297.835,400.74699999999996,297.705
15,385.87,300.66900000000004,380.089,362.505,338.88800000000003,362.575,321.253,447.767,321.28,527.0840000000001,415.45599999999996,362.528,430.03,444.843,432.972,527.174,353.59,524.3290000000001,356.559,636.153,362.48400000000004,727.414,406.54400000000004,524.242,397.793,639.08,389.08,753.863,368.423,294.642,388.99,291.949,359.473,297.801,406.491,297.683
16,385.94800000000004,297.745,383.027,362.481,338.936,362.522,321.244,447.809,321.348,527.099,418.44,362.524,433.05,444.87699999999995,433.14300000000003,527.242,353.67,524.2869999999999,356.49300000000005,636.156,362.436,721.465,409.408,524.269,397.829,641.986,389.086,756.7560000000001,371.324,291.853,389.075,291.843,362.278,297.677,406.598,294.92400000000004
17,386.019,297.694,383.106,362.48800000000006,338.98199999999997,362.52099999999996,324.254,447.82300000000004,321.346,527.181,424.20300000000003,362.546,433.022,447.75699999999995,435.916,527.0880000000001,353.668,521.3919999999999,359.389,633.163,362.389,718.6089999999999,409.44699999999995,521.34,403.593,639.101,391.82800000000003,756.7560000000001,374.244,291.803,391.88300000000004,291.78,362.319,294.92900000000003,409.43199999999996,294.866
18,386.065,297.698,385.87800000000004,362.44599999999997,341.749,362.509,327.19599999999997,447.801,324.16,527.2130000000001,424.278,362.467,435.89599999999996,447.75800000000004,436.094,524.254,356.494,521.376,359.559,633.219,362.401,718.6339999999999,409.483,521.3430000000001,403.708,641.952,391.895,759.6210000000001,377.168,291.817,391.936,291.79200000000003,362.41,294.895,409.477,294.848
19,386.11800000000005,297.693,385.923,362.381,341.786,362.459,332.95300000000003,444.88699999999994,327.132,527.212,427.20099999999996,362.385,435.97,444.83,436.144,524.237,359.41900000000004,518.387,362.38,630.302,362.43199999999996,721.442,409.575,518.408,406.519,641.961,391.909,756.837,380.069,291.83,391.98900000000003,291.78700000000003,362.49699999999996,294.895,409.535,294.83799999999997
20,388.81,297.681,385.98,362.38699999999994,341.856,362.475,335.852,444.85400000000004,330.031,524.354,430.04,362.37699999999995,436.11699999999996,441.86800000000005,438.98699999999997,521.289,359.51800000000003,518.372,362.457,627.399,362.43699999999995,721.5260000000001,409.67699999999996,515.501,406.61400000000003,639.086,391.899,756.805,380.129,291.79400000000004,394.825,291.807,362.57,294.848,409.608,294.906
21,388.936,294.941,386.11,362.425,341.91,362.529,335.92400000000004,447.81,330.11800000000005,524.362,432.959,362.39099999999996,436.185,441.87199999999996,439.089,518.419,362.376,515.474,365.26,630.31,362.43300000000005,739.1260000000001,412.434,515.439,406.635,639.036,391.9,759.655,383.02,291.803,397.8,291.757,365.348,294.911,412.39300000000003,294.817
22,388.98699999999997,294.932,388.89300000000003,362.404,341.966,362.49800000000005,335.973,444.829,333.01300000000003,524.26,433.10400000000004,362.385,439.041,438.949,447.735,512.5830000000001,362.45099999999996,515.495,365.4,639.061,365.35400000000004,742.16,412.48900000000003,518.373,406.58,642.001,391.949,759.705,383.095,291.79900000000004,400.722,291.778,365.42199999999997,294.91200000000003,412.459,294.83799999999997
23,389.042,294.931,388.908,362.38,342.00800000000004,362.48199999999997,336.02,444.85400000000004,333.055,527.095,433.095,362.342,444.861,436.186,450.714,512.609,362.462,518.374,365.466,642.016,368.35400000000004,753.845,412.51,518.394,409.36,642.015,394.911,759.77,385.841,291.767,403.644,291.758,365.452,294.86400000000003,412.543,294.798
24,391.825,294.936,388.923,362.352,344.793,362.445,338.74,444.842,333.065,527.126,433.083,362.31699999999995,450.731,436.14099999999996,453.661,512.615,362.449,515.487,365.54,642.0509999999999,374.27,762.573,412.56199999999995,515.498,409.369,641.99,394.86699999999996,759.71,385.91,291.757,406.529,291.76599999999996,365.49,294.837,412.61800000000005,294.796
25,391.874,294.922,388.935,362.365,344.82,362.464,338.778,444.80199999999996,335.87300000000005,527.123,433.07800000000003,362.332,447.80199999999996,436.156,453.605,515.503,362.475,515.497,368.398,641.992,382.95099999999996,762.6239999999999,412.541,515.514,409.35900000000004,641.953,394.832,756.79,385.95300000000003,291.762,406.55400000000003,291.75,365.538,294.843,412.624,294.764
26,391.92,294.927,388.995,362.397,344.843,362.50300000000004,338.776,444.875,335.98900000000003,527.187,433.14599999999996,362.356,447.778,438.94199999999995,453.598,518.4,362.54900000000004,521.339,374.246,644.855,385.916,765.538,412.631,521.366,409.43699999999995,644.871,397.74800000000005,762.5310000000001,385.99699999999996,291.769,406.615,291.769,365.583,294.857,415.371,294.813
27,392.00300000000004,294.938,389.041,362.42,344.876,362.527,338.824,447.82,338.756,527.283,433.20099999999996,362.38199999999995,453.577,438.983,453.67199999999997,521.383,365.284,527.1569999999999,377.13699999999994,647.786,385.98800000000006,765.665,415.48,527.158,409.43800000000005,645.043,394.894,762.635,386.04699999999997,291.784,409.375,291.77299999999997,368.29900000000004,294.86,415.42,294.836
28,394.805,297.71,389.06699999999995,362.55800000000005,344.88300000000004,365.27099999999996,338.806,453.57199999999995,338.76099999999997,530.163,435.93,362.538,453.566,441.95599999999996,453.705,524.295,362.569,527.254,377.124,647.85,386.037,765.7230000000001,415.466,527.225,409.48400000000004,647.8380000000001,397.746,762.615,386.065,291.83799999999997,409.405,291.816,368.311,294.938,415.43699999999995,294.935
29,394.781,297.798,389.094,365.32599999999996,344.86800000000005,365.329,338.832,453.605,338.815,530.246,435.97900000000004,365.30199999999996,453.631,444.889,453.67199999999997,524.3290000000001,365.32,530.119,380.059,647.9680000000001,386.10699999999997,768.627,415.45,527.344,409.63599999999997,647.9169999999999,403.666,762.5980000000001,386.056,291.892,409.409,291.88599999999997,368.287,297.69,415.43699999999995,297.758
30,391.976,297.82099999999997,389.097,365.425,344.85900000000004,365.44800000000004,338.824,453.71,338.832,533.137,436.004,365.369,453.668,450.69699999999995,456.461,527.144,365.319,530.21,377.158,647.969,386.097,768.617,415.48199999999997,530.175,409.649,647.976,400.74300000000005,759.77,386.02,291.907,409.381,291.904,365.54900000000004,297.73900000000003,415.398,297.808
31,391.909,300.633,389.087,365.44,344.845,365.461,338.81199999999995,456.476,338.815,533.196,435.996,365.38,453.736,450.717,456.538,527.164,365.345,530.21,377.134,648.014,386.124,774.455,415.475,530.19,409.64099999999996,648.033,397.791,759.743,385.966,291.932,406.621,291.935,365.485,297.756,412.652,297.816
32,391.91,300.694,389.06,365.476,344.816,365.51099999999997,338.776,453.724,338.74800000000005,533.239,435.98900000000003,365.39599999999996,453.68300000000005,450.75699999999995,456.461,527.243,365.31800000000004,530.241,377.175,650.863,388.82199999999995,780.295,415.454,530.23,412.398,650.862,400.69199999999995,759.672,385.94599999999997,294.647,406.602,291.955,365.463,297.84,412.656,297.78
