Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,1.452957385,394.8391513,-8.44E-15,-204.1915487,417.9052165,-96.41986632,157.0198282,439.7189217,-53.53113193,-246.9540967,66.09433794,-92.50864139,-293.7283958,-59.34922818,95.7742215,249.4002751,85.53109619,-38.46867635,276.3088622,-5.224859649,152.4883962,-175.9058855,-0.647311075,-3.47E-16,175.9058855,0.647311075,3.47E-16,-39.99375367,-491.3818017,130.3100835,-87.01066215,-870.6450898,67.21160659,34.34579615,-475.6123254,138.2557504,100.4077939,-855.5589396,112.4221841,-13.90034923,703.9471189,-82.9316062,0,0,0
0.004,1.485089745,395.1069652,-1.17E-14,-204.2934614,417.8591176,-96.40017006,157.0389793,439.7835329,-53.75315764,-247.4931178,66.59745243,-92.62313814,-294.0592452,-58.96077857,96.63273301,249.3168538,85.62680577,-38.64394604,276.7400829,-5.628810583,151.6435079,-175.9039269,-0.661170622,-1.14E-15,175.9039269,0.661170622,1.14E-15,-39.74972133,-491.5064478,129.4422587,-86.27549326,-871.0094974,67.41838936,34.3861641,-475.5299093,138.4997938,100.7419065,-855.3037999,112.3667496,-14.00377909,704.0199032,-83.46026951,0,0,0
0.008,1.530138758,395.3752644,5.80E-15,-204.3852004,417.8226668,-96.37094391,157.0746543,439.8492819,-53.98059854,-248.0278498,67.07618783,-92.68164946,-294.3789643,-58.56186408,97.50676845,249.2316591,85.71510055,-38.84897158,277.1782098,-6.002247221,150.8081984,-175.8987724,-0.680744481,-3.68E-16,175.8987724,0.680744481,3.68E-16,-39.51580373,-491.5984407,128.6153061,-85.56369923,-871.3556457,67.62304045,34.41717324,-475.4294621,138.7642047,101.0515661,-855.0322274,112.3372025,-14.07305907,704.0973259,-83.99386149,0,0,0
0.012,1.600184253,395.6448181,1.63E-14,-204.4577081,417.8021155,-96.32320084,157.140584,439.9177101,-54.21937018,-248.5595854,67.52793659,-92.65007521,-294.6764013,-58.14431727,98.41097252,249.1471182,85.79398596,-39.10459368,277.6289566,-6.320760778,149.9867379,-175.8880015,-0.711378482,4.17E-16,175.8880015,0.711378482,-4.17E-16,-39.29826444,-491.6306744,127.8643126,-84.89387103,-871.6678104,67.82369976,34.43476196,-475.2930467,139.0661647,101.3215992,-854.7309239,112.3544291,-14.08346816,704.1844692,-84.53635125,0,0,0
0.016,1.704817674,395.9147737,-1.04E-14,-204.5031643,417.7988347,-96.25132671,157.2456855,439.9919182,-54.47227113,-249.0991482,67.9692438,-92.52267562,-294.9422698,-57.70591948,99.35881166,249.0699787,85.86873015,-39.42081007,278.095785,-6.56387175,149.1810345,-175.8703045,-0.757301378,-4.50E-16,175.8703045,0.757301378,4.50E-16,-39.09625873,-491.5853441,127.2161573,-84.27574413,-871.935966,68.02034506,34.44255484,-475.107248,139.4177948,101.5509313,-854.3925765,112.4333081,-14.02333991,704.28578,-85.08986223,0,0,0
0.02,1.843774012,396.1789469,7.22E-15,-204.521013,417.8089366,-96.1537981,157.3869828,440.0739427,-54.73347926,-249.6622897,68.41594239,-92.31442082,-295.1708591,-57.25292754,100.3568517,249.0057145,85.94714158,-39.79968607,278.5768283,-6.721701257,148.3953591,-175.8463181,-0.818369765,5.73E-16,175.8463181,0.818369765,-5.73E-16,-38.89852948,-491.4584328,126.6838775,-83.69896948,-872.1581462,68.20552635,34.45541107,-474.8700254,139.8199193,101.760015,-854.0190716,112.5749673,-13.9016393,704.4024903,-85.64950618,0,0,0
0.024,1.995569411,396.4212571,1.27E-14,-204.5264537,417.8225076,-96.03546054,157.5394431,440.1601404,-54.9872245,-250.2530302,68.86028556,-92.04492794,-295.3626929,-56.80262944,101.3926716,248.9548628,86.0312471,-40.23625915,279.0612783,-6.810311526,147.63581,-175.8192101,-0.885067164,8.08E-16,175.8192101,0.885067164,-8.08E-16,-38.67945075,-491.2648065,126.2559919,-83.1199308,-872.3435396,68.34980568,34.5029332,-474.5968294,140.2542828,102.000514,-853.6259566,112.7559967,-13.75862326,704.5284457,-86.20022778,0,0,0
0.028,2.116475401,396.6160042,-1.23E-14,-204.5542582,417.821409,-95.90974803,157.6577822,440.2367648,-55.21234321,-250.8479417,69.2590112,-91.71964022,-295.5237415,-56.38407641,102.4300455,248.9138153,86.11276461,-40.71668681,279.531208,-6.872491362,146.9088273,-175.7943024,-0.938097083,8.83E-16,175.7943024,0.938097083,-8.83E-16,-38.40040017,-491.0416047,125.8961303,-82.46236994,-872.5142595,68.40054404,34.62842726,-474.321221,140.684749,102.3547863,-853.2439716,112.9281616,-13.6658182,704.6460554,-86.72022115,0,0,0
0.032,2.157967943,396.7349268,-1.74E-16,-204.6453045,417.7805126,-95.79456295,157.6941972,440.2821724,-55.39075583,-251.3987693,69.5386595,-91.31317219,-295.660502,-56.0313585,103.4269847,248.8773926,86.17615963,-41.21948733,279.9717276,-6.957640844,146.2190083,-175.7780295,-0.956112828,-1.42E-15,175.7780295,0.956112828,1.42E-15,-38.01930511,-490.843741,125.5602368,-81.64260218,-872.6997888,68.30888548,34.87902366,-474.0847051,141.0726581,102.9140011,-852.910693,113.0402325,-13.70148641,704.7298122,-87.19044045,0,0,0
0.036,2.096007587,396.7647464,-1.08E-14,-204.8210035,417.6800691,-95.70203209,157.6246958,440.2797528,-55.51894337,-251.8525431,69.6234482,-90.76659344,-295.775865,-55.76404523,104.3677133,248.8395109,86.20982281,-41.72554899,280.3804779,-7.094690262,145.5667559,-175.7744196,-0.928571705,-1.30E-16,175.7744196,0.928571705,1.30E-16,-37.51547103,-490.7227022,125.2250021,-80.62202085,-872.919358,68.06988935,35.28111802,-473.9154584,141.4002372,103.7281058,-852.6509902,113.0708447,-13.90626534,704.758547,-87.60562464,0,0,0
0.04,1.950075457,396.7186822,-1.01E-14,-205.0649148,417.5197173,-95.63042327,157.465532,440.2297421,-55.61412218,-252.1726469,69.47071299,-90.00645397,-295.8707844,-55.56945054,105.2797042,248.795515,86.21608381,-42.22828351,280.7683417,-7.275871125,144.946409,-175.7830605,-0.86406375,-1.31E-15,175.7830605,0.86406375,1.31E-15,-36.91153821,-490.7023069,124.9015767,-79.44723105,-873.1655303,67.74142655,35.8196913,-473.8110337,141.6834154,104.7640912,-852.4611013,113.0463814,-14.25209437,704.7295843,-87.98080998,0,0,0
0.044,1.769213098,396.6297198,-1.20E-14,-205.3326829,417.3204677,-95.56674537,157.2610913,440.1475082,-55.70322816,-252.3515615,69.08998394,-88.9836274,-295.9474816,-55.41063163,106.212554,248.7445025,86.20750943,-42.72782031,281.1498774,-7.467302637,144.3480108,-175.8007526,-0.784179749,-6.79E-16,175.8007526,0.784179749,6.79E-16,-36.26594523,-490.7770292,124.6202919,-78.22839165,-873.4085445,67.41479582,36.44511836,-473.7432228,141.9596603,105.9228381,-852.3139787,113.0213882,-14.66266308,704.6576447,-88.34309257,0,0,0
