Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,98.07428,9.13397,382.355805,20.08117,-199.88257,431.173305,50.20105,163.14355,437.301235,-61.59247,-249.27698,90.005585,91.57416,-290.51697,-77.835605,-27.55921,249.1601,89.440395,133.39007,282.30597,-46.353915,8.01996,-175.7168,1.472075,-8.01996,175.7168,-1.472075,5.80194,-44.02661,-507.861145,-147.33222,-101.02393,-858.866305,13.95209,30.86884,-495.456485,-108.55548,88.37531,-857.758345,95.3808,-3.67633,702.552585,0,0,0
0.004,97.89179,9.171385,382.67819,19.95185,-200.041265,431.12094,49.61865,163.115055,437.46493,-61.4472,-249.863645,90.46737,92.75574,-290.732055,-77.63553,-27.92035,249.038755,89.58151,132.297,282.784245,-46.43143,8.13025,-175.709965,1.4487,-8.13025,175.709965,-1.4487,5.26923,-43.736265,-507.7695,-146.64886,-100.241765,-859.38225,14.49951,31.010315,-495.42664,-108.0777,88.781795,-857.56343,94.45093,-3.854305,702.8165,0,0,0
0.008,97.71637,9.207035,382.99914,19.83551,-200.201595,431.07605,49.04474,163.088315,437.6289,-61.2608,-250.443785,90.89392,93.94287,-290.935605,-77.42841,-28.30164,248.912475,89.72192,131.229,283.264645,-46.48676,8.23291,-175.700255,1.42047,-8.23291,175.700255,-1.42047,4.77258,-43.441035,-507.65717,-145.98297,-99.452575,-859.87629,15.06262,31.156865,-495.38434,-107.58441,89.193175,-857.35712,93.5296,-4.022215,703.08337,0,0,0
0.012,97.554415,9.24201,383.31781,19.742955,-200.36273,431.04437,48.485755,163.06665,437.79364,-61.007105,-251.01642,91.27801,95.140845,-291.11786,-77.2085,-28.714625,248.78198,89.86261,130.204015,283.74939,-46.50232,8.321075,-175.68561,1.38391,-8.321075,175.68561,-1.38391,4.343055,-43.13556,-507.50617,-145.349145,-98.65289,-860.32958,15.655305,31.31421,-495.31714,-107.063015,89.61566,-857.13111,92.624725,-4.17218,703.35773,0,0,0
0.016,97.409975,9.28116,383.6322,19.680905,-200.51956,431.02917,47.947445,163.05508,437.95959,-60.679505,-251.59073,91.63952,96.356505,-291.27091,-76.97315,-29.162415,248.65371,90.00708,129.233455,284.23971,-46.46491,8.390445,-175.66495,1.33783,-8.390445,175.66495,-1.33783,4.004275,-42.81424,-507.30515,-144.756345,-97.84354,-860.72941,16.287175,31.48929,-495.21591,-106.505615,90.05667,-856.88262,91.742915,-4.29892,703.64367,0,0,0
0.02,97.28073,9.330505,383.9364,19.65005,-200.664855,431.0293,47.43423,163.057985,438.12512,-60.28659,-252.181825,92.00134,97.59616,-291.389835,-76.72577,-29.64701,248.534425,90.15967,128.32242,284.734495,-46.36969,8.44211,-175.638855,1.28491,-8.44211,175.638855,-1.28491,3.7706,-42.472655,-507.05273,-144.20938,-97.028565,-861.0712,16.95962,31.689455,-495.07947,-105.91123,90.522885,-856.61552,90.88815,-4.399725,703.94165,0,0,0
0.024,97.152925,9.392515,384.21726,19.640235,-200.791995,431.03623,46.943205,163.075505,438.28452,-59.841455,-252.793705,92.35874,98.857215,-291.475215,-76.47848,-30.175565,248.428105,90.32102,127.463165,285.227965,-46.22952,8.485565,-175.609985,1.2341,-8.485565,175.609985,-1.2341,3.641515,-42.110835,-506.76034,-143.713655,-96.216495,-861.36059,17.661895,31.919435,-494.91785,-105.289025,91.016475,-856.34157,90.056365,-4.474365,704.24436,0,0,0
0.028,97.001985,9.46509,384.454525,19.628575,-200.89899,431.031925,46.459135,163.10492,438.425105,-59.346955,-253.40277,92.662415,100.123195,-291.53217,-76.252445,-30.759615,248.33661,90.483825,126.633265,285.71136,-46.074895,8.538785,-175.5827,1.200565,-8.538785,175.5827,-1.200565,3.599765,-41.73456,-506.455535,-143.277985,-95.4209,-861.614785,18.371485,32.18066,-494.753055,-104.660185,91.53485,-856.081365,89.232085,-4.52551,704.533385,0,0,0
0.032,96.80246,9.54559,384.62549,19.58701,-200.98621,430.99219,45.96072,163.14502,438.52759,-58.78342,-253.95911,92.82532,101.37235,-291.56616,-76.07275,-31.40628,248.26093,90.63232,125.80533,286.17908,-45.94171,8.62112,-175.56238,1.20111,-8.62112,175.56238,-1.20111,3.61679,-41.35144,-506.18134,-142.90842,-94.65692,-861.85927,19.06162,32.474,-494.61401,-104.05057,92.07556,-855.86118,88.39481,-4.55585,704.7832,0,0,0
0.036,96.54486,9.63382,384.718785,19.49902,-201.05362,430.899445,45.43481,163.19607,438.576935,-58.10761,-254.40653,92.756135,102.59613,-291.57974,-75.954985,-32.10974,248.1987,90.751865,124.96368,286.63205,-45.853975,8.74127,-175.55252,1.244785,-8.74127,175.55252,-1.244785,3.66705,-40.96805,-505.982115,-142.59729,-93.93723,-862.114435,19.71478,32.80087,-494.523045,-103.47693,92.63931,-855.700765,87.53357,-4.56656,704.973175,0,0,0
