Frame#,sternumU,,,shoulderR,,,shoulderL,,,elbowRin,,,wristRin,,,elbowLin,,,wristLin,,,pvsR,,,pvsL,,,kneeRin,,,heelR,,,kneeLin,,,heelL,,,headT,,,pvCenter,,
Time,X3,Y3,Z3,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X9,Y9,Z9,X13,Y13,Z13,X15,Y15,Z15,X22,Y22,Z22,X23,Y23,Z23,X26,Y26,Z26,X28,Y28,Z28,X33,Y33,Z33,X35,Y35,Z35,X40,Y40,Z40,X41,Y41,Z41
0,964.77167,-842.99396,1354.34424,886.77856,-1052.0105,1403.16174,916.89844,-688.98438,1409.28967,805.10492,-1101.40491,1061.99402,958.27155,-1142.6449,894.15283,839.13818,-602.96783,1061.42883,1000.08746,-569.82196,925.63452,874.71735,-1027.84473,973.46051,858.67743,-676.41113,970.51636,872.49933,-896.15454,464.12729,719.36517,-953.15186,113.12213,880.64948,-821.25909,476.53195,758.14191,-763.75262,114.23009,962.07819,-855.80426,1674.54102,866.69739,-852.12793,971.988435
0.004,964.08887,-843.31421,1354.43103,886.14893,-1052.52686,1402.87378,915.81573,-689.37054,1409.21777,804.74988,-1102.34924,1062.22021,958.95282,-1143.21765,894.11731,838.27673,-603.44684,1061.33435,998.49408,-569.70135,925.32141,874.32733,-1028.19556,973.20154,858.06683,-676.77563,970.30414,871.46631,-896.22186,463.98334,719.54822,-952.72736,112.37059,880.69659,-821.47528,476.3262,758.11938,-763.7038,114.18941,960.64801,-856.3399,1674.56934,866.19708,-852.485595,971.75284
0.008,963.4032,-843.64459,1354.51074,885.52234,-1053.05322,1402.58765,914.73157,-689.76331,1409.1405,804.42603,-1103.29541,1062.40552,959.6297,-1143.78723,894.08319,837.38519,-603.93915,1061.23352,996.91583,-569.58698,925.02484,873.91974,-1028.55188,972.93207,857.45392,-677.15137,970.09113,870.45941,-896.29266,463.85443,719.70386,-952.3042,111.63531,880.74945,-821.69476,476.12726,758.10242,-763.65845,114.15448,959.21643,-856.87384,1674.59497,865.68683,-852.851625,971.5116
0.012,962.71234,-843.99194,1354.57776,884.90088,-1053.59668,1402.30432,913.64368,-690.1673,1409.05359,804.15082,-1104.25037,1062.53796,960.29877,-1144.35181,894.05145,836.4433,-604.45197,1061.12256,995.36194,-569.48456,924.75763,873.479,-1028.91956,972.64386,856.83685,-677.54834,969.87604,869.50098,-896.36951,463.75378,719.80878,-951.88684,110.93037,880.81323,-821.91974,475.94281,758.09491,-763.61829,114.12884,957.78265,-857.40613,1674.61768,865.157925,-853.23395,971.25995
0.016,962.01404,-844.3587,1354.62793,884.28497,-1054.15942,1402.0249,912.55151,-690.58478,1408.95532,803.92456,-1105.23059,1062.63525,960.96057,-1144.91077,894.02258,835.44165,-604.98615,1061.00281,993.83752,-569.40015,924.53082,872.99451,-1029.30481,972.33356,856.21362,-677.97491,969.6579,868.60834,-896.4541,463.69058,719.84772,-951.4834,110.26632,880.89124,-822.15057,475.77982,758.09845,-763.58319,114.11311,956.34698,-857.93878,1674.6394,864.604065,-853.63986,970.99573
0.02,961.30475,-844.74475,1354.6582,883.67407,-1054.74011,1401.7511,911.45825,-691.01727,1408.84692,803.73743,-1106.25708,1062.72314,961.62018,-1145.46509,893.99603,834.37701,-605.54083,1060.88147,992.34644,-569.34076,924.35211,872.46613,-1029.71411,972.00671,855.58191,-678.4364,969.43689,867.79462,-896.54791,463.66907,719.81464,-951.10382,109.6506,880.98364,-822.3858,475.64233,758.11279,-763.55237,114.10628,954.91217,-858.47498,1674.66345,864.02402,-854.075255,970.7218
0.024,960.5791,-845.15021,1354.66602,883.06641,-1055.33472,1401.48499,910.36938,-691.46722,1408.73328,803.58472,-1107.33643,1062.8075,962.28339,-1146.01794,893.97028,833.25061,-606.11462,1060.76978,990.88934,-569.31476,924.21924,871.91174,-1030.15271,971.68286,854.94061,-678.93274,969.21466,867.06769,-896.65356,463.68842,719.71252,-950.75922,109.08817,881.08807,-822.62329,475.53091,758.13715,-763.52625,114.10719,953.48254,-859.01709,1674.69312,863.426175,-854.542725,970.44876
0.028,959.83185,-845.57623,1354.65051,882.45844,-1055.94031,1401.22791,909.289,-691.9364,1408.62109,803.48291,-1108.44409,1062.8584,962.95306,-1146.57349,893.94354,832.07025,-606.70471,1060.67981,989.46313,-569.32996,924.12109,871.36865,-1030.62402,971.39655,854.29108,-679.45862,968.99542,866.42963,-896.77588,463.74045,719.55188,-950.46222,108.5812,881.20135,-822.86066,475.44293,758.16968,-763.50647,114.11462,952.06195,-859.56683,1674.72937,862.829865,-855.04132,970.195985
0.032,959.06073,-846.02399,1354.61365,881.84528,-1056.55579,1400.98035,908.21899,-692.42456,1408.51575,803.47485,-1109.52869,1062.81348,963.63062,-1147.13574,893.91541,830.85199,-607.30865,1060.62048,988.0636,-569.3905,924.04645,870.87939,-1031.13196,971.18927,853.63715,-680.0072,968.78705,865.87506,-896.92102,463.80682,719.34985,-950.2265,108.12889,881.31989,-823.09558,475.37415,758.2077,-763.49402,114.12698,950.65308,-860.12543,1674.77136,862.25827,-855.56958,969.98816
