,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5
0,-1134.839,-214.412,1024.59,-52.451,-35.488,509.49,-5.055,-38.469,512.04,9.327,31.448,532.95,22.416,86.52,568.905,-98.539,-33.19,517.14,-115.425,34.434,557.685,-82.99,44.109,545.19,-46.64,81.61,556.665,-19.572,81.591,567.12,-22.036,165.276,638.52,-27.571,257.754,689.52,-73.908,86.248,567.12,-74.821,177.682,626.79,-63.44,247.396,600.27,-552.308,-66.157,645.405,-869.259,-361.506,812.94,-35.333,-89.665,524.535,-76.53,-86.478,531.42,-67.151,253.934,604.095,-76.916,260.658,616.08,-62.873,263.408,610.725,-7.17,251.6,726.24,-5.164,254.679,723.69,-34.718,267.861,681.615,
1,-1134.839,-214.412,1024.59,-51.848,-40.288,517.395,-5.134,-41.91,519.945,9.488,26.053,542.13,21.27,80.286,580.125,-98.465,-37.954,524.28,-116.744,30.195,564.06,-86.853,43.813,560.49,-45.84,78.274,565.59,-19.756,77.66,572.475,-22.044,163.594,638.775,-27.673,258.707,692.07,-73.267,81.046,574.26,-74.741,172.887,640.815,-62.708,244.202,625.77,-525.994,-69.25,641.325,-869.259,-361.506,812.94,-34.441,-94.021,532.95,-78.292,-89.958,543.66,-62.325,247.817,621.945,-76.883,262.651,659.175,-64.242,262.457,641.07,-7.218,251.277,731.085,-5.177,255.307,725.475,-34.64,265.398,680.085,
2,-1134.839,-214.412,1024.59,-52.513,-43.673,524.025,-5.196,-45.306,526.32,11.143,21.936,550.545,20.097,75.493,592.365,-98.209,-41.321,530.655,-117.747,25.782,568.905,-90.8,45.009,575.79,-46.336,74.426,571.71,-18.44,73.966,580.38,-22.159,160.927,642.09,-27.601,256.15,690.285,-74.113,77.211,580.89,-74.73,168.034,656.115,-62.76,238.929,643.875,-488.366,-70.62,622.455,-869.259,-361.506,812.94,-34.919,-98.284,540.345,-77.272,-93.501,546.975,-59.868,246.828,650.76,-72.188,250.712,665.805,-63.456,252.271,651.015,-7.201,250.664,729.3,-5.153,254.14,722.16,-34.952,265.907,686.205,
3,-1134.839,-214.412,1024.59,-51.724,-47.131,530.655,-5.269,-48.864,533.715,11.287,16.114,557.685,18.77,68.459,601.8,-97.966,-44.779,537.285,-118.697,19.711,573.495,-94.218,44.298,587.265,-46.79,70.415,577.32,-20.17,71.286,584.46,-22.22,159.612,643.875,-27.714,257.191,693.09,-73.255,73.172,586.755,-74.549,162.577,670.65,-63.993,239.567,675.495,-446.16,-70.844,595.68,-869.259,-361.506,812.94,-33.897,-101.129,547.74,-76.729,-97.71,553.86,-56.483,250.98,696.915,-69.646,239.929,676.515,-63.727,247.78,672.69,-7.196,250.488,728.79,-5.151,254.051,721.905,-34.783,264.623,682.89,
4,-822.575,-162.65,777.24,-52.594,-50.878,539.58,-6.817,-52.454,540.6,11.483,11.734,567.375,17.441,63.022,613.02,-97.823,-48.377,544.68,-119.806,15.141,578.85,-95.404,43.228,594.66,-47.369,66.486,584.46,-20.364,67.124,590.07,-22.388,157.261,648.72,-27.693,255.106,692.58,-74.496,69.512,596.7,-74.483,159.011,686.97,-63.997,235.286,695.64,-404.95,-70.616,567.63,-869.259,-361.506,812.94,-34.307,-105.388,554.37,-78.425,-101.419,566.1,-51.955,236.29,687.48,-66.191,236.321,698.7,-65.241,247.622,709.155,-7.216,251.19,730.83,-5.16,254.499,723.18,-34.822,263.048,683.655,
5,-677.751,-142.397,671.67,-51.914,-54.672,547.995,-6.92,-56.25,548.76,10.05,7.161,574.26,17.826,57.551,626.535,-99.701,-52.345,555.135,-121.231,10.511,585.735,-98.988,40.778,606.645,-47.989,64.114,592.11,-20.584,64.584,596.445,-22.449,154.132,650.505,-27.612,252.464,690.54,-73.641,65.302,603.075,-76.474,155.538,705.33,-65.78,237.154,736.95,-304.219,-58.058,447.015,-869.259,-361.506,812.94,-34.97,-108.971,565.08,-77.533,-105.413,570.945,-45.398,222.42,673.965,-67.751,236.99,736.44,-66.281,249.123,742.56,-7.231,251.715,732.36,-5.17,254.948,724.455,-34.809,261.079,683.4,
6,-589.832,-130.287,614.55,-52.567,-56.878,554.88,-8.52,-59.943,555.135,10.175,4.067,581.4,16.34,51.413,635.46,-99.579,-56.173,563.04,-122.497,7.38,591.855,-103.271,40.137,622.455,-48.444,59.813,597.72,-20.865,60.502,604.605,-20.887,152.165,657.39,-27.571,250.204,689.52,-74.264,62.524,608.175,-75.486,149.685,714.255,-66.19,237.804,765,-298.288,-62.335,460.53,-869.259,-361.506,812.94,-35.38,-111.814,571.71,-78.295,-108.027,576.555,-41.472,211.985,670.14,-66.256,235.945,765.765,-65.793,242.622,760.41,-5.241,250.406,734.4,-5.159,254.41,722.925,-34.835,257.529,683.91,
7,-561.931,-130.449,615.315,-53.364,-60.824,563.295,-8.642,-62.338,563.04,10.318,-0.718,589.56,16.78,47.436,652.545,-99.636,-60.222,572.22,-124.028,2.551,599.25,-108.187,37.101,646.553,-49.023,55.56,604.86,-21.032,55.982,609.45,-21.009,149.43,661.215,-27.418,245.062,685.695,-75.323,58.35,616.845,-76.672,146.078,725.475,-65.335,231.728,779.79,-300.877,-68.914,489.345,-869.259,-361.506,812.94,-37.292,-114.441,577.065,-79.23,-110.914,583.44,-37.774,204.492,669.63,-65.506,230.194,781.83,-66.763,237.753,771.63,-5.246,248.655,735.165,-5.186,253.766,726.75,-34.77,255.18,682.635,
8,-534.094,-131.915,614.295,-55.726,-64.863,571.71,-10.344,-66.458,571.965,8.81,-3.994,596.7,15.157,42.538,659.685,-101.19,-62.752,581.145,-125.981,-0.741,608.685,-113.103,34.065,670.65,-49.519,52.777,610.98,-22.957,53.24,616.335,-21.276,145.832,669.63,-27.499,242.026,687.735,-76.226,53.923,624.24,-77.319,141.303,731.595,-66.125,228.05,789.225,-301.5,-75.436,515.61,-869.259,-361.506,812.94,-37.934,-118.021,587.01,-80.407,-114.183,592.11,-36.009,199.371,670.905,-66.424,226.912,792.795,-64.993,232.639,775.71,-5.282,248.353,740.265,-5.2,252.483,728.79,-34.913,250.6,685.44,
9,-508.03,-132.134,615.315,-56.521,-67.376,579.87,-12.064,-70.489,579.36,7.259,-7.344,603.585,15.433,37.794,671.67,-102.789,-66.975,590.325,-127.3,-5.8,615.06,-116.775,30.879,681.36,-50.449,50.361,622.455,-23.309,48.916,625.77,-19.769,142.684,680.85,-27.561,236.904,689.265,-77.503,51.351,634.695,-78.073,138.637,738.735,-66.788,223.788,797.13,-300.682,-82.284,542.13,-869.259,-361.506,812.94,-39.988,-120.979,593.64,-81.169,-118.538,597.72,-36.297,195.409,676.26,-67.001,222.315,799.68,-65.741,228.872,784.635,-5.299,247.09,742.56,-5.226,251.715,732.36,-36.666,246.021,683.145,
10,-476.693,-130.929,609.705,-57.168,-71.358,586.5,-15.404,-72.868,585.735,5.675,-10.779,610.98,13.723,34.441,678.045,-104.431,-69.687,599.76,-129.517,-9.327,625.77,-118.829,27.626,693.345,-51.234,45.953,632.145,-25.43,46.231,635.97,-19.969,138.479,687.735,-27.622,231.756,690.795,-78.717,48.626,644.64,-78.666,133.577,744.345,-65.081,221.038,802.995,-259.555,-76.289,490.747,-869.259,-361.506,812.94,-40.452,-124.026,600.525,-82.208,-121.712,605.37,-34.692,193.08,681.105,-65.246,219.396,805.035,-66.531,225.103,794.07,-5.339,244.861,748.17,-5.251,248.913,735.93,-36.735,240.859,684.42,
11,-432.39,-126.941,583.695,-59.642,-74.042,595.17,-17.222,-77.035,593.13,4.033,-14.231,615.57,13.888,31.098,686.205,-105.675,-73.84,606.9,-131.364,-14.673,634.695,-119.965,22.142,699.975,-52.04,43.161,642.09,-27.617,43.452,646.425,-18.294,134.358,695.64,-27.581,225.749,689.775,-79.807,43.932,653.565,-79.394,130.7,751.23,-65.784,218.981,811.665,-218.428,-70.295,439.365,-869.259,-361.506,812.94,-42.685,-127.431,608.94,-83.662,-125.552,616.08,-35.017,191.123,687.48,-68.027,216.827,811.92,-66.809,223.86,797.385,-5.377,242.488,753.525,-5.313,245.731,744.6,-36.803,233.799,685.695,
12,-391.928,-121.34,557.94,-61.928,-78.128,601.545,-19.048,-79.505,599.505,2.366,-17.739,620.415,13.924,27.412,687.99,-107.229,-76.611,615.825,-131.553,-18.417,644.13,-116.63,16.196,691.56,-52.681,40.133,649.995,-28.009,38.685,655.605,-16.606,128.413,704.82,-27.785,219.81,694.875,-82.583,40.842,661.47,-80.391,128.176,760.665,-65.928,215.009,813.45,-216.988,-76.877,464.61,-869.259,-361.506,812.94,-44.687,-130.071,613.53,-85.047,-129.345,626.28,-37.228,190.926,693.6,-68.134,214.942,813.195,-67.45,221.6,805.035,-5.441,239.098,762.45,-5.373,242.324,753.015,-37.036,227.722,690.03,
13,-304.328,-100.911,458.235,-62.558,-80.587,607.665,-20.874,-81.87,604.86,0.673,-19.582,625.005,12.09,25.633,690.795,-108.472,-80.91,622.965,-133.897,-22.335,655.605,-117.748,10.617,698.19,-55.08,36.991,657.39,-30.106,35.451,662.235,-16.991,123.49,721.14,-28.081,212.537,702.27,-83.506,37.636,668.865,-80.418,124.053,760.92,-66.176,213.583,816.51,-292.951,-119.306,689.605,-869.259,-361.506,812.94,-45.374,-135.482,622.965,-84.078,-129.565,619.14,-37.583,190.834,700.23,-68.262,213.116,814.725,-67.514,219.605,805.8,-5.497,235.251,770.355,-5.442,237.09,762.705,-37.583,221.504,700.23,
14,-301.324,-105.572,479.4,-64.976,-84.9,614.805,-22.748,-86.008,610.725,-2.77,-23.182,629.85,12.121,23.804,692.58,-109.538,-85.149,629.085,-135.98,-26.328,665.805,-114.821,6.735,692.07,-55.656,31.923,664.275,-32.09,30.174,665.805,-15.245,117.352,732.105,-28.856,208.524,721.65,-83.952,34.156,672.435,-80.364,119.807,760.41,-66.176,211.348,816.51,-368.915,-161.735,914.6,-869.259,-361.506,812.94,-47.542,-138.535,629.085,-83.766,-130.774,616.845,-40.219,192.357,712.98,-70.249,210.16,811.92,-67.728,218.087,808.35,-5.577,227.98,781.575,-5.517,231.874,773.16,-37.789,213.077,704.055,
15,-300.861,-112.254,509.745,-65.596,-87.409,620.67,-24.624,-88.412,615.825,-4.527,-25.087,634.44,10.195,21.843,690.54,-111.136,-88.139,638.265,-136.161,-30.421,675.75,-113.343,1.056,694.62,-56.169,28.547,670.395,-32.619,26.965,676.77,-15.531,109.35,745.875,-29.783,205.034,744.855,-85.384,29.122,683.91,-80.633,118.12,762.96,-68.39,211.282,816.255,-444.878,-204.163,1139.595,-869.259,-361.506,812.94,-50.142,-142.758,640.305,-85.772,-134.65,619.14,-42.88,191.621,724.965,-72.7,210.82,814.47,-67.813,218.362,809.37,-5.663,222.786,793.56,-5.623,225.525,787.95,-38.678,208.23,720.63,
16,-306.004,-122.405,549.015,-67.903,-91.627,626.28,-28.228,-92.544,620.925,-6.292,-26.943,637.245,8.305,21.843,690.54,-111.935,-92.293,642.855,-135.781,-34.494,683.145,-111.687,-4.659,696.15,-56.554,25.047,674.985,-34.666,23.392,680.595,-13.61,102.082,752.505,-30.732,201.043,768.57,-86.021,25.567,689.01,-80.553,113.829,762.195,-68.39,209.047,816.255,-434.87,-219.702,1195.121,-869.259,-361.506,812.94,-50.242,-144.799,641.58,-87.609,-139.265,632.4,-45.812,193.639,740.265,-72.381,207.676,810.9,-67.813,217.254,809.37,-5.766,215.806,808.095,-5.739,219.188,804.27,-39.732,203.771,740.265,
17,-299.239,-127.863,573.495,-68.622,-94.33,632.91,-28.471,-95.056,626.28,-8.081,-28.848,640.815,6.188,21.239,691.645,-111.224,-94.948,648.975,-135.911,-38.805,693.345,-110.344,-10.43,699.72,-57.109,21.561,681.615,-34.978,19.842,686.715,-13.826,97.429,764.49,-31.507,197.484,787.95,-86.244,21.851,690.795,-81.038,110.316,766.785,-68.07,205.844,812.43,-424.862,-235.241,1250.647,-869.259,-361.506,812.94,-52.949,-149.235,653.31,-87.786,-141.28,633.675,-49.14,196.827,760.41,-73.897,205.716,803.25,-67.813,216.146,809.37,-5.926,208.157,830.535,-5.865,212.734,821.865,-41.046,200.042,764.745,
