,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4
0,-4.45,-0.841,4.018,-0.206,-0.139,1.998,-0.02,-0.151,2.008,0.037,0.123,2.09,0.088,0.339,2.231,-0.386,-0.13,2.028,-0.453,0.135,2.187,-0.325,0.173,2.138,-0.183,0.32,2.183,-0.077,0.32,2.224,-0.086,0.648,2.504,-0.108,1.011,2.704,-0.29,0.338,2.224,-0.293,0.697,2.458,-0.249,0.97,2.354,-2.166,-0.259,2.531,-3.409,-1.418,3.188,-0.139,-0.352,2.057,-0.3,-0.339,2.084,-0.263,0.996,2.369,-0.302,1.022,2.416,-0.247,1.033,2.395,-0.028,0.987,2.848,-0.02,0.999,2.838,-0.136,1.05,2.673
1,-4.45,-0.841,4.018,-0.203,-0.158,2.029,-0.02,-0.164,2.039,0.037,0.102,2.126,0.083,0.315,2.275,-0.386,-0.149,2.056,-0.458,0.118,2.212,-0.341,0.172,2.198,-0.18,0.307,2.218,-0.077,0.305,2.245,-0.086,0.642,2.505,-0.109,1.015,2.714,-0.287,0.318,2.252,-0.293,0.678,2.513,-0.246,0.958,2.454,-2.063,-0.272,2.515,-3.409,-1.418,3.188,-0.135,-0.369,2.09,-0.307,-0.353,2.132,-0.244,0.972,2.439,-0.302,1.03,2.585,-0.252,1.029,2.514,-0.028,0.985,2.867,-0.02,1.001,2.845,-0.136,1.041,2.667
2,-4.45,-0.841,4.018,-0.206,-0.171,2.055,-0.02,-0.178,2.064,0.044,0.086,2.159,0.079,0.296,2.323,-0.385,-0.162,2.081,-0.462,0.101,2.231,-0.356,0.177,2.258,-0.182,0.292,2.242,-0.072,0.29,2.276,-0.087,0.631,2.518,-0.108,1.005,2.707,-0.291,0.303,2.278,-0.293,0.659,2.573,-0.246,0.937,2.525,-1.915,-0.277,2.441,-3.409,-1.418,3.188,-0.137,-0.385,2.119,-0.303,-0.367,2.145,-0.235,0.968,2.552,-0.283,0.983,2.611,-0.249,0.989,2.553,-0.028,0.983,2.86,-0.02,0.997,2.832,-0.137,1.043,2.691
3,-4.45,-0.841,4.018,-0.203,-0.185,2.081,-0.021,-0.192,2.093,0.044,0.063,2.187,0.074,0.268,2.36,-0.384,-0.176,2.107,-0.465,0.077,2.249,-0.369,0.174,2.303,-0.183,0.276,2.264,-0.079,0.28,2.292,-0.087,0.626,2.525,-0.109,1.009,2.718,-0.287,0.287,2.301,-0.292,0.638,2.63,-0.251,0.939,2.649,-1.75,-0.278,2.336,-3.409,-1.418,3.188,-0.133,-0.397,2.148,-0.301,-0.383,2.172,-0.222,0.984,2.733,-0.273,0.941,2.653,-0.25,0.972,2.638,-0.028,0.982,2.858,-0.02,0.996,2.831,-0.136,1.038,2.678
4,-3.226,-0.638,3.048,-0.206,-0.2,2.116,-0.027,-0.206,2.12,0.045,0.046,2.225,0.068,0.247,2.404,-0.384,-0.19,2.136,-0.47,0.059,2.27,-0.374,0.17,2.332,-0.186,0.261,2.292,-0.08,0.263,2.314,-0.088,0.617,2.544,-0.109,1,2.716,-0.292,0.273,2.34,-0.292,0.624,2.694,-0.251,0.923,2.728,-1.588,-0.277,2.226,-3.409,-1.418,3.188,-0.135,-0.413,2.174,-0.308,-0.398,2.22,-0.204,0.927,2.696,-0.26,0.927,2.74,-0.256,0.971,2.781,-0.028,0.985,2.866,-0.02,0.998,2.836,-0.137,1.032,2.681
5,-2.658,-0.558,2.634,-0.204,-0.214,2.149,-0.027,-0.221,2.152,0.039,0.028,2.252,0.07,0.226,2.457,-0.391,-0.205,2.177,-0.475,0.041,2.297,-0.388,0.16,2.379,-0.188,0.251,2.322,-0.081,0.253,2.339,-0.088,0.604,2.551,-0.108,0.99,2.708,-0.289,0.256,2.365,-0.3,0.61,2.766,-0.258,0.93,2.89,-1.193,-0.228,1.753,-3.409,-1.418,3.188,-0.137,-0.427,2.216,-0.304,-0.413,2.239,-0.178,0.872,2.643,-0.266,0.929,2.888,-0.26,0.977,2.912,-0.028,0.987,2.872,-0.02,1,2.841,-0.137,1.024,2.68
6,-2.313,-0.511,2.41,-0.206,-0.223,2.176,-0.033,-0.235,2.177,0.04,0.016,2.28,0.064,0.202,2.492,-0.391,-0.22,2.208,-0.48,0.029,2.321,-0.405,0.157,2.441,-0.19,0.235,2.344,-0.082,0.237,2.371,-0.082,0.597,2.578,-0.108,0.981,2.704,-0.291,0.245,2.385,-0.296,0.587,2.801,-0.26,0.933,3,-1.17,-0.244,1.806,-3.409,-1.418,3.188,-0.139,-0.438,2.242,-0.307,-0.424,2.261,-0.163,0.831,2.628,-0.26,0.925,3.003,-0.258,0.951,2.982,-0.021,0.982,2.88,-0.02,0.998,2.835,-0.137,1.01,2.682
7,-2.204,-0.512,2.413,-0.209,-0.239,2.209,-0.034,-0.244,2.208,0.04,-0.003,2.312,0.066,0.186,2.559,-0.391,-0.236,2.244,-0.486,0.01,2.35,-0.424,0.145,2.536,-0.192,0.218,2.372,-0.082,0.22,2.39,-0.082,0.586,2.593,-0.108,0.961,2.689,-0.295,0.229,2.419,-0.301,0.573,2.845,-0.256,0.909,3.058,-1.18,-0.27,1.919,-3.409,-1.418,3.188,-0.146,-0.449,2.263,-0.311,-0.435,2.288,-0.148,0.802,2.626,-0.257,0.903,3.066,-0.262,0.932,3.026,-0.021,0.975,2.883,-0.02,0.995,2.85,-0.136,1.001,2.677
8,-2.094,-0.517,2.409,-0.219,-0.254,2.242,-0.041,-0.261,2.243,0.035,-0.016,2.34,0.059,0.167,2.587,-0.397,-0.246,2.279,-0.494,-0.003,2.387,-0.444,0.134,2.63,-0.194,0.207,2.396,-0.09,0.209,2.417,-0.083,0.572,2.626,-0.108,0.949,2.697,-0.299,0.211,2.448,-0.303,0.554,2.869,-0.259,0.894,3.095,-1.182,-0.296,2.022,-3.409,-1.418,3.188,-0.149,-0.463,2.302,-0.315,-0.448,2.322,-0.141,0.782,2.631,-0.26,0.89,3.109,-0.255,0.912,3.042,-0.021,0.974,2.903,-0.02,0.99,2.858,-0.137,0.983,2.688
9,-1.992,-0.518,2.413,-0.222,-0.264,2.274,-0.047,-0.276,2.272,0.028,-0.029,2.367,0.061,0.148,2.634,-0.403,-0.263,2.315,-0.499,-0.023,2.412,-0.458,0.121,2.672,-0.198,0.197,2.441,-0.091,0.192,2.454,-0.078,0.56,2.67,-0.108,0.929,2.703,-0.304,0.201,2.489,-0.306,0.544,2.897,-0.262,0.878,3.126,-1.179,-0.323,2.126,-3.409,-1.418,3.188,-0.157,-0.474,2.328,-0.318,-0.465,2.344,-0.142,0.766,2.652,-0.263,0.872,3.136,-0.258,0.898,3.077,-0.021,0.969,2.912,-0.02,0.987,2.872,-0.144,0.965,2.679
10,-1.869,-0.513,2.391,-0.224,-0.28,2.3,-0.06,-0.286,2.297,0.022,-0.042,2.396,0.054,0.135,2.659,-0.41,-0.273,2.352,-0.508,-0.037,2.454,-0.466,0.108,2.719,-0.201,0.18,2.479,-0.1,0.181,2.494,-0.078,0.543,2.697,-0.108,0.909,2.709,-0.309,0.191,2.528,-0.308,0.524,2.919,-0.255,0.867,3.149,-1.018,-0.299,1.924,-3.409,-1.418,3.188,-0.159,-0.486,2.355,-0.322,-0.477,2.374,-0.136,0.757,2.671,-0.256,0.86,3.157,-0.261,0.883,3.114,-0.021,0.96,2.934,-0.021,0.976,2.886,-0.144,0.945,2.684
