nan,nan,nan,-0.207882,-0.126242,1.967000,-0.019559,-0.132563,1.981000,0.035913,0.137934,2.052000,0.092706,0.364690,2.200000,-0.385409,-0.117058,1.994000,-0.448301,0.151526,2.166000,-0.321037,0.170632,2.109000,-0.180808,0.334098,2.158000,-0.075682,0.327510,2.193000,-0.085931,0.651335,2.490000,-0.108161,1.018579,2.705000,-0.285406,0.351043,2.190000,-0.295384,0.718848,2.419000,-0.250456,0.996312,2.310000,-2.268465,-0.246941,2.545000,0.000000,0.000000,0.000000,-0.136674,-0.335732,2.029000,-0.301566,-0.323157,2.055000,-0.282562,1.023375,2.314000,-0.313888,1.049734,2.359000,-0.244132,1.046901,2.310000,-0.028129,0.987013,2.849000,-0.027981,0.997333,2.834000,-0.143199,1.055772,2.668000,
nan,nan,nan,-0.205689,-0.139170,1.998000,-0.019825,-0.150861,2.008000,0.036578,0.123324,2.090000,0.087905,0.339293,2.231000,-0.386429,-0.130157,2.028000,-0.452647,0.135034,2.187000,-0.325451,0.172978,2.138000,-0.182903,0.320041,2.183000,-0.076751,0.319964,2.224000,-0.086414,0.648142,2.504000,-0.108121,1.010801,2.704000,-0.289837,0.338228,2.224000,-0.293417,0.696794,2.458000,-0.248783,0.970181,2.354000,-2.165915,-0.259439,2.531000,0.000000,0.000000,0.000000,-0.138560,-0.351627,2.057000,-0.300116,-0.339128,2.084000,-0.263338,0.995819,2.369000,-0.301631,1.022189,2.416000,-0.246559,1.032973,2.395000,-0.028119,0.986667,2.848000,-0.020251,0.998740,2.838000,-0.136150,1.050433,2.673000,
nan,nan,nan,-0.203326,-0.157993,2.029000,-0.020132,-0.164353,2.039000,0.037208,0.102169,2.126000,0.083410,0.314845,2.275000,-0.386136,-0.148839,2.056000,-0.457822,0.118412,2.212000,-0.340601,0.171815,2.198000,-0.179764,0.306957,2.218000,-0.077476,0.304548,2.245000,-0.086449,0.641544,2.505000,-0.108521,1.014539,2.714000,-0.287321,0.317827,2.252000,-0.293104,0.677989,2.513000,-0.245916,0.957653,2.454000,-2.062721,-0.271569,2.515000,0.000000,0.000000,0.000000,-0.135062,-0.368711,2.090000,-0.307029,-0.352775,2.132000,-0.244412,0.971830,2.439000,-0.301501,1.030004,2.585000,-0.251928,1.029242,2.514000,-0.028307,0.985401,2.867000,-0.020301,1.001204,2.845000,-0.135845,1.040775,2.667000,
nan,nan,nan,-0.205932,-0.171268,2.055000,-0.020378,-0.177669,2.064000,0.043696,0.086024,2.159000,0.078811,0.296052,2.323000,-0.385135,-0.162042,2.081000,-0.461754,0.101107,2.231000,-0.356080,0.176506,2.258000,-0.181709,0.291866,2.242000,-0.072316,0.290062,2.276000,-0.086898,0.631087,2.518000,-0.108241,1.004512,2.707000,-0.290638,0.302789,2.278000,-0.293058,0.658959,2.573000,-0.246118,0.936975,2.525000,-1.915160,-0.276943,2.441000,0.000000,0.000000,0.000000,-0.136936,-0.385428,2.119000,-0.303029,-0.366670,2.145000,-0.234778,0.967953,2.552000,-0.283091,0.983183,2.611000,-0.248848,0.989298,2.553000,-0.028237,0.982995,2.860000,-0.020208,0.996629,2.832000,-0.137067,1.042774,2.691000,
-4.450347,-0.840832,4.018000,-0.202840,-0.184829,2.081000,-0.020665,-0.191624,2.093000,0.044263,0.063192,2.187000,0.073606,0.268465,2.360000,-0.384179,-0.175602,2.107000,-0.465480,0.077297,2.249000,-0.369481,0.173719,2.303000,-0.183492,0.276137,2.264000,-0.079098,0.279552,2.292000,-0.087139,0.625929,2.525000,-0.108681,1.008594,2.718000,-0.287274,0.286949,2.301000,-0.292351,0.637559,2.630000,-0.250953,0.939480,2.649000,-1.749647,-0.277819,2.336000,0.000000,0.000000,0.000000,-0.132930,-0.396583,2.148000,-0.300898,-0.383177,2.172000,-0.221503,0.984234,2.733000,-0.273120,0.940898,2.653000,-0.249911,0.971686,2.638000,-0.028218,0.982308,2.858000,-0.020201,0.996277,2.831000,-0.136405,1.037736,2.678000,
-3.225784,-0.637844,3.048000,-0.206252,-0.199522,2.116000,-0.026735,-0.205703,2.120000,0.045032,0.046017,2.225000,0.068397,0.247146,2.404000,-0.383619,-0.189714,2.136000,-0.469826,0.059376,2.270000,-0.374134,0.169523,2.332000,-0.185761,0.260729,2.292000,-0.079857,0.263232,2.314000,-0.087795,0.616711,2.544000,-0.108601,1.000417,2.716000,-0.292143,0.272595,2.340000,-0.292090,0.623574,2.694000,-0.250970,0.922690,2.728000,-1.588041,-0.276924,2.226000,0.000000,0.000000,0.000000,-0.134539,-0.413286,2.174000,-0.307547,-0.397722,2.220000,-0.203744,0.926627,2.696000,-0.259574,0.926749,2.740000,-0.255845,0.971068,2.781000,-0.028297,0.985057,2.866000,-0.020237,0.998037,2.836000,-0.136558,1.031560,2.681000,
-2.657847,-0.558418,2.634000,-0.203586,-0.214400,2.149000,-0.027138,-0.220590,2.152000,0.039414,0.028081,2.252000,0.069905,0.225691,2.457000,-0.390983,-0.205274,2.177000,-0.475414,0.041218,2.297000,-0.388186,0.159914,2.379000,-0.188193,0.251429,2.322000,-0.080720,0.253270,2.339000,-0.088036,0.604441,2.551000,-0.108281,0.990057,2.708000,-0.288790,0.256085,2.365000,-0.299897,0.609953,2.766000,-0.257962,0.930016,2.890000,-1.193014,-0.227679,1.753000,0.000000,0.000000,0.000000,-0.137138,-0.427337,2.216000,-0.304050,-0.413384,2.239000,-0.178033,0.872235,2.643000,-0.265689,0.929372,2.888000,-0.259926,0.976953,2.912000,-0.028356,0.987119,2.872000,-0.020273,0.999796,2.841000,-0.136507,1.023838,2.680000,
-2.313067,-0.510929,2.410000,-0.206144,-0.223050,2.176000,-0.033413,-0.235072,2.177000,0.039904,0.015948,2.280000,0.064079,0.201619,2.492000,-0.390506,-0.220286,2.208000,-0.480382,0.028942,2.321000,-0.404985,0.157400,2.441000,-0.189976,0.234561,2.344000,-0.081825,0.237263,2.371000,-0.081911,0.596724,2.578000,-0.108121,0.981192,2.704000,-0.291232,0.245193,2.385000,-0.296024,0.587000,2.801000,-0.259568,0.932564,3.000000,-1.169757,-0.244450,1.806000,0.000000,0.000000,0.000000,-0.138747,-0.438488,2.242000,-0.307038,-0.423636,2.261000,-0.162635,0.831315,2.628000,-0.259828,0.925276,3.003000,-0.258011,0.951459,2.982000,-0.020551,0.981985,2.880000,-0.020230,0.997685,2.835000,-0.136609,1.009919,2.682000,
-2.203652,-0.511565,2.413000,-0.209270,-0.238527,2.209000,-0.033889,-0.244463,2.208000,0.040464,-0.002816,2.312000,0.065802,0.186024,2.559000,-0.390730,-0.236163,2.244000,-0.486384,0.010004,2.350000,nan,nan,nan,-0.192245,0.217883,2.372000,-0.082480,0.219537,2.390000,-0.082388,0.586000,2.593000,-0.107521,0.961027,2.689000,-0.295384,0.228823,2.419000,-0.300674,0.572857,2.845000,-0.256215,0.908738,3.058000,-1.179909,-0.270252,1.919000,0.000000,0.000000,0.000000,-0.146241,-0.448790,2.263000,-0.310704,-0.434958,2.288000,-0.148134,0.801927,2.626000,-0.256885,0.902722,3.066000,-0.261818,0.932363,3.026000,-0.020572,0.975116,2.883000,-0.020337,0.995162,2.850000,-0.136354,1.000708,2.677000,
-2.094486,-0.517312,2.409000,-0.218534,-0.254365,2.242000,-0.040566,-0.260619,2.243000,0.034548,-0.015661,2.340000,0.059440,0.166814,2.587000,-0.396824,-0.246086,2.279000,-0.494042,-0.002907,2.387000,-0.443542,0.133589,2.630000,-0.194190,0.206970,2.396000,-0.090029,0.208784,2.417000,-0.083436,0.571891,2.626000,-0.107841,0.949120,2.697000,-0.298925,0.211462,2.448000,-0.303210,0.554128,2.869000,-0.259315,0.894316,3.095000,-1.182352,-0.295827,2.022000,0.000000,0.000000,0.000000,-0.148762,-0.462826,2.302000,-0.315321,-0.447778,2.322000,-0.141213,0.781847,2.631000,-0.260488,0.889850,3.109000,-0.254875,0.912311,3.042000,-0.020715,0.973934,2.903000,-0.020394,0.990131,2.858000,-0.136914,0.982745,2.688000,
