time,Nosex,Nosey,Neckx,Necky,RSholderx,RSholdery,RElbowx,RElbowy,RWristx,RWristy,LSholderx,LSholdery,LElbowx,LElbowy,LWristx,LWristy,MidHipx,MidHipy,RHipx,RHipy,RKneex,RKneey,RAnklex,RAnkley,LHipx,LHipy,LKneex,LKneey,LAnklex,LAnkley,REyex,REyey,LEyex,LEyey,REarx,REary,LEarx,LEary,LBigToex,LBigToey,LSmallToex,LSmallToey,LHeelx,LHeely,RBigToex,RBigToey,RSmallToex,RSmallToey,RHeelx,RHeely
1.0,428.758979287198,106.40040668313367,419.6950080985065,120.34094654078268,409.2548336920974,116.94590884808622,392.1626558530845,142.2977223939804,390.9751162671733,163.03924268060078,435.81332283498136,122.64262025740011,428.9146507634756,142.26188158124424,427.6598575296338,160.98647728388,409.372939822165,159.38497004963924,400.1622811876552,158.26689093571522,395.59267021623197,189.3990456866184,385.4165753120339,218.31458339215794,418.5759838423838,160.4867128930707,414.13225874719467,189.3497440253566,401.4838100982554,215.95216557329326,427.57703247547533,103.00997943838794,433.4407938974699,105.30599894755352,419.54228110363226,103.07312698322849,436.89815783302953,106.4869167782102,410.632658375995,222.8961331729063,410.62275138642406,219.39249656927237,397.99969176949804,217.04741680228145,392.36736300229944,226.45642293741452,389.9869952937179,226.45449207837152,384.2826649654488,220.6911577370777
1.0,428.77713395594697,106.64044021385236,419.61428682546205,120.21131860103905,408.9454631394706,117.27525421934789,392.2355312284699,142.50686819958267,391.20338373754277,163.70755706348214,435.33663311382173,122.25841324896348,429.0202698717243,142.0514285169941,427.7974562169625,160.50678848867702,409.32646423660964,159.4842199362449,400.17205871937136,158.55796286623163,395.17022965143,189.53776523980804,385.5902043054349,218.34337630362546,418.4664558333996,160.4207863581605,414.6868507298544,189.2261126798921,402.0935282149572,215.881966991201,427.51429832969296,103.29398907757924,433.23194917783815,105.34730778372605,419.39695592497026,102.93574393566128,436.897117132441,106.36026135756431,411.3175244972788,223.18307124590552,411.3090014389886,219.62336338622464,398.578056077265,216.97362096148487,392.40381202176644,226.73345168919872,389.8693513170522,226.70278273227214,384.47990152400996,220.7170711431564
2.0,428.86860585039125,106.90840684216691,419.5633396967279,120.11345675581744,408.6817000729727,117.62137970727998,392.32817426000844,142.72594220206497,391.46143211178037,164.3882938324904,434.8977757742612,121.88772798890062,429.1587147553476,141.7597283430352,428.0342535039892,159.83830565111302,409.30258479696437,159.58776462145846,400.2108003377123,158.85026771092157,394.77216606206525,189.71074282103578,385.7375259543355,218.40774493796508,418.3852540324308,160.37222083775214,415.253154765147,189.1322554378254,402.7497960387988,215.83825574582792,427.5170229563434,103.57568794741886,433.0785385920811,105.39618153167672,419.3025750982085,102.82807836608525,436.937460737836,106.23664778983111,412.08193079316726,223.4766048172483,412.0796084586354,219.88470652740503,399.1964909686944,216.95361756392714,392.4358244722064,227.03252140633992,389.758630718966,226.97545825884097,384.6530641967879,220.77952059929405
3.0,429.0643888026612,107.20906134324709,419.5595705935698,120.07716739584889,408.4871631480513,118.00014621485035,392.4500335176785,142.9585958465584,391.7603766738656,165.08172899883596,434.528381640217,121.55712359717188,429.337062459951,141.37615942862215,428.39604627436654,158.9509825138839,409.3137269459893,159.68644081523053,400.2911295571732,159.13036064421976,394.4194018092939,189.92338457066268,385.8447236468988,218.51885529359174,418.3485055483245,160.33862386525266,415.833529979578,189.0800601848588,403.48047351919234,215.838270635651,427.6121779423753,103.84673895108767,433.02146514228843,105.45487203688623,419.28242999904063,102.77813643966036,437.04072854835437,106.12236593921858,412.9671044735065,223.77639582339108,412.9763949166931,220.1896654493339,399.8642719094691,217.01299713304792,392.4634190807398,227.36044949758843,389.65782338814336,227.282331308271,384.7875990594254,220.89733375036803
4.0,429.4003622072578,107.55149625980891,419.62384171662075,120.1198692485532,408.3843875141228,118.42184817963927,392.609435668186,143.20507616455498,392.10977148466856,165.77894752130092,434.2585518589908,121.28432710700673,429.5658880164016,140.89439141841152,428.90886553282985,157.81992219765687,409.37469628200284,159.78438483419995,400.4274291654753,159.39574793391392,394.1374160590115,190.17951179730082,385.9063296549393,218.67904007714387,418.37039439965923,160.32634292713507,416.42405823761146,189.0837493358032,404.3050399529407,215.89756919460112,427.8330423542833,104.10705146071479,433.10950449614603,105.52877120730116,419.3647301151678,102.80262479725725,437.231344100029,106.02526166318896,414.00431205973337,224.08282944416098,414.0292788236657,220.545658142548,400.5891194827158,217.1708850138869,392.4862363624687,227.71867722280817,389.56672693725443,227.62599421442073,384.8699207412028,221.07205157392107
5.0,429.91340334232257,107.94685891220034,419.7803338651279,120.24410522590394,408.3956644382929,118.88830996987197,392.8163863907775,143.46109825687662,392.517555421009,166.4615433920144,434.11632816198113,121.07580164261098,429.86117085478213,140.31519326496027,429.59615886290817,156.4304947868798,409.5020860631413,159.89614252264207,400.635220645999,159.6527107351162,393.9528771634831,190.48034821585307,385.92391672557386,218.88195207668198,418.46545123708205,160.35002206206568,417.015023869662,189.15805924390764,405.230761370136,216.02684610932621,428.2161125398393,104.36426119392591,433.3909017144629,105.62550031488405,419.5805117221096,102.90346611822021,437.53568243760947,105.95353117843831,415.20808989984596,224.3963985150772,415.2510743710318,220.95527116343294,401.376436576043,217.43877162715867,392.5033470584773,228.10025738090388,389.48214292803016,227.9979331320935,384.8902088592168,221.288572197392
6.0,430.6359300131836,108.40517290660149,420.05541781296085,120.43771315927516,408.54315864382573,119.39025117399359,393.08451668461447,143.71820878198946,392.99067362106115,167.105627060582,434.1280108217069,120.92604169061433,430.24413367158735,139.64997398646636,430.4747053029934,154.78581867194168,409.7122108973841,160.04327720078243,400.9300368816756,159.91474558069405,393.888698798656,190.82426328712015,385.9062251438257,219.11626305624557,418.6482775372232,160.43252335073868,417.595709942331,189.31496241323697,406.2481317306591,216.2293576264493,428.79643939789474,104.63269896290969,433.90279977035595,105.75427150396062,419.9596557374597,103.0702491543578,437.9799083652138,105.91325731992198,416.56883508739617,224.71706855768264,416.6306000836071,221.41784928330003,402.2275056314231,217.8191566185304,392.5131905918176,228.489419464998,389.3996816689364,228.37926081560394,384.8498476277365,221.5225169771472
7.0,431.5887221212188,108.93063291748865,420.4748170238927,120.67778412212786,408.8470862622583,119.90708208023446,393.4294829334556,143.96562473912238,393.53420356806464,167.68699306692838,434.31639262825547,120.82181451326741,430.73726348034313,138.9250577376449,431.5492412155487,152.91619685112747,410.01902229669173,160.24967875028224,401.3257427626667,160.19941639716384,393.9615961097838,191.20669291569757,385.86791702877076,219.36866459899815,418.9306961259297,160.6008530631841,418.1597292186326,189.56087831292774,407.3277206450405,216.49996030772334,429.6007573178942,104.92812674198906,434.6630080026998,105.92332207791735,420.5269359786601,103.28543605019861,438.5859256915122,105.90671034016708,418.0491306861251,225.04301204792623,418.1288949145224,221.92804427210862,403.13617768557543,218.30405306970917,392.5145811753667,228.86425763171695,389.3160415538409,228.74508834595494,384.7633791359005,221.74844753548692
8.0,432.7743986730415,109.5142182333617,421.06042303865553,120.93849310241642,409.3234547270394,120.41139863232911,393.86483059950126,144.19207329830647,394.14896360957476,168.1849647298056,434.6967794886524,120.75138405104073,431.3580780403362,138.1866462051869,432.805800224917,150.89198816798495,410.43355297777856,160.5332247659171,401.83282279335816,160.52135741003627,394.18303124647844,191.61970410467765,385.8263431511131,219.62337275482548,419.32042280421445,160.87570301252555,418.7071883907023,189.89536196084788,408.4249853055846,216.82583271871243,430.63981859518833,105.255462023199,435.6671144236181,106.13176221868949,421.29900020141264,103.52752323356758,439.36717755781285,105.93220998414948,419.58991858338834,225.3702828473824,419.68515643324935,222.47345406053788,404.08526623628995,218.87443997019315,392.5103855868751,229.20147156220068,389.2333429692103,229.06992702885705,384.65226353178997,221.94412363317113
9.0,434.1740185896142,110.12917823391058,421.8281046733856,121.1991213700083,409.9822632658649,120.87664510905608,394.39941180495106,144.38617080311658,394.8296351905947,168.58403238048282,435.27498144789286,120.71286119453917,432.11324092877624,137.50624555730187,434.20368925814205,148.8401378075381,410.9632360257171,160.897565051312,402.45700119701695,160.88463172496404,394.56021157153566,192.04963791185747,385.8011783697458,219.86135350042102,419.8215918822117,161.26142543210412,419.24321538407236,190.31079201915642,409.49115209804967,217.18834514130918,431.90296880932567,105.60126671081157,436.8924527291878,106.36450528915604,422.28160073383674,103.77439934508125,440.3264564361068,105.98539892997988,421.12238678666154,225.69352258631588,421.2283694794591,223.03407396865526,405.04427930446957,219.50060225992036,392.51124797111197,229.4811277393285,389.162906546927,229.33258754850849,384.54111871495127,222.09314551456984
