time,Nosex,Nosey,Neckx,Necky,RSholderx,RSholdery,RElbowx,RElbowy,RWristx,RWristy,LSholderx,LSholdery,LElbowx,LElbowy,LWristx,LWristy,MidHipx,MidHipy,RHipx,RHipy,RKneex,RKneey,RAnklex,RAnkley,LHipx,LHipy,LKneex,LKneey,LAnklex,LAnkley,REyex,REyey,LEyex,LEyey,REarx,REary,LEarx,LEary,LBigToex,LBigToey,LSmallToex,LSmallToey,LHeelx,LHeely,RBigToex,RBigToey,RSmallToex,RSmallToey,RHeelx,RHeely
1.0,429.282,106.503,420.109,120.347,409.648,116.935,392.412,142.278,391.2,163.009,436.136,122.65,429.264,142.287,428.086,160.674,409.642,159.57,400.466,158.42,395.859,189.516,385.493,218.337,418.824,160.709,414.272,189.534,401.572,216.02,428.095,103.052,433.881,105.325,420.033,103.06,437.317,106.503,410.819,222.963,410.803,219.476,398.155,217.18,392.419,226.45,390.062,226.436,384.332,220.668
1.0,430.413,106.579,420.061,119.198,408.508,116.89,391.272,142.287,391.183,163.059,435.025,121.522,429.266,142.301,428.101,160.705,409.617,161.852,400.45,160.731,395.822,189.508,387.751,217.196,417.724,161.917,414.301,189.551,401.562,215.974,429.225,104.227,435.039,105.379,420.071,101.913,437.373,106.5,410.784,224.056,409.71,219.495,398.147,216.078,392.404,226.396,390.062,226.371,385.46,218.383
2.0,429.321,108.863,420.037,118.086,408.49,116.904,392.393,142.255,391.2,163.002,435.007,120.379,429.3,142.297,428.145,160.706,409.633,161.863,400.461,160.746,395.834,189.523,386.613,217.2,417.748,161.919,414.287,189.533,401.616,215.975,428.159,105.415,435.03,106.537,420.064,101.949,437.354,106.518,410.84,222.944,410.846,218.377,399.302,216.076,392.371,226.409,388.917,226.376,384.344,218.382
3.0,429.252,106.574,420.032,118.075,408.509,116.891,392.429,142.307,391.227,163.054,433.877,120.385,430.426,142.244,428.145,159.548,409.654,160.674,400.484,159.556,394.673,189.523,386.6,217.168,418.839,160.72,414.265,189.515,401.631,214.89,428.096,104.21,432.731,105.396,420.059,99.638,437.335,106.535,410.83,224.068,410.854,219.504,399.312,216.05,392.362,226.396,388.894,225.287,384.339,218.344
4.0,429.235,107.711,420.029,118.057,408.505,116.904,393.529,142.313,392.356,165.331,433.887,119.224,430.452,142.281,428.105,160.671,409.65,160.745,400.472,160.709,393.547,189.547,386.627,217.154,418.831,161.857,416.58,188.409,402.762,214.867,428.068,105.341,431.598,105.436,418.938,100.767,437.351,105.413,410.818,224.088,410.878,220.625,400.435,216.021,392.426,225.267,390.053,225.23,386.604,218.352
5.0,428.121,107.722,420.025,118.069,408.469,116.898,393.531,143.427,392.372,166.476,435.016,119.222,430.439,142.226,428.09,159.559,408.54,160.746,400.437,160.708,392.417,190.682,387.785,220.649,417.707,161.859,417.752,188.41,401.653,214.882,426.921,105.352,430.441,106.485,418.906,103.058,437.29,105.405,410.78,224.112,410.834,220.66,400.398,216.023,392.403,228.727,388.937,228.719,388.89,224.101
6.0,428.133,106.549,418.929,120.351,407.362,118.051,392.42,143.44,392.382,167.598,431.56,121.506,429.244,142.254,428.067,159.567,409.626,159.544,400.458,159.525,393.532,189.546,385.449,217.241,417.744,159.577,418.828,188.351,402.763,214.866,426.923,104.191,430.426,105.343,418.899,101.936,436.205,105.365,411.972,224.071,412.017,219.495,400.427,216.035,392.407,226.453,390.032,226.442,384.323,219.521
7.0,428.136,105.334,420.046,121.527,408.493,120.391,392.44,144.56,392.428,168.78,433.886,122.643,429.32,142.276,428.132,160.698,409.681,157.254,400.493,158.378,393.56,191.816,385.457,219.517,418.87,157.258,418.94,188.387,408.482,216.071,425.796,98.506,431.585,100.773,418.911,103.057,437.346,105.338,418.873,225.217,418.872,221.802,401.61,217.248,394.679,231.003,391.185,231.013,384.302,224.065
8.0,430.405,107.738,420.02,122.638,408.483,121.532,393.553,143.473,393.525,168.736,432.714,122.638,429.287,142.304,428.067,160.701,409.683,158.395,401.572,158.395,393.518,189.53,387.753,219.486,418.848,158.416,418.867,189.477,408.508,216.041,428.135,105.4,435.003,106.49,420.01,104.25,437.888,105.921,418.857,225.188,418.872,220.65,401.642,217.205,393.55,229.851,391.162,229.861,386.604,222.943
9.0,430.427,108.845,420.045,122.662,407.372,122.638,393.569,144.608,393.522,168.801,435.013,122.666,429.294,142.294,428.092,160.722,409.663,158.384,400.483,158.393,393.565,189.515,385.459,218.359,418.852,158.402,418.91,188.405,410.775,217.176,428.12,105.389,436.143,106.497,418.933,105.348,438.43,106.504,421.231,225.251,421.225,222.94,403.924,218.377,392.393,228.713,387.771,228.711,384.31,221.784
