time,Nosex,Nosey,Neckx,Necky,RSholderx,RSholdery,RElbowx,RElbowy,RWristx,RWristy,LSholderx,LSholdery,LElbowx,LElbowy,LWristx,LWristy,MidHipx,MidHipy,RHipx,RHipy,RKneex,RKneey,RAnklex,RAnkley,LHipx,LHipy,LKneex,LKneey,LAnklex,LAnkley,REyex,REyey,LEyex,LEyey,REarx,REary,LEarx,LEary,LBigToex,LBigToey,LSmallToex,LSmallToey,LHeelx,LHeely,RBigToex,RBigToey,RSmallToex,RSmallToey,RHeelx,RHeely
0,192.995,53.5352,197.552,68.4911,180.254,68.4705,179.119,91.5471,179.148,112.307,211.446,68.5286,218.322,92.6982,220.668,115.742,198.758,114.561,189.541,114.566,193.007,143.433,198.759,161.833,207.976,114.558,216.015,143.389,217.232,167.638,189.552,50.1003,197.609,51.1674,187.219,48.9055,203.358,50.0521,217.172,178.016,222.967,176.822,217.202,168.746,198.728,174.526,195.262,171.116,203.331,160.696
1,191.85,53.5266,197.564,68.5529,180.278,68.4786,179.159,89.2812,179.088,106.595,212.583,69.6787,218.383,95.0066,222.945,116.896,198.786,114.587,189.571,114.571,194.155,142.266,198.76,161.903,207.995,114.595,215.971,142.286,217.216,166.483,189.514,50.0945,197.588,50.1088,187.199,48.8624,204.492,50.0494,216.076,177.968,221.814,174.556,217.202,168.752,198.735,175.672,195.267,172.238,202.211,161.89
2,195.287,52.4139,197.533,68.5152,180.249,68.4725,179.188,90.3861,179.147,108.865,211.422,69.6186,218.322,93.8388,221.797,115.737,198.76,114.568,189.552,114.568,192.991,142.309,198.751,161.835,207.969,114.567,215.995,142.272,217.214,166.471,190.654,50.0673,198.703,50.0811,187.195,48.8857,204.515,50.0332,216.072,178,221.808,175.703,217.202,167.612,198.733,173.404,195.264,171.107,202.206,160.691
3,191.85,53.5165,197.562,69.6334,180.264,68.5073,179.183,90.4226,179.159,110.008,213.711,70.7929,218.365,96.1812,222.934,119.235,198.79,114.612,189.572,114.599,194.148,143.442,198.796,161.886,208.002,114.626,216.029,143.448,217.211,167.617,189.516,50.0976,197.58,50.1128,187.207,50.0111,203.372,50.0832,217.142,178.017,221.816,176.824,217.184,167.628,198.723,174.544,195.268,171.131,204.483,161.839
4,191.848,52.3664,197.565,68.4887,180.274,68.4819,179.193,90.4253,179.157,112.293,212.574,68.5109,218.366,93.8609,222.948,116.931,198.797,114.603,189.579,114.602,194.156,143.462,198.784,163.005,208.009,114.598,216.008,143.419,217.237,169.895,189.505,50.0467,197.574,50.0549,187.18,48.9163,203.354,50.027,216.059,179.117,221.803,177.967,217.231,169.949,198.747,176.822,195.279,172.262,203.359,162.997
5,192.997,53.5394,197.544,69.605,179.198,68.5028,179.192,90.3984,179.159,108.833,212.578,69.6805,218.373,95.0297,222.928,116.93,198.776,114.625,189.57,114.623,196.394,144.557,198.763,161.889,207.981,114.622,216.029,143.388,217.234,167.615,189.541,50.0881,197.623,51.1667,186.078,47.7677,204.503,50.0528,217.149,177.994,222.933,175.7,217.218,167.632,198.727,175.675,195.26,172.228,202.218,161.838
6,192.969,52.3872,197.565,68.5212,180.278,68.4552,179.184,90.395,179.098,108.834,212.571,69.646,218.369,95.0043,221.794,119.217,198.784,114.582,189.569,114.578,194.119,143.4,198.708,164.158,207.993,114.584,216.047,143.392,217.217,168.76,189.531,50.0431,197.606,50.0682,187.197,47.7724,204.498,50.0264,216.076,178.015,221.808,176.836,217.197,169.885,197.625,175.703,192.974,172.261,201.04,164.164
7,194.133,54.6807,197.553,68.5407,180.271,68.5097,179.181,92.6896,179.122,111.148,212.556,69.6293,218.345,93.8541,221.777,115.789,198.78,114.623,189.564,114.625,195.274,144.611,199.94,163.01,207.995,114.611,216.024,143.446,217.205,167.639,189.568,51.1802,197.63,51.1992,187.21,48.9127,204.497,50.0801,216.074,178.018,222.919,176.825,217.192,168.756,198.722,176.816,195.294,172.246,205.66,161.905
8,192.979,53.5231,197.557,68.503,180.29,68.494,180.254,89.273,179.141,106.596,211.433,68.5408,218.361,94.9768,224.054,116.915,198.786,114.584,189.572,114.579,194.154,143.458,198.786,161.883,207.999,114.581,216.006,143.438,217.197,168.769,189.51,50.0887,197.609,50.1037,186.053,48.8848,204.477,50.0343,216.067,179.1,221.787,176.852,217.18,169.886,198.725,175.684,195.267,172.22,203.361,161.833
9,191.863,54.6734,197.544,68.5324,180.258,68.509,179.143,90.4241,179.139,109.988,211.438,69.6304,218.351,93.8295,222.943,115.764,198.771,114.56,189.554,114.562,193,142.276,198.73,161.909,207.983,114.559,215.988,142.282,217.234,168.748,189.52,51.1745,197.594,51.1853,187.2,48.9178,204.51,50.0648,217.147,178.009,222.922,176.817,217.218,168.793,198.735,175.699,194.141,172.249,201.073,161.872
10,192.976,54.6729,197.544,68.5034,180.256,68.4899,179.148,90.4268,179.147,110.008,211.418,68.5277,218.356,93.8286,221.786,115.74,198.77,114.551,189.554,113.476,194.139,143.404,198.772,164.156,207.988,114.558,215.971,142.303,217.229,167.638,189.543,51.1797,197.598,51.1982,187.213,48.9114,203.354,50.0921,217.155,177.997,222.941,175.691,217.205,168.77,198.737,176.82,195.261,173.376,203.333,164.171
11,194.12,54.6738,197.555,68.4681,180.259,68.4491,179.145,90.4259,179.134,112.294,212.558,68.4863,218.341,92.7062,221.779,116.892,198.767,113.471,189.555,113.469,195.272,142.312,198.749,164.158,207.982,114.547,215.992,142.299,217.251,168.739,189.556,51.1775,197.623,51.1897,187.21,48.9093,204.492,50.0643,217.151,179.09,222.935,176.845,0,0,198.711,175.714,194.127,172.278,201.082,165.304
12,192.969,54.6863,197.541,68.4835,180.266,68.4686,179.156,90.3901,179.117,110,211.409,68.508,218.317,92.6921,220.641,115.735,198.781,113.452,189.561,113.447,195.3,142.297,198.728,163.023,207.998,113.458,216.004,142.292,217.207,167.622,189.532,51.1881,197.589,51.2068,187.195,48.9219,203.364,50.0817,217.14,177.996,222.921,175.706,217.172,168.767,198.747,175.672,195.266,172.248,201.052,163.024
