,Nosex,Nosey,Neckx,Necky,RSholderx,RSholdery,RElbowx,RElbowy,RWristx,RWristy,LSholderx,LSholdery,LElbowx,LElbowy,LWristx,LWristy,RHipx,RHipy,RKneex,RKneey,RAnklex,RAnkley,LHipx,LHipy,LKneex,LKneey,LAnklex,LAnkley,REyex,REyey,LEyex,LEyey,REarx,REary,LEarx,LEary
0,192.995,53.5352,197.55200000000002,68.4911,180.25400000000002,68.4705,179.11900000000003,91.5471,179.148,112.307,211.446,68.5286,218.322,92.6982,220.668,115.742,189.541,114.566,193.007,143.433,198.75900000000001,161.833,207.976,114.55799999999999,216.015,143.389,217.232,167.638,189.55200000000002,50.1003,197.609,51.1674,187.21900000000002,48.9055,203.358,50.0521
1,191.85,53.5266,197.56400000000002,68.5529,180.278,68.4786,179.15900000000002,89.2812,179.088,106.595,212.583,69.6787,218.38299999999998,95.0066,222.945,116.896,189.571,114.571,194.155,142.266,198.76,161.903,207.995,114.595,215.97099999999998,142.286,217.21599999999998,166.483,189.514,50.0945,197.588,50.1088,187.199,48.8624,204.49200000000002,50.0494
2,195.287,52.4139,197.533,68.5152,180.24900000000002,68.4725,179.188,90.3861,179.14700000000002,108.865,211.422,69.6186,218.322,93.8388,221.797,115.73700000000001,189.55200000000002,114.568,192.99099999999999,142.309,198.75099999999998,161.835,207.96900000000002,114.56700000000001,215.995,142.27200000000002,217.21400000000003,166.47099999999998,190.65400000000002,50.0673,198.703,50.0811,187.195,48.8857,204.515,50.0332
3,191.85,53.5165,197.562,69.6334,180.264,68.5073,179.183,90.4226,179.15900000000002,110.008,213.71099999999998,70.7929,218.365,96.1812,222.93400000000003,119.235,189.572,114.59899999999999,194.148,143.442,198.796,161.886,208.002,114.626,216.02900000000002,143.44799999999998,217.21099999999998,167.61700000000002,189.516,50.0976,197.58,50.1128,187.207,50.0111,203.372,50.0832
4,191.84799999999998,52.3664,197.565,68.4887,180.274,68.4819,179.19299999999998,90.4253,179.157,112.29299999999999,212.574,68.5109,218.36599999999999,93.8609,222.94799999999998,116.931,189.579,114.602,194.15599999999998,143.46200000000002,198.78400000000002,163.005,208.00900000000001,114.598,216.00799999999998,143.41899999999998,217.237,169.895,189.505,50.0467,197.574,50.0549,187.18,48.9163,203.354,50.027
5,192.997,53.5394,197.544,69.605,179.19799999999998,68.5028,179.192,90.3984,179.15900000000002,108.833,212.578,69.6805,218.373,95.0297,222.928,116.93,189.57,114.62299999999999,196.394,144.55700000000002,198.763,161.889,207.981,114.62200000000001,216.02900000000002,143.388,217.234,167.615,189.541,50.0881,197.623,51.1667,186.078,47.7677,204.503,50.0528
6,192.96900000000002,52.3872,197.565,68.5212,180.278,68.4552,179.18400000000003,90.395,179.09799999999998,108.834,212.571,69.646,218.36900000000003,95.0043,221.794,119.21700000000001,189.56900000000002,114.57799999999999,194.11900000000003,143.4,198.708,164.158,207.993,114.584,216.047,143.392,217.217,168.76,189.53099999999998,50.0431,197.606,50.0682,187.197,47.7724,204.498,50.0264
7,194.13299999999998,54.6807,197.553,68.5407,180.271,68.5097,179.18099999999998,92.6896,179.122,111.148,212.55599999999998,69.6293,218.345,93.8541,221.77700000000002,115.789,189.56400000000002,114.625,195.274,144.611,199.94,163.01,207.995,114.611,216.024,143.446,217.205,167.639,189.56799999999998,51.1802,197.63,51.1992,187.21,48.9127,204.497,50.0801
8,192.979,53.5231,197.55700000000002,68.503,180.29,68.494,180.25400000000002,89.273,179.141,106.596,211.433,68.5408,218.361,94.9768,224.054,116.915,189.572,114.579,194.15400000000002,143.458,198.78599999999997,161.88299999999998,207.99900000000002,114.581,216.00599999999997,143.438,217.197,168.769,189.51,50.0887,197.609,50.1037,186.053,48.8848,204.477,50.0343
9,191.863,54.6734,197.544,68.5324,180.25799999999998,68.509,179.143,90.4241,179.139,109.988,211.438,69.6304,218.351,93.8295,222.94299999999998,115.764,189.554,114.56200000000001,193.0,142.276,198.73,161.909,207.983,114.559,215.988,142.282,217.234,168.748,189.52,51.1745,197.59400000000002,51.1853,187.2,48.9178,204.51,50.0648
10,192.976,54.6729,197.544,68.5034,180.25599999999997,68.4899,179.148,90.4268,179.14700000000002,110.008,211.418,68.5277,218.356,93.8286,221.78599999999997,115.74,189.554,113.476,194.139,143.404,198.77200000000002,164.15599999999998,207.988,114.55799999999999,215.97099999999998,142.303,217.229,167.638,189.543,51.1797,197.59799999999998,51.1982,187.213,48.9114,203.354,50.0921
11,194.12,54.6738,197.555,68.4681,180.25900000000001,68.4491,179.145,90.4259,179.13400000000001,112.294,212.558,68.4863,218.34099999999998,92.7062,221.77900000000002,116.89200000000001,189.555,113.469,195.27200000000002,142.312,198.74900000000002,164.158,207.982,114.54700000000001,215.99200000000002,142.299,217.25099999999998,168.739,189.55599999999998,51.1775,197.623,51.1897,187.21,48.9093,204.49200000000002,50.0643
12,192.96900000000002,54.6863,197.541,68.4835,180.266,68.4686,179.15599999999998,90.3901,179.11700000000002,110.0,211.40900000000002,68.508,218.317,92.6921,220.641,115.735,189.56099999999998,113.447,195.3,142.297,198.72799999999998,163.023,207.998,113.458,216.00400000000002,142.292,217.207,167.622,189.532,51.1881,197.58900000000003,51.2068,187.195,48.9219,203.364,50.0817
13,192.972,55.8253,197.542,68.5073,180.261,68.4775,179.148,91.5399,179.09900000000002,111.165,211.415,68.5459,218.33599999999998,93.8507,220.667,115.806,189.55,114.595,195.294,143.439,198.771,163.0,207.97,114.583,216.02599999999998,143.389,217.233,168.783,189.541,51.2065,197.602,51.2287,187.21900000000002,48.9228,204.50400000000002,50.1086
14,191.83900000000003,55.8204,197.53400000000002,68.5388,180.25,68.4947,179.13,91.5509,179.115,112.306,210.28900000000002,69.6462,217.24099999999999,92.7201,221.794,113.42299999999999,189.53599999999997,114.574,194.15599999999998,143.445,199.87599999999998,163.032,207.959,114.56200000000001,216.003,143.428,217.24900000000002,168.78099999999998,189.516,51.2039,197.571,51.2183,187.195,50.0228,203.365,50.0965
15,191.813,55.8135,197.55200000000002,68.509,180.262,68.4645,179.143,89.2608,179.108,107.68299999999999,212.558,69.6012,218.358,94.9729,222.945,116.949,189.571,114.54700000000001,194.128,143.393,198.77700000000002,161.917,208.00400000000002,114.568,216.011,143.415,218.31799999999998,169.91,189.516,51.2103,197.56099999999998,51.2301,187.236,50.0662,203.36900000000003,51.2329
16,191.843,55.8239,197.543,68.5109,179.205,68.4724,179.142,90.3834,179.12,110.01,211.42700000000002,68.5457,218.345,93.8344,221.775,115.721,189.55,114.58,194.13400000000001,143.47,199.877,161.89600000000002,207.98,114.57600000000001,216.01,143.423,217.2,167.605,189.537,51.2127,197.58,51.2399,187.231,50.0206,203.359,51.1948
17,191.84400000000002,56.9775,197.545,68.5341,180.275,68.4927,179.17700000000002,91.5726,179.138,113.40899999999999,210.30200000000002,69.623,218.324,91.5635,220.66400000000002,110.01799999999999,189.57,114.583,195.283,143.441,198.805,164.155,207.986,114.573,215.987,142.30700000000002,217.19400000000002,168.745,189.513,51.2425,197.577,51.2648,187.208,50.0265,204.507,51.1682
18,191.852,56.9581,197.54,68.5463,180.25,68.503,179.172,89.279,179.11900000000003,107.698,211.429,69.6371,218.352,94.9699,222.942,115.804,189.546,114.587,195.267,143.405,198.774,163.011,207.965,114.579,216.028,143.392,217.238,168.768,189.52599999999998,51.2129,197.6,51.2549,187.183,48.8987,204.523,51.1654
19,191.857,55.8305,197.563,68.5024,180.297,68.4588,180.27200000000002,89.2273,179.12900000000002,106.595,211.437,68.5557,218.372,93.8683,221.796,116.946,189.574,113.444,195.27599999999998,142.237,198.74900000000002,163.015,207.997,113.459,215.998,142.238,217.245,168.748,189.53400000000002,51.2095,197.593,51.2356,187.207,49.9997,204.498,51.17100000000001
20,192.96400000000003,56.9529,197.55900000000003,69.6166,180.27700000000002,68.5175,179.15900000000002,92.7091,179.16,114.554,212.565,69.6695,218.33599999999998,96.1249,222.94,118.052,189.558,114.615,195.282,143.392,198.794,163.026,208.007,114.61,216.021,143.415,217.237,168.74599999999998,189.524,51.2164,197.6,51.2395,187.188,48.8797,204.515,50.0827
21,191.834,55.8277,197.537,68.5196,180.257,68.4763,179.16,90.4175,179.114,110.005,211.41400000000002,69.6105,218.368,95.0109,222.951,118.084,189.551,114.572,195.283,142.297,198.725,165.33,207.979,114.575,215.982,142.29399999999998,217.207,169.873,189.528,51.2073,197.578,51.2394,187.217,50.0111,203.37,51.1877
