Frame,NoseX,NoseY,NoseZ,NeckX,NeckY,NeckZ,RSholderX,RSholderY,RSholderZ,RElbowX,RElbowY,RElbowZ,RWristX,RWristY,RWristZ,LSholderX,LSholderY,LSholderZ,LElbowX,LElbowY,LElbowZ,LWristX,LWristY,LWristZ,MidHipX,MidHipY,MidHipZ,RHipX,RHipY,RHipZ,RKneeX,RKneeY,RKneeZ,RAnkleX,RAnkleY,RAnkleZ,LHipX,LHipY,LHipZ,LKneeX,LKneeY,LKneeZ,LAnkleX,LAnkleY,LAnkleZ,REyeX,REyeY,REyeZ,LEyeX,LEyeY,LEyeZ,REarX,REarY,REarZ,LEarX,LEarY,LEarZ,LBigToeX,LBigToeY,LBigToeZ,LSmallToeX,LSmallToeY,LSmallToeZ,LHeelX,LHeelY,LHeelZ,RBigToeX,RBigToeY,RBigToeZ,RSmallToeX,RSmallToeY,RSmallToeZ,RHeelX,RHeelY,RHeelZ
1,-1.035,-0.012,3.563,-1.085,0.066,3.145,-1.127,0.098,3.072,-1.186,0.354,3.031,-1.109,0.542,3.267,-0.976,0.079,3.298,-1.22,-0.06,4.202,-0.873,0.007,3.539,-1.067,0.346,3.359,-1.115,0.41,3.284,-0.828,0.498,3.213,-0.807,0.819,3.421,-1.037,0.318,3.35,-0.775,0.359,3.486,-0.779,0.722,3.639,-0.983,-0.011,3.177,-1.234,-0.096,4.25,-1.06,-0.002,3.148,1,1,1,-0.633,0.758,3.716,-0.64,0.744,3.697,-0.828,0.742,3.637,-0.663,0.935,3.402,-0.723,0.938,3.379,-0.807,0.847,3.42
1,-1.035,-0.012,3.563,-1.0861221374,0.0647175573,3.1440381679,-1.1281221374,0.0994427481,3.071519084,-1.1861603053,0.3552824427,3.0313206107,-1.1096412214,0.5378320611,3.2686030534,-0.976,0.079,3.298,-1.22,-0.06,4.202,-0.8754045802,0.007,3.5357938931,-1.0686030534,0.345519084,3.3545114504,-1.115480916,0.4087175573,3.2854427481,-0.8281603053,0.4994427481,3.2138015267,-0.8068396947,0.8218854962,3.4201984733,-1.036519084,0.3119083969,3.3483969466,-0.7775648855,0.3588396947,3.4839160305,-0.7809236641,0.7223206107,3.6406030534,-0.9823587786,-0.0137251908,3.1749160305,-1.234,-0.096,4.25,-1.0583969466,-0.0034427481,3.1470381679,1,1,1,-0.6363664122,0.7571984733,3.7124732824,-0.6425648855,0.7433587786,3.6939541985,-0.8304045802,0.7426412214,3.6403664122,-0.663,0.935,3.4016793893,-0.7228396947,0.9378396947,3.378519084,-0.8103664122,0.8489236641,3.4219236641
2,-1.035,-0.012,3.563,-1.0858903695,0.0598188976,3.1444433677,-1.1274772865,0.1010036342,3.0705857056,-1.1853010297,0.3546044821,3.0289824349,-1.110128407,0.5333228346,3.2697177468,-0.976,0.079,3.298,-1.22,-0.06,4.202,-0.8697443973,0.0049345851,3.5317056329,-1.0684784979,0.3456184131,3.3556450636,-1.1157946699,0.407330103,3.2863840097,-0.829986069,0.5010036342,3.2142556027,-0.8064597214,0.8229418534,3.4187116899,-1.0341399152,0.3053179891,3.3466626287,-0.7782743792,0.3586662629,3.4814548758,-0.784863719,0.7226674743,3.6415112053,-0.9795996366,-0.0185324046,3.1774118716,-1.234,-0.096,4.25,-1.0510860085,-0.0066559661,3.1451714113,1,1,1,-0.644345851,0.7555051484,3.7039073289,-0.6488509994,0.7418388855,3.6865281647,-0.8327995154,0.7433349485,3.6435953967,-0.6665112053,0.9306626287,3.3998867353,-0.7228728044,0.9378728044,3.3786184131,-0.8094645669,0.8503852211,3.4209067232
3,-1.035,-0.012,3.563,-1.085916091,0.0554035974,3.1452778267,-1.1268960642,0.1002989198,3.0697444254,-1.1847611608,0.3539934171,3.0273442121,-1.1105675212,0.5334817116,3.2707224514,-0.976,0.079,3.298,-1.22,-0.06,4.202,-0.8658158175,0.0009613833,3.5327131797,-1.0711816791,0.3424232534,3.3458742756,-1.1158428446,0.4058449307,3.2862939131,-0.8304585786,0.502879746,3.2172457002,-0.807055723,0.8290556302,3.4211255389,-1.0348109499,0.299612489,3.3476802652,-0.7775061425,0.3587445645,3.4832251171,-0.7860687961,0.7227454916,3.6420951277,-0.9768781234,-0.0247422465,3.1723882064,-1.234,-0.096,4.25,-1.0515350702,-0.0076751657,3.146538918,1,1,1,-0.6513033239,0.7535096658,3.6940750081,-0.650997543,0.7418766863,3.6864042464,-0.8366004821,0.7432563627,3.6434557044,-0.6715529183,0.9248762691,3.4074211673,-0.7229026471,0.9357910621,3.3782387001,-0.8091209494,0.8542833897,3.4218670901
4,-1.035,-0.012,3.563,-1.0869400224,0.0515415557,3.1427009354,-1.1266713999,0.105990611,3.0693070572,-1.1833167032,0.3532428975,3.0234970597,-1.1091716136,0.5316058717,3.273299273,-0.976,0.079,3.298,-1.2189971065,-0.0660173607,4.2077666374,-0.8638562095,-0.0047955719,3.5385517296,-1.0731419148,0.3428185806,3.3439000108,-1.1156315237,0.4068867036,3.2857187755,-0.8298421555,0.5016562796,3.2164319274,-0.8123069426,0.822522875,3.4238520204,-1.0343569024,0.2924386695,3.3450024732,-0.7786328576,0.3585578848,3.4821657815,-0.7895616744,0.7203020692,3.6425727237,-0.9771594041,-0.0255590414,3.169532917,-1.2337492766,-0.0929913196,4.2489971065,-1.0519023624,-0.0085087794,3.1476574155,1,1,1,-0.6564924642,0.7513760937,3.6840272673,-0.6597734768,0.7386482002,3.6830434887,-0.8399600543,0.74344281,3.6440936188,-0.6761780327,0.9156305268,3.4050590605,-0.727941523,0.929826087,3.379933916,-0.8193702825,0.8539616139,3.4374452623
5,-1.035,-0.012,3.563,-1.0840993805,0.048804378,3.1492699882,-1.126237411,0.1062527049,3.068708016,-1.1806379098,0.3549974194,3.0223293713,-1.1065304935,0.534045113,3.2706250054,-0.976,0.079,3.298,-1.1714808182,-0.0623776696,4.0502160671,-0.8620759539,-0.0066662446,3.5415243412,-1.0741436896,0.3428656873,3.341329414,-1.1154675448,0.4076950896,3.2855321412,-0.8350762599,0.5012262168,3.2196953023,-0.8109289633,0.8192712359,3.4231114763,-1.0340045746,0.2938827021,3.3426649274,-0.7795071562,0.3584130267,3.4805647996,-0.7920123918,0.7184060434,3.6424240126,-0.9734828305,-0.0285297545,3.169134886,-1.2091470628,-0.0865021747,4.1594165536,-1.0488118431,-0.0091556396,3.1516412089,1,1,1,-0.6599997763,0.7492011911,3.6728549811,-0.6678816295,0.7364026435,3.6879656597,-0.842566986,0.7435874877,3.6451079339,-0.6805459566,0.9107929996,3.4076402847,-0.7269180831,0.9298712445,3.3807300429,-0.8226496639,0.8539715811,3.4401858628
6,-1.0275934449,-0.0112064405,3.5378706167,-1.0798407752,0.0467399653,3.1550180071,-1.1235294128,0.1040697008,3.0679916921,-1.1772949321,0.3539400227,3.0180099289,-1.107183727,0.5337686599,3.2696661196,-0.976,0.079,3.298,-1.1705600728,-0.0710069227,4.0953918031,-0.8572945057,-0.0133675251,3.5514373959,-1.070931443,0.3415786165,3.3489133524,-1.1132277114,0.4059241057,3.2856558991,-0.8387593652,0.5006373383,3.2210985,-0.8090961152,0.818670449,3.4199077507,-1.0273903689,0.2910040116,3.3525407942,-0.7854569593,0.3583037729,3.4806799187,-0.7970349906,0.7148598792,3.6449570511,-0.9733551123,-0.0262734653,3.1696282456,-1.1654623907,-0.0771111457,4.0011235119,-1.0475390152,-0.0120241879,3.1517361163,1,1,1,-0.6655547518,0.7451801747,3.6657513062,-0.6755840157,0.7349735372,3.6993490959,-0.8437396061,0.7415804468,3.6384663876,-0.6848983773,0.9095251562,3.4138193925,-0.7258816724,0.9246149064,3.3800078925,-0.8245939735,0.8534500588,3.4398721786
7,-1.0148792623,-0.0098155844,3.4938268387,-1.0758761888,0.0452065825,3.1571503284,-1.121250853,0.1045853638,3.0661239212,-1.1758804362,0.3555588939,3.0169387106,-1.1074017873,0.5327618946,3.2713581617,-0.976,0.079,3.298,-1.1471691467,-0.0755464782,4.0373174384,-0.8516058603,-0.0156736171,3.549984842,-1.0688126257,0.3432940343,3.3558821776,-1.1115640314,0.407012946,3.2857478227,-0.8422964878,0.5031384935,3.2258807329,-0.8133447023,0.8211627589,3.4196652529,-1.0291560755,0.2992843254,3.3649519745,-0.7866705938,0.3555512079,3.4783611525,-0.8031698969,0.7039445112,3.6447013831,-0.9700545495,-0.0245975626,3.1905645909,-1.1303433351,-0.0677315028,3.8835482723,-1.0417850511,-0.0141548581,3.1507380447,1,1,1,-0.6720850912,0.7448649011,3.6740991281,-0.6855793766,0.7328434748,3.7166200331,-0.8438091681,0.7379525463,3.6263204303,-0.6849255249,0.906980592,3.4031819816,-0.7251118582,0.9257863467,3.3797386426,-0.8252367229,0.8546655368,3.4361663445
8,-0.9979932377,-0.0077167342,3.4358672319,-1.0726868763,0.0440769183,3.1579155986,-1.1176923788,0.1095305554,3.0658220958,-1.1732270767,0.3540660708,3.0126584209,-1.1070253418,0.5309460094,3.2747530869,-0.976,0.079,3.298,-1.1071102498,-0.0767424573,3.9026902448,-0.8535915328,-0.017372547,3.552137287,-1.0669831169,0.3442892595,3.3596734737,-1.1103383754,0.4078151098,3.2858155441,-0.8395313989,0.5022956611,3.2261813085,-0.816743242,0.8181650357,3.4202922417,-1.0242803195,0.3008192515,3.3789293052,-0.787833242,0.3562088232,3.4777270726,-0.8076895672,0.6959030086,3.6447815757,-0.9660116984,-0.0233629019,3.192829893,-1.0961456901,-0.0578673753,3.767657365,-1.036471839,-0.013307631,3.1537624067,1,1,1,-0.6744791614,0.7419471667,3.6670902907,-0.6953600184,0.7280516667,3.7422340179,-0.8433233218,0.7331314475,3.609853025,-0.6884366334,0.9064487104,3.4004476431,-0.7269616467,0.926649363,3.3790031889,-0.8278586197,0.8501900602,3.432362018
9,-0.9826450776,-0.0061772296,3.3831205948,-1.0698089228,0.0408246294,3.1565918381,-1.1129278581,0.1131578487,3.065870005,-1.1715501379,0.3551254697,3.0097881304,-1.0666238301,0.5209965261,3.1576749872,-0.976,0.079,3.298,-1.0513358914,-0.0776197067,3.7018774168,-0.8547787238,-0.0186187104,3.5531775076,-1.0694113447,0.3439420646,3.3514131712,-1.112132337,0.4062491129,3.2869424094,-0.8396575922,0.5014081464,3.2255938867,-0.8189667697,0.8183898899,3.4196749458,-1.0266285113,0.3000600329,3.3673685328,-0.7849158725,0.3596534604,3.4823786359,-0.8136977202,0.6926975532,3.6453789927,-0.9608918877,-0.0200335982,3.2028397253,-1.0624442167,-0.047939068,3.65356732,-1.0255728571,-0.0102625096,3.1559807734,1,1,1,-0.6789281888,0.7427692883,3.6767607006,-0.7025341099,0.7245368801,3.7612911493,-0.8421590603,0.7274407927,3.5905031552,-0.6885883468,0.9135989173,3.3984420083,-0.7253561876,0.9288981722,3.3757707552,-0.8308589702,0.8506774732,3.4344189106
