time,Nosex,Nosey,Neckx,Necky,RSholderx,RSholdery,RElbowx,RElbowy,RWristx,RWristy,LSholderx,LSholdery,LElbowx,LElbowy,LWristx,LWristy,MidHipx,MidHipy,RHipx,RHipy,RKneex,RKneey,RAnklex,RAnkley,LHipx,LHipy,LKneex,LKneey,LAnklex,LAnkley,REyex,REyey,LEyex,LEyey,REarx,REary,LEarx,LEary,LBigToex,LBigToey,LSmallToex,LSmallToey,LHeelx,LHeely,RBigToex,RBigToey,RSmallToex,RSmallToey,RHeelx,RHeely,,,,,,,,,,,,,,,,,,,,,,,,,
0,nan,nan,nan,-0.000772,-0.000406,0.007,-0.000103,-0.000426,0.007,0.000101,0.000584,0.008,0.000297,0.00137,0.008,-0.001383,-0.000368,0.007,-0.00169,0.000605,0.008,-0.001253,0.000693,0.008,-0.000707,0.001282,0.008,-0.000314,0.001239,0.008,-0.000354,0.002401,0.009,-0.000448,0.003814,0.01,-0.001079,0.001326,0.008,-0.00114,0.00272,0.009,-0.001017,0.003924,0.009,-0.008043,-0.000817,0.009,0,0,0,-0.000504,-0.001114,0.007,-0.00121,-0.001207,0.008,-0.00114,0.004022,0.009,-0.001238,0.004047,0.009,-0.000992,0.004121,0.009,-0.000162,0.003865,0.011,-0.000162,0.003925,0.011,-0.000584,0.004005,0.01
1,nan,nan,nan,-0.000753,-0.000445,0.007,-0.000103,-0.000483,0.007,0.000101,0.000518,0.008,0.000275,0.001261,0.008,-0.001364,-0.000406,0.007,-0.00169,0.00054,0.008,-0.001253,0.000693,0.008,-0.000707,0.001217,0.008,-0.000314,0.001195,0.008,-0.000354,0.002376,0.009,-0.000448,0.003787,0.01,-0.001079,0.001261,0.008,-0.001115,0.002597,0.009,-0.000992,0.003752,0.009,-0.007724,-0.000867,0.009,0,0,0,-0.000576,-0.001316,0.008,-0.001188,-0.001251,0.008,-0.001042,0.003826,0.009,-0.001164,0.00385,0.009,-0.000968,0.003924,0.009,-0.000162,0.003865,0.011,-0.000132,0.003925,0.011,-0.000557,0.003978,0.01
2,nan,nan,nan,-0.000734,-0.000502,0.007,-0.000103,-0.000521,0.007,0.000101,0.000431,0.008,0.000253,0.001151,0.008,-0.001537,-0.00053,0.008,-0.00169,0.000474,0.008,-0.001275,0.000671,0.008,-0.000686,0.001151,0.008,-0.000314,0.00113,0.008,-0.000354,0.002352,0.009,-0.000448,0.003787,0.01,-0.001057,0.001173,0.008,-0.001091,0.002475,0.009,-0.000943,0.003556,0.009,-0.007405,-0.000916,0.009,0,0,0,-0.000555,-0.00136,0.008,-0.001188,-0.001273,0.008,-0.000943,0.003629,0.009,-0.001212,0.004033,0.01,-0.000943,0.003728,0.009,-0.000162,0.003835,0.011,-0.000132,0.003925,0.011,-0.000557,0.003951,0.01
3,nan,nan,nan,-0.000838,-0.000617,0.008,-0.000118,-0.000639,0.008,0.000122,0.000365,0.008,0.000261,0.001197,0.009,-0.001515,-0.000574,0.008,-0.00169,0.000409,0.008,-0.001297,0.000671,0.008,-0.000686,0.001086,0.008,-0.000293,0.001064,0.008,-0.000354,0.002303,0.009,-0.000448,0.00376,0.01,-0.001057,0.001108,0.008,-0.001185,0.002613,0.01,-0.000919,0.003384,0.009,-0.007085,-0.000965,0.009,0,0,0,-0.000555,-0.001404,0.008,-0.001166,-0.001316,0.008,-0.00087,0.003457,0.009,-0.00113,0.003814,0.01,-0.000919,0.003531,0.009,-0.000162,0.003835,0.011,-0.000132,0.003925,0.011,-0.000557,0.003923,0.01
4,-0.01664,-0.003041,0.015,-0.000817,-0.000661,0.008,-0.000118,-0.000683,0.008,0.000122,0.000278,0.008,0.000236,0.001074,0.009,-0.001494,-0.000617,0.008,-0.00169,0.000322,0.008,-0.001319,0.000649,0.008,-0.000686,0.00102,0.008,-0.000314,0.00102,0.008,-0.000354,0.002278,0.009,-0.000448,0.00376,0.01,-0.001035,0.001042,0.008,-0.001157,0.002477,0.01,-0.000993,0.003596,0.01,-0.006766,-0.001014,0.009,0,0,0,-0.000533,-0.001425,0.008,-0.001144,-0.00136,0.008,-0.000857,0.00365,0.01,-0.001075,0.003596,0.01,-0.000993,0.003732,0.01,-0.000162,0.003835,0.011,-0.000132,0.003925,0.011,-0.000557,0.003923,0.01
5,-0.011662,-0.00223,0.011,-0.000817,-0.000705,0.008,-0.00014,-0.000727,0.008,0.000122,0.000212,0.008,0.000211,0.000976,0.009,-0.001472,-0.000661,0.008,-0.00169,0.000256,0.008,-0.001484,0.000706,0.009,-0.000686,0.000955,0.008,-0.000354,0.001074,0.009,-0.000354,0.002229,0.009,-0.000448,0.003732,0.01,-0.001164,0.001099,0.009,-0.00113,0.002367,0.01,-0.000966,0.003432,0.01,-0.00573,-0.000945,0.008,0,0,0,-0.000533,-0.001469,0.008,-0.001144,-0.001382,0.008,-0.000802,0.003487,0.01,-0.000993,0.003432,0.01,-0.000966,0.003541,0.01,-0.000162,0.003835,0.011,-0.000132,0.003925,0.011,-0.000557,0.003896,0.01
6,-0.010111,-0.002055,0.01,-0.000795,-0.000748,0.008,-0.00014,-0.00077,0.008,0.000101,0.000147,0.008,0.000211,0.000878,0.009,-0.001472,-0.000705,0.008,-0.00169,0.000191,0.008,-0.001508,0.000657,0.009,-0.000771,0.001025,0.009,-0.000354,0.001025,0.009,-0.000354,0.00218,0.009,-0.000448,0.003705,0.01,-0.00114,0.001025,0.009,-0.00113,0.002258,0.01,-0.001033,0.003595,0.011,-0.004101,-0.000742,0.006,0,0,0,-0.000533,-0.001491,0.008,-0.001122,-0.001425,0.008,-0.00072,0.00335,0.01,-0.001063,0.003595,0.011,-0.001033,0.003745,0.011,-0.000162,0.003835,0.011,-0.000132,0.003925,0.011,-0.000557,0.003869,0.01
7,-0.008657,-0.001849,0.009,-0.000795,-0.00077,0.008,-0.000161,-0.000814,0.008,0.000101,0.000103,0.008,0.000187,0.000779,0.009,-0.00145,-0.000748,0.008,-0.001901,0.000165,0.009,-0.001533,0.000632,0.009,-0.000771,0.000951,0.009,-0.000354,0.000951,0.009,-0.000366,0.002367,0.01,-0.000448,0.003678,0.01,-0.00114,0.000976,0.009,-0.001103,0.002149,0.01,-0.001003,0.003475,0.011,-0.004555,-0.000903,0.007,0,0,0,-0.000533,-0.001513,0.008,-0.001122,-0.001447,0.008,-0.000666,0.003214,0.01,-0.001003,0.003445,0.011,-0.001003,0.003565,0.011,-0.000132,0.003805,0.011,-0.000132,0.003925,0.011,-0.000557,0.003814,0.01
8,-0.00824,-0.001849,0.009,-0.000795,-0.000814,0.008,-0.000161,-0.000836,0.008,0.000113,0.000042,0.009,0.000187,0.000706,0.009,-0.001428,-0.000792,0.008,-0.001901,0.000092,0.009,nan,nan,nan,-0.000771,0.000878,0.009,-0.000354,0.000878,0.009,-0.000366,0.002313,0.01,-0.000448,0.003623,0.01,-0.00114,0.000902,0.009,-0.001213,0.002274,0.011,-0.000973,0.003325,0.011,-0.004326,-0.000942,0.007,0,0,0,-0.000555,-0.001535,0.008,-0.001122,-0.001469,0.008,-0.000611,0.003104,0.01,-0.000973,0.003295,0.011,-0.001003,0.003445,0.011,-0.000132,0.003775,0.011,-0.000132,0.003895,0.011,-0.000557,0.003787,0.01
9,-0.007847,-0.001874,0.009,-0.000817,-0.000858,0.008,-0.000183,-0.000879,0.008,0.000089,-0.000007,0.009,0.00018,0.000702,0.01,-0.001428,-0.000814,0.008,-0.001901,0.000042,0.009,-0.00173,0.000566,0.01,-0.000771,0.000829,0.009,-0.000378,0.000829,0.009,-0.000366,0.002231,0.01,-0.000448,0.003568,0.01,-0.00114,0.000829,0.009,-0.001213,0.002184,0.011,-0.001061,0.003529,0.012,-0.004116,-0.00098,0.007,0,0,0,-0.000555,-0.001556,0.008,-0.001263,-0.001677,0.009,-0.000584,0.003023,0.01,-0.001061,0.003496,0.012,-0.000973,0.003355,0.011,-0.000132,0.003745,0.011,-0.000132,0.003865,0.011,-0.000557,0.003705,0.01
