Frame,NoseX,NoseY,NoseZ,NeckX,NeckY,NeckZ,RSholderX,RSholderY,RSholderZ,RElbowX,RElbowY,RElbowZ,RWristX,RWristY,RWristZ,LSholderX,LSholderY,LSholderZ,LElbowX,LElbowY,LElbowZ,LWristX,LWristY,LWristZ,MidHipX,MidHipY,MidHipZ,RHipX,RHipY,RHipZ,RKneeX,RKneeY,RKneeZ,RAnkleX,RAnkleY,RAnkleZ,LHipX,LHipY,LHipZ,LKneeX,LKneeY,LKneeZ,LAnkleX,LAnkleY,LAnkleZ,REyeX,REyeY,REyeZ,LEyeX,LEyeY,LEyeZ,REarX,REarY,REarZ,LEarX,LEarY,LEarZ,LBigToeX,LBigToeY,LBigToeZ,LSmallToeX,LSmallToeY,LSmallToeZ,LHeelX,LHeelY,LHeelZ,RBigToeX,RBigToeY,RBigToeZ,RSmallToeX,RSmallToeY,RSmallToeZ,RHeelX,RHeelY,RHeelZ
1,-1.035,-0.012,3.563,-1.085,0.066,3.145,-1.127,0.098,3.072,-1.186,0.354,3.031,-1.109,0.542,3.267,-0.976,0.079,3.298,-1.22,-0.06,4.202,-0.873,0.007,3.539,-1.067,0.346,3.359,-1.115,0.41,3.284,-0.828,0.498,3.213,-0.807,0.819,3.421,-1.037,0.318,3.35,-0.775,0.359,3.486,-0.779,0.722,3.639,-0.983,-0.011,3.177,-1.234,-0.096,4.25,-1.06,-0.002,3.148,1,1,1,-0.633,0.758,3.716,-0.64,0.744,3.697,-0.828,0.742,3.637,-0.663,0.935,3.402,-0.723,0.938,3.379,-0.807,0.847,3.42
1,-1.035,-0.012,3.563,-1.086,0.065,3.144,-1.128,0.099,3.072,-1.186,0.355,3.031,-1.11,0.538,3.269,-0.976,0.079,3.298,-1.22,-0.06,4.202,-0.875,0.007,3.536,-1.069,0.346,3.355,-1.115,0.409,3.285,-0.828,0.499,3.214,-0.807,0.822,3.42,-1.037,0.312,3.348,-0.778,0.359,3.484,-0.781,0.722,3.641,-0.982,-0.014,3.175,-1.234,-0.096,4.25,-1.058,-0.003,3.147,1,1,1,-0.636,0.757,3.712,-0.643,0.743,3.694,-0.83,0.743,3.64,-0.663,0.935,3.402,-0.723,0.938,3.379,-0.81,0.849,3.422
2,-1.035,-0.012,3.563,-1.086,0.06,3.144,-1.127,0.101,3.071,-1.185,0.355,3.029,-1.11,0.533,3.27,-0.976,0.079,3.298,-1.22,-0.06,4.202,-0.87,0.005,3.532,-1.068,0.346,3.356,-1.116,0.407,3.286,-0.83,0.501,3.214,-0.806,0.823,3.419,-1.034,0.305,3.347,-0.778,0.359,3.481,-0.785,0.723,3.642,-0.98,-0.019,3.177,-1.234,-0.096,4.25,-1.051,-0.007,3.145,1,1,1,-0.644,0.756,3.704,-0.649,0.742,3.687,-0.833,0.743,3.644,-0.667,0.931,3.4,-0.723,0.938,3.379,-0.809,0.85,3.421
3,-1.035,-0.012,3.563,-1.086,0.055,3.145,-1.127,0.1,3.07,-1.185,0.354,3.027,-1.111,0.533,3.271,-0.976,0.079,3.298,-1.22,-0.06,4.202,-0.866,0.001,3.533,-1.071,0.342,3.346,-1.116,0.406,3.286,-0.83,0.503,3.217,-0.807,0.829,3.421,-1.035,0.3,3.348,-0.778,0.359,3.483,-0.786,0.723,3.642,-0.977,-0.025,3.172,-1.234,-0.096,4.25,-1.052,-0.008,3.147,1,1,1,-0.651,0.754,3.694,-0.651,0.742,3.686,-0.837,0.743,3.643,-0.672,0.925,3.407,-0.723,0.936,3.378,-0.809,0.854,3.422
4,-1.035,-0.012,3.563,-1.087,0.052,3.143,-1.127,0.106,3.069,-1.183,0.353,3.023,-1.109,0.532,3.273,-0.976,0.079,3.298,-1.219,-0.066,4.208,-0.864,-0.005,3.539,-1.073,0.343,3.344,-1.116,0.407,3.286,-0.83,0.502,3.216,-0.812,0.823,3.424,-1.034,0.292,3.345,-0.779,0.359,3.482,-0.79,0.72,3.643,-0.977,-0.026,3.17,-1.234,-0.093,4.249,-1.052,-0.009,3.148,1,1,1,-0.656,0.751,3.684,-0.66,0.739,3.683,-0.84,0.743,3.644,-0.676,0.916,3.405,-0.728,0.93,3.38,-0.819,0.854,3.437
5,-1.035,-0.012,3.563,-1.084,0.049,3.149,-1.126,0.106,3.069,-1.181,0.355,3.022,-1.107,0.534,3.271,-0.976,0.079,3.298,-1.171,-0.062,4.05,-0.862,-0.007,3.542,-1.074,0.343,3.341,-1.115,0.408,3.286,-0.835,0.501,3.22,-0.811,0.819,3.423,-1.034,0.294,3.343,-0.78,0.358,3.481,-0.792,0.718,3.642,-0.973,-0.029,3.169,-1.209,-0.087,4.159,-1.049,-0.009,3.152,1,1,1,-0.66,0.749,3.673,-0.668,0.736,3.688,-0.843,0.744,3.645,-0.681,0.911,3.408,-0.727,0.93,3.381,-0.823,0.854,3.44
6,-1.028,-0.011,3.538,-1.08,0.047,3.155,-1.124,0.104,3.068,-1.177,0.354,3.018,-1.107,0.534,3.27,-0.976,0.079,3.298,-1.171,-0.071,4.095,-0.857,-0.013,3.551,-1.071,0.342,3.349,-1.113,0.406,3.286,-0.839,0.501,3.221,-0.809,0.819,3.42,-1.027,0.291,3.353,-0.785,0.358,3.481,-0.797,0.715,3.645,-0.973,-0.026,3.17,-1.165,-0.077,4.001,-1.048,-0.012,3.152,1,1,1,-0.666,0.745,3.666,-0.676,0.735,3.699,-0.844,0.742,3.638,-0.685,0.91,3.414,-0.726,0.925,3.38,-0.825,0.853,3.44
7,-1.015,-0.01,3.494,-1.076,0.045,3.157,-1.121,0.105,3.066,-1.176,0.356,3.017,-1.107,0.533,3.271,-0.976,0.079,3.298,-1.147,-0.076,4.037,-0.852,-0.016,3.55,-1.069,0.343,3.356,-1.112,0.407,3.286,-0.842,0.503,3.226,-0.813,0.821,3.42,-1.029,0.299,3.365,-0.787,0.356,3.478,-0.803,0.704,3.645,-0.97,-0.025,3.191,-1.13,-0.068,3.884,-1.042,-0.014,3.151,1,1,1,-0.672,0.745,3.674,-0.686,0.733,3.717,-0.844,0.738,3.626,-0.685,0.907,3.403,-0.725,0.926,3.38,-0.825,0.855,3.436
8,-0.998,-0.008,3.436,-1.073,0.044,3.158,-1.118,0.11,3.066,-1.173,0.354,3.013,-1.107,0.531,3.275,-0.976,0.079,3.298,-1.107,-0.077,3.903,-0.854,-0.017,3.552,-1.067,0.344,3.36,-1.11,0.408,3.286,-0.84,0.502,3.226,-0.817,0.818,3.42,-1.024,0.301,3.379,-0.788,0.356,3.478,-0.808,0.696,3.645,-0.966,-0.023,3.193,-1.096,-0.058,3.768,-1.036,-0.013,3.154,1,1,1,-0.674,0.742,3.667,-0.695,0.728,3.742,-0.843,0.733,3.61,-0.688,0.906,3.4,-0.727,0.927,3.379,-0.828,0.85,3.432
9,-0.983,-0.006,3.383,-1.07,0.041,3.157,-1.113,0.113,3.066,-1.172,0.355,3.01,-1.067,0.521,3.158,-0.976,0.079,3.298,-1.051,-0.078,3.702,-0.855,-0.019,3.553,-1.069,0.344,3.351,-1.112,0.406,3.287,-0.84,0.501,3.226,-0.819,0.818,3.42,-1.027,0.3,3.367,-0.785,0.36,3.482,-0.814,0.693,3.645,-0.961,-0.02,3.203,-1.062,-0.048,3.654,-1.026,-0.01,3.156,1,1,1,-0.679,0.743,3.677,-0.703,0.725,3.761,-0.842,0.727,3.591,-0.689,0.914,3.398,-0.725,0.929,3.376,-0.831,0.851,3.434
10,-0.97,-0.005,3.346,-1.068,0.038,3.156,-1.105,0.118,3.068,-1.164,0.354,3.009,-1.076,0.527,3.188,-0.976,0.079,3.298,-1.005,-0.078,3.561,-0.855,-0.017,3.551,-1.067,0.345,3.357,-1.111,0.405,3.287,-0.838,0.501,3.227,-0.821,0.816,3.421,-1.025,0.3,3.364,-0.786,0.368,3.491,-0.819,0.697,3.65,-0.956,-0.015,3.207,-1.029,-0.038,3.541,-1.018,-0.008,3.161,1,1,1,-0.681,0.739,3.675,-0.709,0.721,3.783,-0.84,0.721,3.569,-0.687,0.915,3.402,-0.725,0.932,3.377,-0.834,0.852,3.441
11,-0.972,-0.002,3.381,-1.057,0.053,3.162,-1.096,0.117,3.069,-1.152,0.349,3.01,-1.083,0.531,3.209,-0.976,0.079,3.298,-1.001,0.018,3.52,-0.879,0.082,3.533,-1.072,0.346,3.342,-1.117,0.404,3.286,-0.836,0.501,3.228,-0.822,0.817,3.419,-1.031,0.31,3.362,-0.783,0.365,3.488,-0.822,0.69,3.648,-0.947,-0.019,3.199,-1.001,-0.036,3.452,-1.01,-0.009,3.155,1,1,1,-0.682,0.733,3.674,-0.714,0.715,3.799,-0.838,0.714,3.545,-0.686,0.921,3.402,-0.724,0.933,3.375,-0.835,0.851,3.435
12,-0.987,0.002,3.468,-1.045,0.062,3.169,-1.084,0.119,3.072,-1.142,0.346,3.016,-1.087,0.534,3.225,-0.973,0.077,3.292,-0.997,0.085,3.49,-0.876,0.054,3.538,-1.068,0.346,3.344,-1.114,0.403,3.286,-0.833,0.501,3.229,-0.823,0.815,3.42,-1.024,0.311,3.372,-0.781,0.366,3.488,-0.824,0.689,3.648,-0.94,-0.014,3.199,-0.977,-0.031,3.388,-1.004,-0.007,3.155,1,1,1,-0.684,0.731,3.682,-0.717,0.713,3.807,-0.836,0.707,3.521,-0.689,0.919,3.409,-0.723,0.934,3.374,-0.839,0.852,3.439
13,-1.01,0.008,3.594,-1.033,0.068,3.172,-1.073,0.123,3.073,-1.133,0.343,3.017,-1.092,0.532,3.24,-0.969,0.073,3.282,-0.993,0.132,3.469,-0.89,0.126,3.526,-1.063,0.345,3.343,-1.113,0.4,3.288,-0.832,0.5,3.227,-0.823,0.819,3.42,-1.019,0.31,3.371,-0.784,0.364,3.485,-0.825,0.686,3.648,-0.933,-0.011,3.192,-0.956,-0.026,3.341,-0.998,-0.006,3.153,1,1,1,-0.688,0.729,3.684,-0.722,0.709,3.815,-0.834,0.7,3.496,-0.69,0.919,3.411,-0.723,0.935,3.375,-0.838,0.851,3.437
14,-1.039,0.014,3.748,-1.023,0.075,3.169,-1.063,0.125,3.073,-1.125,0.341,3.015,-1.094,0.534,3.245,-0.963,0.069,3.268,-0.993,0.17,3.449,-0.891,0.189,3.519,-1.072,0.354,3.334,-1.112,0.406,3.27,-0.838,0.5,3.23,-0.818,0.825,3.415,-1.024,0.317,3.357,-0.788,0.362,3.482,-0.825,0.684,3.648,-0.922,-0.006,3.2,-0.937,-0.019,3.307,-0.982,-0.005,3.152,1,1,1,-0.698,0.723,3.722,-0.73,0.707,3.823,-0.832,0.696,3.477,-0.691,0.918,3.424,-0.723,0.933,3.375,-0.836,0.856,3.435
15,-1.061,0.028,3.851,-1.014,0.077,3.16,-1.053,0.134,3.07,-1.119,0.337,3.012,-1.098,0.532,3.253,-0.955,0.063,3.252,-0.99,0.196,3.433,-0.881,0.137,3.523,-1.066,0.35,3.326,-1.11,0.407,3.273,-0.836,0.502,3.229,-0.82,0.826,3.416,-1.02,0.314,3.347,-0.789,0.361,3.481,-0.825,0.681,3.648,-0.917,0.002,3.194,-0.92,-0.013,3.283,-0.971,-0.002,3.153,1,1,1,-0.704,0.72,3.74,-0.734,0.704,3.826,-0.831,0.693,3.465,-0.684,0.916,3.432,-0.721,0.932,3.377,-0.835,0.853,3.429
16,-1.041,0.031,3.806,-1.004,0.081,3.151,-1.038,0.138,3.076,-1.112,0.336,3.01,-1.057,0.522,3.131,-0.947,0.057,3.235,-0.983,0.212,3.419,-0.888,0.192,3.514,-1.059,0.347,3.32,-1.109,0.405,3.276,-0.832,0.502,3.227,-0.821,0.822,3.417,-1.016,0.318,3.36,-0.787,0.36,3.48,-0.825,0.678,3.649,-0.9,0.001,3.2,-0.904,-0.009,3.268,-0.955,-0.002,3.149,1,1,1,-0.706,0.716,3.746,-0.735,0.703,3.828,-0.83,0.693,3.455,-0.682,0.911,3.444,-0.719,0.927,3.38,-0.837,0.851,3.426
17,-0.99,0.027,3.652,-0.994,0.084,3.144,-1.026,0.143,3.077,-1.109,0.34,3.008,-1.027,0.515,3.044,-0.939,0.052,3.219,-0.954,0.162,3.453,-0.895,0.225,3.507,-1.055,0.346,3.317,-1.108,0.404,3.278,-0.831,0.501,3.224,-0.823,0.821,3.42,-1.009,0.316,3.358,-0.784,0.36,3.482,-0.824,0.674,3.649,-0.887,0.002,3.199,-0.89,-0.007,3.258,-0.944,0.0,3.148,1,1,1,-0.709,0.713,3.751,-0.733,0.702,3.833,-0.829,0.69,3.446,-0.68,0.908,3.451,-0.72,0.919,3.377,-0.841,0.854,3.432
18,-0.954,0.019,3.616,-0.98,0.086,3.146,-1.011,0.145,3.078,-1.104,0.343,3.011,-1.004,0.508,2.973,-0.931,0.046,3.206,-0.941,0.155,3.456,-0.901,0.24,3.502,-1.05,0.345,3.317,-1.105,0.401,3.278,-0.83,0.5,3.22,-0.818,0.823,3.418,-1.004,0.318,3.371,-0.779,0.36,3.483,-0.824,0.672,3.649,-0.873,0.002,3.196,-0.881,-0.007,3.293,-0.929,-0.0,3.142,1,1,1,-0.713,0.712,3.756,-0.742,0.701,3.832,-0.827,0.687,3.436,-0.673,0.905,3.447,-0.716,0.923,3.381,-0.837,0.858,3.43
19,-0.927,0.016,3.594,-0.965,0.085,3.149,-0.999,0.146,3.075,-1.097,0.341,3.01,-0.991,0.503,2.929,-0.923,0.041,3.193,-0.939,0.18,3.436,-0.895,0.265,3.498,-1.046,0.34,3.309,-1.104,0.393,3.277,-0.834,0.496,3.218,-0.815,0.824,3.418,-1.0,0.315,3.362,-0.78,0.359,3.481,-0.826,0.67,3.648,-0.859,0.002,3.191,-0.876,-0.008,3.359,-0.919,-0.001,3.139,1,1,1,-0.716,0.71,3.775,-0.742,0.698,3.837,-0.831,0.684,3.427,-0.67,0.904,3.447,-0.715,0.919,3.379,-0.834,0.86,3.427
20,-0.907,0.013,3.578,-0.953,0.08,3.148,-0.988,0.146,3.072,-1.091,0.332,3.007,-1.024,0.504,3.023,-0.914,0.036,3.182,-0.924,0.169,3.399,-0.908,0.24,3.589,-1.043,0.338,3.303,-1.103,0.387,3.274,-0.838,0.497,3.22,-0.818,0.828,3.42,-0.995,0.311,3.358,-0.772,0.362,3.488,-0.827,0.671,3.646,-0.845,0.001,3.184,-0.873,-0.007,3.408,-0.91,-0.001,3.131,1,1,1,-0.716,0.709,3.77,-0.741,0.698,3.838,-0.839,0.682,3.417,-0.663,0.897,3.434,-0.71,0.917,3.379,-0.831,0.862,3.424
21,-0.892,0.012,3.566,-0.942,0.081,3.145,-0.98,0.14,3.065,-1.083,0.326,3.007,-1.048,0.51,3.09,-0.906,0.031,3.171,-0.898,0.131,3.351,-0.934,0.18,3.75,-1.041,0.335,3.298,-1.101,0.383,3.271,-0.84,0.498,3.22,-0.816,0.837,3.423,-0.991,0.31,3.355,-0.768,0.362,3.489,-0.823,0.675,3.652,-0.833,0.0,3.189,-0.869,-0.006,3.444,-0.901,-0.001,3.124,1,1,1,-0.713,0.707,3.748,-0.737,0.699,3.839,-0.849,0.682,3.408,-0.655,0.898,3.426,-0.701,0.923,3.38,-0.829,0.865,3.42
22,-0.875,0.015,3.512,-0.933,0.074,3.141,-0.972,0.142,3.061,-1.081,0.324,3.005,-1.064,0.518,3.138,-0.898,0.026,3.161,-0.865,0.074,3.294,-0.97,0.094,3.96,-1.039,0.334,3.296,-1.099,0.378,3.267,-0.832,0.497,3.217,-0.813,0.839,3.421,-0.983,0.299,3.342,-0.763,0.367,3.497,-0.821,0.678,3.655,-0.822,-0.0,3.178,-0.865,-0.005,3.47,-0.888,-0.002,3.121,1,1,1,-0.708,0.705,3.713,-0.74,0.7,3.837,-0.862,0.681,3.399,-0.652,0.897,3.417,-0.7,0.925,3.382,-0.828,0.868,3.421
23,-0.856,0.022,3.426,-0.926,0.07,3.135,-0.966,0.136,3.055,-1.078,0.318,3.005,-1.078,0.512,3.17,-0.889,0.021,3.151,-0.905,0.091,3.48,-0.98,0.039,4.083,-1.037,0.333,3.296,-1.096,0.373,3.263,-0.829,0.498,3.218,-0.811,0.841,3.42,-0.979,0.299,3.35,-0.76,0.368,3.499,-0.819,0.679,3.658,-0.823,0.004,3.167,-0.843,-0.002,3.39,-0.888,-0.002,3.12,1,1,1,-0.697,0.696,3.652,-0.747,0.701,3.831,-0.853,0.681,3.398,-0.647,0.897,3.412,-0.697,0.927,3.383,-0.829,0.872,3.43
24,-0.835,0.02,3.362,-0.92,0.069,3.127,-0.96,0.139,3.051,-1.077,0.32,3.007,-1.044,0.506,3.073,-0.88,0.016,3.141,-0.922,0.101,3.582,-0.971,0.007,4.141,-1.034,0.33,3.294,-1.093,0.368,3.259,-0.829,0.5,3.219,-0.809,0.842,3.418,-0.972,0.288,3.332,-0.76,0.371,3.5,-0.818,0.678,3.659,-0.816,0.002,3.154,-0.823,-0.002,3.327,-0.876,-0.002,3.116,1,1,1,-0.681,0.683,3.571,-0.747,0.701,3.833,-0.846,0.683,3.404,-0.647,0.895,3.411,-0.697,0.928,3.383,-0.83,0.874,3.433
25,-0.824,0.021,3.305,-0.913,0.066,3.123,-0.956,0.137,3.047,-1.071,0.318,3.01,-1.064,0.51,3.124,-0.872,0.011,3.132,-0.921,0.105,3.622,-0.947,-0.008,4.153,-1.035,0.33,3.295,-1.089,0.362,3.255,-0.826,0.499,3.216,-0.808,0.841,3.417,-0.97,0.282,3.32,-0.768,0.365,3.491,-0.817,0.677,3.66,-0.813,0.003,3.145,-0.809,0.0,3.281,-0.875,-0.004,3.111,1,1,1,-0.662,0.667,3.477,-0.742,0.699,3.81,-0.84,0.68,3.398,-0.646,0.898,3.407,-0.702,0.929,3.385,-0.828,0.871,3.427
