time,Nosex,Nosey,Neckx,Necky,RSholderx,RSholdery,RElbowx,RElbowy,RWristx,RWristy,LSholderx,LSholdery,LElbowx,LElbowy,LWristx,LWristy,MidHipx,MidHipy,RHipx,RHipy,RKneex,RKneey,RAnklex,RAnkley,LHipx,LHipy,LKneex,LKneey,LAnklex,LAnkley,REyex,REyey,LEyex,LEyey,REarx,REary,LEarx,LEary,LBigToex,LBigToey,LSmallToex,LSmallToey,LHeelx,LHeely,RBigToex,RBigToey,RSmallToex,RSmallToey,RHeelx,RHeely
0,0,0,217.202,184.921,251.74,183.782,262.15,233.284,271.35,269.025,184.906,187.186,180.359,234.448,201.061,237.945,225.238,264.463,243.641,263.327,243.641,303.645,241.365,345.16,207.917,266.738,211.432,316.289,216.008,365.898,0,0,0,0,231.004,148.027,202.205,151.46,211.422,370.456,207.939,371.636,217.161,373.894,252.877,334.711,252.943,337.063,236.807,352.038
1,0,0,217.247,183.741,250.593,180.363,263.286,226.452,271.312,263.313,188.347,187.177,180.355,228.715,198.765,242.548,226.366,263.275,243.714,262.16,243.629,307.073,241.403,346.265,207.991,263.328,214.845,310.535,217.209,357.79,0,0,0,0,232.151,144.576,202.201,149.166,209.107,364.701,207.993,364.726,220.629,363.595,252.908,334.738,254.029,337.085,237.948,353.194
2,0,0,218.373,180.302,251.747,179.186,264.44,225.208,271.408,256.362,188.371,181.478,180.324,226.361,198.775,244.807,226.433,259.846,243.742,259.812,243.633,300.186,242.507,343.976,209.148,260.988,215.994,300.205,218.324,346.292,0,0,0,0,232.171,143.463,203.366,145.74,216.032,347.423,211.41,348.599,219.499,353.207,252.931,333.568,254.064,335.927,237.956,347.477
3,0,0,219.491,178.02,252.882,176.849,263.345,218.376,271.362,254.052,188.414,179.179,180.321,224.065,203.345,242.51,226.433,255.214,243.746,254.099,243.642,300.134,242.56,343.965,209.136,256.363,216.084,300.168,221.778,341.65,0,0,0,0,234.431,141.124,204.516,143.393,217.194,337.081,213.733,340.507,222.954,346.261,252.928,333.574,254.083,335.924,240.243,347.431
4,0,0,220.638,174.554,252.884,172.247,263.294,218.318,264.453,251.764,189.529,176.843,180.348,220.626,201.04,241.374,227.554,252.938,244.797,252.933,243.659,299.047,242.513,343.985,211.422,254.051,217.224,291.002,224.09,332.455,0,0,0,0,233.343,138.812,206.748,143.382,224.12,328.999,217.178,329,224.055,337.062,252.935,332.456,254.054,335.922,237.921,347.453
5,0,0,220.655,171.128,252.872,171.082,263.327,216.042,264.49,244.9,189.558,172.259,182.605,217.21,199.901,236.824,226.438,249.473,243.719,250.59,243.636,299.033,242.496,345.097,210.297,250.602,217.234,289.8,225.203,326.625,0,0,0,0,234.487,138.797,206.802,142.235,234.488,326.674,227.55,325.504,222.946,329.015,252.901,333.58,254.023,335.932,236.819,348.603
6,0,0,222.962,171.086,252.933,169.982,263.307,215.983,264.464,242.539,190.694,172.22,181.438,215.999,198.76,235.614,227.552,247.152,244.804,247.156,243.666,297.864,241.392,342.808,211.424,247.16,218.337,294.401,226.438,326.663,0,0,0,0,234.506,136.533,206.828,142.205,251.773,327.828,244.827,325.521,225.246,329.006,252.936,331.314,254.039,335.898,236.796,347.424
7,0,0,224.078,171.033,252.898,169.945,263.248,211.417,264.423,236.776,191.853,171.115,181.463,213.734,197.56,234.448,227.546,243.691,243.72,243.715,243.672,292.086,242.5,338.249,211.445,243.693,217.217,280.565,225.282,317.438,0,0,0,0,234.493,136.519,207.928,139.971,234.454,320.917,226.404,318.589,225.263,320.942,252.874,331.298,252.941,335.874,237.928,346.262
8,0,0,222.966,169.914,251.757,168.761,262.156,206.803,264.45,233.288,192.98,171.054,181.44,207.972,189.582,227.56,227.554,242.509,243.72,242.531,243.71,290.931,242.519,339.388,212.588,242.517,217.22,275.984,224.087,308.272,0,0,0,0,234.464,135.35,207.95,138.821,225.246,309.41,220.638,310.545,224.114,312.858,252.901,332.456,254.036,335.897,237.941,346.288
9,0,0,224.067,169.865,250.613,167.631,262.152,205.634,264.437,232.141,196.423,169.935,181.501,206.849,189.533,225.248,227.537,241.378,243.711,241.374,243.653,290.977,240.246,340.5,213.701,242.512,217.196,289.795,227.546,323.231,0,0,0,0,233.329,136.5,207.971,138.797,250.572,326.692,220.638,310.545,225.217,325.542,252.88,331.304,252.948,335.867,236.782,346.279
