time,Nosex,Nosey,Neckx,Necky,RSholderx,RSholdery,RElbowx,RElbowy,RWristx,RWristy,LSholderx,LSholdery,LElbowx,LElbowy,LWristx,LWristy,MidHipx,MidHipy,RHipx,RHipy,RKneex,RKneey,RAnklex,RAnkley,LHipx,LHipy,LKneex,LKneey,LAnklex,LAnkley,REyex,REyey,LEyex,LEyey,REarx,REary,LEarx,LEary,LBigToex,LBigToey,LSmallToex,LSmallToey,LHeelx,LHeely,RBigToex,RBigToey,RSmallToex,RSmallToey,RHeelx,RHeely
0,335.931,216.038,349.733,196.453,327.892,184.918,317.48,188.324,305.937,194.145,372.776,204.525,386.611,215.997,383.143,237.922,347.438,226.415,335.933,224.099,317.467,241.395,326.614,279.431,361.252,229.882,339.373,251.777,338.243,289.776,334.71,209.114,341.676,214.874,327.863,198.786,354.296,204.528,331.305,302.487,339.346,302.5,339.368,290.967,317.455,290.969,314.003,288.625,327.858,281.714
1,335.921,216.018,347.425,197.609,326.64,187.233,308.209,192.972,300.172,196.46,372.735,205.668,385.464,214.903,383.142,237.929,346.282,226.406,335.857,224.092,317.491,242.533,326.611,279.425,357.819,229.883,339.383,252.886,338.253,289.79,333.604,209.114,340.521,214.875,328.968,201.045,353.215,206.822,331.282,301.328,338.222,301.349,339.384,290.992,317.481,290.971,315.127,288.647,327.85,281.703
2,337.013,216.044,347.461,197.543,328.969,187.237,326.624,180.286,305.954,192.999,371.626,205.632,386.609,212.565,383.133,236.821,346.286,226.438,335.867,224.117,317.497,242.532,326.658,280.578,357.807,232.15,340.532,251.781,339.358,289.785,333.615,210.29,340.511,214.871,328.999,203.338,349.744,204.525,331.279,301.333,338.219,301.352,341.654,291.003,317.439,290.964,314.01,288.645,328.974,282.892
3,335.868,218.375,346.3,197.633,327.862,188.39,325.538,180.325,305.95,192.979,370.47,206.79,384.3,213.718,383.129,237.937,347.412,226.437,335.928,225.219,317.483,242.52,326.682,279.443,360.115,229.883,340.519,251.784,340.502,289.767,331.3,213.722,338.222,217.149,327.846,205.642,347.451,206.825,331.299,300.159,338.229,300.193,341.677,290.988,317.435,290.958,315.142,288.632,329.002,281.718
4,335.874,218.35,346.324,198.747,329.002,189.562,327.874,179.176,308.182,190.725,369.321,206.832,386.614,210.268,383.109,237.949,349.717,228.709,337.057,226.368,317.504,242.523,326.664,279.428,362.434,233.293,340.534,251.771,339.345,289.826,329.017,212.595,337.081,217.15,0,0,346.262,207.976,331.296,301.331,338.237,301.368,340.518,292.1,317.472,290.94,315.152,287.508,328.969,281.698
5,333.595,217.231,347.412,199.894,330.161,189.496,327.891,179.088,308.181,191.826,369.334,209.109,384.316,212.554,383.143,237.955,348.604,224.088,338.19,218.331,318.595,242.519,326.667,279.419,362.403,226.423,342.798,251.753,339.375,288.64,0,0,0,0,0,0,347.462,210.263,330.155,299.047,338.207,299.061,340.532,290.925,317.455,292.085,314.014,288.664,328.982,281.717
6,334.715,225.203,346.333,202.221,327.878,190.706,327.818,179.153,307.048,191.832,371.595,211.426,385.482,210.295,383.109,237.927,346.263,229.868,335.865,226.419,318.604,243.643,325.538,280.524,357.821,233.307,342.813,252.868,339.362,289.777,331.296,217.174,337.1,221.787,327.841,207.997,348.58,214.88,333.599,300.19,340.509,300.202,339.365,290.972,318.585,290.985,315.129,288.656,327.836,281.738
7,334.739,225.264,347.44,201.073,329.016,189.551,328.969,177.981,307.104,190.718,371.62,211.437,384.327,213.714,382.039,240.223,346.326,226.378,335.9,222.937,318.602,243.65,326.617,280.532,361.265,227.592,342.799,252.912,338.211,289.792,329.017,217.213,337.107,224.082,327.792,209.135,347.451,216.031,332.431,300.197,339.349,300.208,338.208,290.991,317.489,290.991,314.018,289.744,327.839,281.755
8,335.861,226.366,346.248,206.826,330.152,191.829,331.313,177.954,308.234,191.817,369.331,215.982,385.472,213.721,382.055,240.257,,,,,,,,,381.973,196.43,,,,,333.575,218.345,337.121,225.198,0,0,347.454,217.197,0,0,0,0,0,0,0,0,0,0,0,0
9,339.348,225.235,346.283,204.524,327.834,194.119,331.304,177.954,308.222,191.831,369.342,213.719,385.459,215.989,382.05,239.096,346.244,227.57,334.771,225.287,318.639,243.716,326.616,280.517,356.674,232.159,343.942,252.923,338.206,289.831,333.603,218.344,340.531,221.809,0,0,346.294,213.719,333.6,300.214,340.531,300.219,338.188,292.115,317.509,290.958,315.137,288.617,327.838,281.728
10,335.926,226.4,345.118,206.818,326.699,194.122,328.99,177.956,307.098,190.694,368.194,214.874,384.342,214.842,383.122,239.105,,,,,,,,,,,,,,,334.733,221.779,338.225,225.196,327.865,212.559,347.425,217.15,0,0,0,0,0,0,0,0,0,0,0,0
