time,Nosex,Nosey,Neckx,Necky,RSholderx,RSholdery,RElbowx,RElbowy,RWristx,RWristy,LSholderx,LSholdery,LElbowx,LElbowy,LWristx,LWristy,MidHipx,MidHipy,RHipx,RHipy,RKneex,RKneey,RAnklex,RAnkley,LHipx,LHipy,LKneex,LKneey,LAnklex,LAnkley,REyex,REyey,LEyex,LEyey,REarx,REary,LEarx,LEary,LBigToex,LBigToey,LSmallToex,LSmallToey,LHeelx,LHeely,RBigToex,RBigToey,RSmallToex,RSmallToey,RHeelx,RHeely
0,409.612,126.129,418.908,134.194,397.011,129.606,381.96,159.552,362.392,182.591,440.778,138.821,451.175,171.112,446.588,199.901,407.347,197.566,392.333,191.849,382.057,218.376,381.991,246.027,420.067,199.929,414.28,235.6,409.659,267.897,408.477,120.378,413.152,123.793,0,0,428.107,123.796,398.152,272.563,402.753,275.991,410.786,271.323,363.593,249.466,363.603,244.892,384.346,251.764
1,411.969,123.866,420.075,135.358,399.273,131.86,381.953,159.54,363.527,182.63,444.249,142.254,451.167,173.384,447.718,201.035,406.217,203.356,391.209,198.747,379.711,240.235,380.824,247.182,420.098,206.846,416.562,243.694,409.629,270.225,410.815,116.908,418.932,122.666,408.52,114.574,431.598,123.788,399.317,273.698,403.918,277.13,409.672,271.355,363.575,252.881,363.528,248.306,383.165,249.457
2,416.595,128.424,424.661,135.375,401.555,131.875,382.029,160.658,363.605,182.612,447.712,142.252,455.793,174.542,454.626,201.05,409.694,199.892,392.438,197.581,380.844,242.534,375.099,248.298,425.818,204.524,417.713,240.237,408.528,271.318,414.279,121.535,422.35,124.984,410.85,114.546,437.367,123.857,399.282,272.563,402.782,277.118,409.615,272.489,363.575,252.881,363.528,248.306,380.872,247.147
3,417.751,131.909,426.937,134.208,401.615,129.595,382.017,159.56,363.578,183.778,448.861,139.936,455.805,172.261,455.754,199.923,409.701,201.041,392.425,197.599,377.411,246.014,400.444,255.205,426.935,206.775,414.299,248.312,408.54,269.067,416.559,123.816,425.824,128.42,413.108,113.47,438.5,125.006,398.161,274.83,402.737,279.389,409.659,270.177,398.133,270.224,392.379,266.746,400.447,252.871
4,420.002,129.598,426.957,134.223,401.642,130.754,382.051,158.416,363.506,184.903,448.873,139.964,456.898,171.083,456.908,198.806,410.813,197.59,394.706,192.979,381.964,224.103,376.251,257.53,428.047,199.918,417.746,235.661,409.661,267.901,418.863,122.676,428.116,126.129,412.018,114.581,439.643,123.838,400.39,273.653,405.053,275.984,409.683,271.324,373.968,263.28,371.621,260.985,380.846,259.833
5,417.721,129.565,426.92,134.262,401.597,131.904,380.871,160.684,361.259,186.059,448.86,141.089,456.918,172.265,456.913,201.071,410.776,198.753,393.57,196.427,382.05,226.451,383.14,254.116,425.824,203.361,417.696,235.633,408.522,269.036,415.43,121.534,425.782,126.122,411.992,113.415,439.616,123.878,399.31,275.958,403.909,278.274,408.507,271.328,375.109,262.106,372.817,259.834,387.768,256.395
6,418.891,128.424,424.642,134.221,401.56,131.863,380.861,160.649,356.674,187.211,447.723,139.969,456.897,171.102,456.926,201.058,409.682,201.033,392.435,197.619,381.98,237.942,379.702,260.996,425.795,205.656,414.29,248.315,408.518,271.341,417.718,121.532,428.049,125,410.877,114.554,438.516,123.865,401.601,274.826,406.212,274.842,408.507,271.328,373.978,262.143,372.752,262.128,387.768,256.395
7,415.442,130.73,422.368,135.335,400.448,131.914,379.69,160.652,355.511,186.084,447.661,139.963,455.819,171.14,456.901,201.064,409.654,201.07,392.408,198.707,382.024,235.653,380.872,262.09,423.519,206.788,414.265,244.867,407.347,272.534,412.019,122.687,422.33,125.038,409.713,114.626,437.353,123.845,399.283,278.266,402.743,279.437,406.214,273.657,375.093,270.221,371.627,266.744,383.16,262.132
8,416.591,131.871,420.04,135.387,395.845,133.084,375.094,160.742,354.38,187.206,445.414,139.953,455.744,169.956,456.885,198.733,409.635,205.627,392.374,199.93,381.961,243.693,377.377,265.611,424.66,206.852,410.87,258.676,402.784,278.272,412.012,123.801,423.496,126.16,409.625,114.651,437.289,123.827,400.471,278.267,405.075,279.433,406.214,273.657,375.123,273.672,371.643,272.525,383.16,262.132
9,411.991,128.416,418.876,135.386,392.406,133.093,373.91,160.746,354.316,187.193,443.09,139.968,454.622,171.087,455.761,199.878,407.366,204.5,391.219,199.918,381.981,244.832,378.538,264.448,421.222,206.83,414.286,244.89,407.339,272.536,410.806,122.644,420.056,124.963,406.225,115.711,432.712,123.814,398.149,272.506,401.562,274.816,407.364,274.818,378.547,273.656,372.742,272.516,380.863,263.335
