frame,Nose_x,Nose_y,Nose_z,Neck_x,Neck_y,Neck_z,Rshoulder_x,Rshoulder_y,Rshoulder_z,Relbow_x,Relbow_y,Relbow_z,Rwrist_x,Rwrist_y,Rwrist_z,Lshoulder_x,Lshoulder_y,Lshoulder_z,Lelbow_x,Lelbow_y,Lelbow_z,Lwrist_x,Lwrist_y,Lwrist_z,Rhip_x,Rhip_y,Rhip_z,Rknee_x,Rknee_y,Rknee_z,Rankle_x,Rankle_y,Rankle_z,Lhip_x,Lhip_y,Lhip_z,Lknee_x,Lknee_y,Lknee_z,Lankle_x,Lankle_y,Lankle_z,Reye_x,Reye_y,Reye_z,Leye_x,Leye_y,Leye_z,Rear_x,Rear_y,Rear_z,Lear_x,Lear_y,Lear_z
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000186_s_keypoints.json,-0.869826,0.818106,3.663,-0.951226,0.68157,3.667,-1.01184,0.645459,3.597,-0.940972,0.367036,3.623,-0.79016,0.2441,3.657,-0.899564,0.727713,3.788,-0.882638,0.563662,4.148,-0.733683,0.391024,3.973,-0.989054,0.27767,3.808,-0.539466,0.250419,3.747,-0.33243,-0.0717363,3.946,-0.815365,0.346441,3.772,-0.494199,0.322412,4.049,-0.281854,-0.0220284,3.934,-0.901209,0.827795,3.652,-0.857364,0.84091,3.661,-0.9899,0.843786,3.726,-0.821084,0.862156,3.702
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000187_s_keypoints.json,-0.85779,0.806933,3.66,-0.942027,0.682774,3.675,-1.00152,0.634934,3.6,-0.895552,0.366745,3.621,-0.78008,0.17559,3.663,-0.886966,0.726739,3.783,-0.870423,0.551276,4.151,-0.739073,0.3933,4.003,-0.990865,0.26667,3.815,-0.539102,0.238896,3.744,-0.331656,-0.0718845,3.934,-0.812434,0.333732,3.76,-0.494456,0.322578,4.054,-0.283202,-0.0224268,3.951,-0.8889,0.826986,3.649,-0.836308,0.831665,3.668,-0.985798,0.840506,3.712,-0.815417,0.857003,3.729
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000188_s_keypoints.json,-0.857933,0.807078,3.662,-0.927684,0.669396,3.664,-0.977035,0.633768,3.593,-0.886377,0.379306,3.631,-0.780566,0.175826,3.665,-0.886757,0.715282,3.784,-0.866466,0.548862,4.134,-0.748233,0.391978,3.986,-0.976784,0.265971,3.806,-0.527252,0.238437,3.742,-0.331826,-0.084096,3.944,-0.806858,0.319849,3.735,-0.492398,0.296291,4.036,-0.282609,-0.0349249,3.945,-0.876309,0.825179,3.642,-0.817139,0.834794,3.683,-0.9777765,0.8330505,3.703,-0.80975,0.85185,3.756
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000189_s_keypoints.json,-0.847934,0.80829,3.668,-0.916741,0.670147,3.666,-0.964666,0.632645,3.587,-0.883429,0.400616,3.619,-0.791719,0.187488,3.665,-0.868276,0.731233,3.805,-0.863786,0.559995,4.121,-0.735085,0.391213,3.98,-0.951809,0.265674,3.8,-0.527664,0.23869,3.745,-0.33202,-0.0843444,3.944,-0.801989,0.334256,3.765,-0.482319,0.309726,4.055,-0.296324,-0.0472132,3.961,-0.876287,0.825426,3.644,-0.806031,0.835,3.684,-0.969755,0.825595,3.694,-0.8283993333,0.8803206667,3.8864666667
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000190_s_keypoints.json,-0.835865,0.80736,3.665,-0.911764,0.663015,3.691,-0.965619,0.622534,3.591,-0.873622,0.366835,3.623,-0.781389,0.152783,3.669,-0.869364,0.718379,3.862,-0.853726,0.548615,4.133,-0.734032,0.390787,3.975,-0.975665,0.265622,3.801,-0.527139,0.23855,3.742,-0.333064,-0.0842774,3.951,-0.809338,0.321081,3.747,-0.481011,0.309192,4.048,-0.294923,-0.0467934,3.943,-0.862896,0.812281,3.633,-0.805808,0.824098,3.685,-1.1553466667,0.9838233333,4.403,-0.8470486667,0.9087913333,4.0169333333
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000191_s_keypoints.json,-0.816958,0.811254,3.682,-0.901157,0.66354,3.694,-0.95485,0.622469,3.591,-0.886052,0.356475,3.629,-0.782623,0.152941,3.674,-0.854733,0.716322,3.851,-0.845839,0.552251,4.158,-0.737095,0.392698,3.992,-0.964159,0.265405,3.802,-0.530071,0.228094,3.764,-0.320851,-0.0970524,3.957,-0.803378,0.322856,3.771,-0.467565,0.296273,4.036,-0.29606,-0.084309,3.956,-0.86266,0.812497,3.634,-0.792872,0.822242,3.676,-1.3409383333,1.1420516667,5.112,-0.865698,0.937262,4.1474
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000192_s_keypoints.json,-0.809925,0.804715,3.652,-0.898722,0.661835,3.685,-0.954753,0.622411,3.591,-0.88395,0.366953,3.62,-0.779234,0.152465,3.658,-0.845934,0.718622,3.864,-0.842754,0.549832,4.142,-0.734456,0.391147,3.978,-0.949877,0.264814,3.792,-0.516525,0.227119,3.749,-0.309068,-0.0974539,3.963,-0.801874,0.322481,3.766,-0.471164,0.298108,4.066,-0.295964,-0.0844936,3.955,-0.861188,0.81142,3.629,-0.790221,0.819783,3.665,-1.52653,1.30028,5.821,-0.8843473333,0.9657326667,4.2778666667
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000193_s_keypoints.json,-0.795818,0.80122,3.637,-0.895585,0.65988,3.673,-0.951823,0.620698,3.581,-0.882467,0.35517,3.615,-0.783006,0.152712,3.675,-0.845529,0.730302,3.863,-0.84115,0.562123,4.135,-0.724348,0.392522,3.989,-0.932523,0.263518,3.77,-0.515366,0.215205,3.741,-0.320186,-0.109127,3.949,-0.80462,0.335445,3.78,-0.468267,0.296187,4.041,-0.307782,-0.0965469,3.949,-0.862159,0.812342,3.634,-0.78338,0.812603,3.634,-1.49779,1.29033,5.776,-0.9029966667,0.9942033333,4.4083333333
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000194_s_keypoints.json,-0.795952,0.801745,3.64,-0.885472,0.660705,3.677,-0.951624,0.620718,3.582,-0.873113,0.355434,3.621,-0.782344,0.141484,3.673,-0.832839,0.729647,3.858,-0.842598,0.562929,4.143,-0.718515,0.389515,3.958,-0.96701,0.266287,3.813,-0.526123,0.214861,3.736,-0.320241,-0.10878,3.947,-0.802272,0.322716,3.766,-0.472416,0.299059,4.077,-0.308097,-0.0843713,3.953,-0.850688,0.811873,3.632,-0.783143,0.81275,3.635,-1.49522,1.28901,5.769,-0.921646,1.022674,4.5388
C:\Users\ynishida\Documents\python\test0111\hiranokun_test\smalljpegs_json\000195_s_keypoints.json,-0.785593,0.802153,3.642,-0.88399,0.659757,3.672,-0.939798,0.620146,3.577,-0.87107,0.365895,3.614,-0.782167,0.152898,3.672,-0.832537,0.717538,3.857,-0.817376,0.5376,4.144,-0.700783,0.393252,3.996,-0.938542,0.265061,3.794,-0.516055,0.226979,3.745,-0.320251,-0.108921,3.949,-0.803505,0.323125,3.774,-0.468851,0.296848,4.047,-0.32039,-0.0844543,3.953,-0.838347,0.810774,3.627,-0.773526,0.813796,3.64,-1.3493955,1.17316325,5.25025,-0.9402953333,1.0511446667,4.6692666667
