time,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,z.9,x.11,y.11,z.10,x.12,y.12,z.11,x.13,y.13,z.12,x.14,y.14,z.13,x.15,y.15,z.14,x.16,y.16,z.15,x.17,y.17,z.16,x.18,y.18,z.17,x.19,y.19,z.18,x.20,y.20,z.19,x.21,y.21,z.20,x.22,y.22,z.21,x.23,y.23,z.22,x.24,y.24,z.23,x.25
0,-0.768,-0.403,1.826,-0.099,-0.052,0.896,-0.013,-0.054,0.896,0.013,0.075,1.024,0.038,0.175,1.024,-0.177,-0.047,0.896,-0.216,0.078,1.024,-0.16,0.089,1.024,-0.091,0.164,1.024,-0.04,0.159,1.024,-0.045,0.307,1.152,-0.057,0.488,1.28,-0.138,0.17,1.024,-0.146,0.348,1.152,-0.13,0.502,1.152,-1.03,-0.105,1.152,-1.012,-0.53,2.138,-0.065,-0.143,0.896,-0.155,-0.155,1.024,-0.146,0.515,1.152,-0.158,0.518,1.152,-0.127,0.527,1.152,-0.021,0.495,1.408,-0.021,0.502,1.408,-0.075,0.513,1.28
1,-0.764,-0.405,1.832,-0.096,-0.057,0.896,-0.013,-0.062,0.896,0.013,0.066,1.024,0.035,0.161,1.024,-0.175,-0.052,0.896,-0.216,0.069,1.024,-0.16,0.089,1.024,-0.091,0.156,1.024,-0.04,0.153,1.024,-0.045,0.304,1.152,-0.057,0.485,1.28,-0.138,0.161,1.024,-0.143,0.332,1.152,-0.127,0.48,1.152,-0.989,-0.111,1.152,-1.006,-0.53,2.138,-0.074,-0.168,1.024,-0.152,-0.16,1.024,-0.133,0.49,1.152,-0.149,0.493,1.152,-0.124,0.502,1.152,-0.021,0.495,1.408,-0.017,0.502,1.408,-0.071,0.509,1.28
2,-0.759,-0.407,1.837,-0.094,-0.064,0.896,-0.013,-0.067,0.896,0.013,0.055,1.024,0.032,0.147,1.024,-0.197,-0.068,1.024,-0.216,0.061,1.024,-0.163,0.086,1.024,-0.088,0.147,1.024,-0.04,0.145,1.024,-0.045,0.301,1.152,-0.057,0.485,1.28,-0.135,0.15,1.024,-0.14,0.317,1.152,-0.121,0.455,1.152,-0.948,-0.117,1.152,-1,-0.531,2.139,-0.071,-0.174,1.024,-0.152,-0.163,1.024,-0.121,0.465,1.152,-0.155,0.516,1.28,-0.121,0.477,1.152,-0.021,0.491,1.408,-0.017,0.502,1.408,-0.071,0.506,1.28
3,-0.755,-0.408,1.843,-0.107,-0.079,1.024,-0.015,-0.082,1.024,0.016,0.047,1.024,0.033,0.153,1.152,-0.194,-0.073,1.024,-0.216,0.052,1.024,-0.166,0.086,1.024,-0.088,0.139,1.024,-0.037,0.136,1.024,-0.045,0.295,1.152,-0.057,0.481,1.28,-0.135,0.142,1.024,-0.152,0.334,1.28,-0.118,0.433,1.152,-0.907,-0.124,1.152,-0.994,-0.531,2.14,-0.071,-0.18,1.024,-0.149,-0.168,1.024,-0.111,0.443,1.152,-0.145,0.488,1.28,-0.118,0.452,1.152,-0.021,0.491,1.408,-0.017,0.502,1.408,-0.071,0.502,1.28
4,-2.13,-0.389,1.92,-0.105,-0.085,1.024,-0.015,-0.087,1.024,0.016,0.036,1.024,0.03,0.138,1.152,-0.191,-0.079,1.024,-0.216,0.041,1.024,-0.169,0.083,1.024,-0.088,0.131,1.024,-0.04,0.131,1.024,-0.045,0.292,1.152,-0.057,0.481,1.28,-0.132,0.133,1.024,-0.148,0.317,1.28,-0.127,0.46,1.28,-0.866,-0.13,1.152,-0.989,-0.531,2.14,-0.068,-0.182,1.024,-0.146,-0.174,1.024,-0.11,0.467,1.28,-0.138,0.46,1.28,-0.127,0.478,1.28,-0.021,0.491,1.408,-0.017,0.502,1.408,-0.071,0.502,1.28
5,-1.493,-0.285,1.408,-0.105,-0.09,1.024,-0.018,-0.093,1.024,0.016,0.027,1.024,0.027,0.125,1.152,-0.188,-0.085,1.024,-0.216,0.033,1.024,-0.19,0.09,1.152,-0.088,0.122,1.024,-0.045,0.138,1.152,-0.045,0.285,1.152,-0.057,0.478,1.28,-0.149,0.141,1.152,-0.145,0.303,1.28,-0.124,0.439,1.28,-0.733,-0.121,1.024,-0.983,-0.531,2.141,-0.068,-0.188,1.024,-0.146,-0.177,1.024,-0.103,0.446,1.28,-0.127,0.439,1.28,-0.124,0.453,1.28,-0.021,0.491,1.408,-0.017,0.502,1.408,-0.071,0.499,1.28
6,-1.294,-0.263,1.28,-0.102,-0.096,1.024,-0.018,-0.099,1.024,0.013,0.019,1.024,0.027,0.112,1.152,-0.188,-0.09,1.024,-0.216,0.024,1.024,-0.193,0.084,1.152,-0.099,0.131,1.152,-0.045,0.131,1.152,-0.045,0.279,1.152,-0.057,0.474,1.28,-0.146,0.131,1.152,-0.145,0.289,1.28,-0.132,0.46,1.408,-0.525,-0.095,0.768,-0.977,-0.532,2.141,-0.068,-0.191,1.024,-0.144,-0.182,1.024,-0.092,0.429,1.28,-0.136,0.46,1.408,-0.132,0.479,1.408,-0.021,0.491,1.408,-0.017,0.502,1.408,-0.071,0.495,1.28
7,-1.108,-0.237,1.152,-0.102,-0.099,1.024,-0.021,-0.104,1.024,0.013,0.013,1.024,0.024,0.1,1.152,-0.186,-0.096,1.024,-0.243,0.021,1.152,-0.196,0.081,1.152,-0.099,0.122,1.152,-0.045,0.122,1.152,-0.047,0.303,1.28,-0.057,0.471,1.28,-0.146,0.125,1.152,-0.141,0.275,1.28,-0.128,0.445,1.408,-0.583,-0.116,0.896,-0.972,-0.532,2.142,-0.068,-0.194,1.024,-0.144,-0.185,1.024,-0.085,0.411,1.28,-0.128,0.441,1.408,-0.128,0.456,1.408,-0.017,0.487,1.408,-0.017,0.502,1.408,-0.071,0.488,1.28
8,-1.055,-0.237,1.152,-0.102,-0.104,1.024,-0.021,-0.107,1.024,0.014,0.005,1.152,0.024,0.09,1.152,-0.183,-0.101,1.024,-0.243,0.012,1.152,-0.336,-0.038,1.392,-0.099,0.112,1.152,-0.045,0.112,1.152,-0.047,0.296,1.28,-0.057,0.464,1.28,-0.146,0.115,1.152,-0.155,0.291,1.408,-0.125,0.426,1.408,-0.554,-0.121,0.896,-0.966,-0.532,2.142,-0.071,-0.196,1.024,-0.144,-0.188,1.024,-0.078,0.397,1.28,-0.125,0.422,1.408,-0.128,0.441,1.408,-0.017,0.483,1.408,-0.017,0.499,1.408,-0.071,0.485,1.28
9,-1.004,-0.24,1.152,-0.105,-0.11,1.024,-0.023,-0.113,1.024,0.011,-0.001,1.152,0.023,0.09,1.28,-0.183,-0.104,1.024,-0.243,0.005,1.152,-0.222,0.072,1.28,-0.099,0.106,1.152,-0.048,0.106,1.152,-0.047,0.286,1.28,-0.057,0.457,1.28,-0.146,0.106,1.152,-0.155,0.28,1.408,-0.136,0.452,1.536,-0.527,-0.125,0.896,-0.96,-0.532,2.143,-0.071,-0.199,1.024,-0.162,-0.215,1.152,-0.075,0.387,1.28,-0.136,0.447,1.536,-0.125,0.429,1.408,-0.017,0.479,1.408,-0.017,0.495,1.408,-0.071,0.474,1.28
