time,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x
0,nan,nan,nan,-0.098798,-0.052032,0.896,-0.013193,-0.054478,0.896,0.012874,0.074707,1.024,0.038032,0.175336,1.024,-0.177065,-0.04714,0.896,-0.216336,0.077502,1.024,-0.160431,0.088683,1.024,-0.09055,0.164155,1.024,-0.040235,0.158565,1.024,-0.045265,0.307316,1.152,-0.057282,0.488213,1.28,-0.138069,0.169746,1.024,-0.145894,0.348197,1.152,-0.130171,0.502285,1.152,-1.029543,-0.104634,1.152,0,0,0,-0.064556,-0.142528,0.896,-0.154841,-0.154504,1.024,-0.145894,0.514863,1.152,-0.158472,0.518008,1.152,-0.127026,0.527442,1.152,-0.020732,0.494756,1.408,-0.020732,0.502443,1.408,-0.074753,0.512671,1.28
1,nan,nan,nan,-0.096352,-0.056924,0.896,-0.013193,-0.061815,0.896,0.012874,0.066321,1.024,0.035236,0.16136,1.024,-0.174619,-0.052032,0.896,-0.216336,0.069116,1.024,-0.160431,0.088683,1.024,-0.09055,0.155769,1.024,-0.040235,0.152974,1.024,-0.045265,0.304171,1.152,-0.057282,0.484719,1.28,-0.138069,0.16136,1.024,-0.142749,0.332473,1.152,-0.127026,0.480272,1.152,-0.988662,-0.110923,1.152,0,0,0,-0.073778,-0.16848,1.024,-0.152045,-0.160094,1.024,-0.133315,0.489706,1.152,-0.149039,0.492851,1.152,-0.123881,0.502285,1.152,-0.020732,0.494756,1.408,-0.016889,0.502443,1.408,-0.071259,0.509177,1.28
2,nan,nan,nan,-0.093906,-0.064261,0.896,-0.013193,-0.066707,0.896,0.012874,0.05514,1.024,0.032441,0.147384,1.024,-0.196769,-0.067851,1.024,-0.216336,0.060731,1.024,-0.163226,0.085888,1.024,-0.087755,0.147384,1.024,-0.040235,0.144588,1.024,-0.045265,0.301027,1.152,-0.057282,0.484719,1.28,-0.135274,0.150179,1.024,-0.139605,0.31675,1.152,-0.120737,0.455115,1.152,-0.947782,-0.117213,1.152,0,0,0,-0.070983,-0.17407,1.024,-0.152045,-0.162889,1.024,-0.120737,0.464549,1.152,-0.155116,0.516165,1.28,-0.120737,0.477128,1.152,-0.020732,0.490913,1.408,-0.016889,0.502443,1.408,-0.071259,0.505683,1.28
3,nan,nan,nan,-0.107321,-0.079032,1.024,-0.015078,-0.081827,1.024,0.01567,0.046754,1.024,0.033352,0.153228,1.152,-0.193974,-0.073441,1.024,-0.216336,0.052345,1.024,-0.166022,0.085888,1.024,-0.087755,0.138998,1.024,-0.03744,0.136203,1.024,-0.045265,0.294737,1.152,-0.057282,0.481225,1.28,-0.135274,0.141793,1.024,-0.151622,0.334474,1.28,-0.117592,0.433102,1.152,-0.906901,-0.123502,1.152,0,0,0,-0.070983,-0.179661,1.024,-0.14925,-0.16848,1.024,-0.111303,0.442536,1.152,-0.144634,0.488213,1.28,-0.117592,0.45197,1.152,-0.020732,0.490913,1.408,-0.016889,0.502443,1.408,-0.071259,0.502189,1.28
4,-2.129951,-0.389275,1.92,-0.104526,-0.084622,1.024,-0.015078,-0.087418,1.024,0.01567,0.035573,1.024,0.030207,0.137505,1.152,-0.191179,-0.079032,1.024,-0.216336,0.041164,1.024,-0.168817,0.083093,1.024,-0.087755,0.130612,1.024,-0.040235,0.130612,1.024,-0.045265,0.291593,1.152,-0.057282,0.481225,1.28,-0.132479,0.133407,1.024,-0.148128,0.317004,1.28,-0.127164,0.46026,1.28,-0.86602,-0.129791,1.152,0,0,0,-0.068188,-0.182456,1.024,-0.146455,-0.17407,1.024,-0.109693,0.467249,1.28,-0.137646,0.46026,1.28,-0.127164,0.477731,1.28,-0.020732,0.490913,1.408,-0.016889,0.502443,1.408,-0.071259,0.502189,1.28
5,-1.492782,-0.285468,1.408,-0.104526,-0.090213,1.024,-0.017873,-0.093008,1.024,0.01567,0.027188,1.024,0.027062,0.124926,1.152,-0.188384,-0.084622,1.024,-0.216336,0.032778,1.024,-0.189919,0.090335,1.152,-0.087755,0.122226,1.024,-0.045265,0.137505,1.152,-0.045265,0.285303,1.152,-0.057282,0.477731,1.28,-0.149039,0.140649,1.152,-0.144634,0.303028,1.28,-0.12367,0.439296,1.28,-0.733458,-0.120961,1.024,0,0,0,-0.068188,-0.188047,1.024,-0.146455,-0.176866,1.024,-0.102705,0.446284,1.28,-0.127164,0.439296,1.28,-0.12367,0.453272,1.28,-0.020732,0.490913,1.408,-0.016889,0.502443,1.408,-0.071259,0.498695,1.28
6,-1.294181,-0.263011,1.28,-0.101731,-0.095803,1.024,-0.017873,-0.098599,1.024,0.012874,0.018802,1.024,0.027062,0.112347,1.152,-0.188384,-0.090213,1.024,-0.216336,0.024392,1.024,-0.193064,0.084045,1.152,-0.098724,0.131215,1.152,-0.045265,0.131215,1.152,-0.045265,0.279014,1.152,-0.057282,0.474237,1.28,-0.145894,0.131215,1.152,-0.144634,0.289051,1.28,-0.132193,0.460165,1.408,-0.524936,-0.094913,0.768,0,0,0,-0.068188,-0.190842,1.024,-0.14366,-0.182456,1.024,-0.092223,0.428814,1.28,-0.136037,0.460165,1.408,-0.132193,0.479382,1.408,-0.020732,0.490913,1.408,-0.016889,0.502443,1.408,-0.071259,0.495201,1.28
7,-1.108159,-0.23671,1.152,-0.101731,-0.098599,1.024,-0.020669,-0.104189,1.024,0.012874,0.013211,1.024,0.023918,0.099769,1.152,-0.185588,-0.095803,1.024,-0.243378,0.021152,1.152,-0.196208,0.080901,1.152,-0.098724,0.121781,1.152,-0.045265,0.121781,1.152,-0.0468,0.303028,1.28,-0.057282,0.470743,1.28,-0.145894,0.124926,1.152,-0.14114,0.275075,1.28,-0.12835,0.444791,1.408,-0.583075,-0.115624,0.896,0,0,0,-0.068188,-0.193637,1.024,-0.14366,-0.185251,1.024,-0.085235,0.411344,1.28,-0.12835,0.440948,1.408,-0.12835,0.456321,1.408,-0.016889,0.487069,1.408,-0.016889,0.502443,1.408,-0.071259,0.488213,1.28
8,-1.0547,-0.23671,1.152,-0.101731,-0.104189,1.024,-0.020669,-0.106984,1.024,0.014484,0.005429,1.152,0.023918,0.090335,1.152,-0.182793,-0.101394,1.024,-0.243378,0.011718,1.152,nan,nan,nan,-0.098724,0.112347,1.152,-0.045265,0.112347,1.152,-0.0468,0.296039,1.28,-0.057282,0.463755,1.28,-0.145894,0.115492,1.152,-0.155254,0.291052,1.408,-0.124506,0.425574,1.408,-0.553725,-0.120516,0.896,0,0,0,-0.070983,-0.196432,1.024,-0.14366,-0.188047,1.024,-0.078247,0.397367,1.28,-0.124506,0.42173,1.408,-0.12835,0.440948,1.408,-0.016889,0.483226,1.408,-0.016889,0.4986,1.408,-0.071259,0.484719,1.28
9,-1.004385,-0.239854,1.152,-0.104526,-0.10978,1.024,-0.023464,-0.112575,1.024,0.011339,-0.00086,1.152,0.023081,0.08989,1.28,-0.182793,-0.104189,1.024,-0.243378,0.005429,1.152,-0.221503,0.072419,1.28,-0.098724,0.106058,1.152,-0.048409,0.106058,1.152,-0.0468,0.285557,1.28,-0.057282,0.456766,1.28,-0.145894,0.106058,1.152,-0.155254,0.279522,1.408,-0.135825,0.451683,1.536,-0.526821,-0.125407,0.896,0,0,0,-0.070983,-0.199228,1.024,-0.161617,-0.214697,1.152,-0.074753,0.386885,1.28,-0.135825,0.447491,1.536,-0.124506,0.429417,1.408,-0.016889,0.479382,1.408,-0.016889,0.494756,1.408,-0.071259,0.474237,1.28
